protein	cell_line	pairs
AGGF1	HepG2	3758
AKAP1	HepG2	5925
AQR	HepG2	10929
BCCIP	HepG2	538
BCLAF1	HepG2	32384
BUD13	HepG2	4256
CDC40	HepG2	1158
CSTF2	HepG2	3033
CSTF2T	HepG2	19533
DDX3X	HepG2	8363
DDX55	HepG2	1685
DDX59	HepG2	3052
DDX6	HepG2	490
DGCR8	HepG2	1675
DKC1	HepG2	2646
DROSHA	HepG2	2152
EFTUD2	HepG2	7124
EIF3D	HepG2	814
EIF3H	HepG2	2827
EXOSC5	HepG2	713
FAM120A	HepG2	7755
FASTKD2	HepG2	823
FKBP4	HepG2	1370
FTO	HepG2	529
FUBP3	HepG2	2759
FUS	HepG2	868
FXR2	HepG2	3870
G3BP1	HepG2	6478
GRSF1	HepG2	995
GRWD1	HepG2	22072
GTF2F1	HepG2	4251
HLTF	HepG2	3642
HNRNPC	HepG2	3270
HNRNPK	HepG2	5618
HNRNPL	HepG2	8877
HNRNPM	HepG2	13395
HNRNPUL1	HepG2	463
IGF2BP1	HepG2	4436
IGF2BP3	HepG2	2216
ILF3	HepG2	3511
KHSRP	HepG2	5280
LARP4	HepG2	5421
LIN28B	HepG2	3761
LSM11	HepG2	2445
MATR3	HepG2	6984
NCBP2	HepG2	3186
NKRF	HepG2	3537
NOLC1	HepG2	1623
NSUN2	HepG2	474
PABPN1	HepG2	3945
PCBP1	HepG2	929
PCBP2	HepG2	8589
PPIG	HepG2	23126
PRPF4	HepG2	8867
PRPF8	HepG2	19506
PTBP1	HepG2	8349
QKI	HepG2	9988
RBFOX2	HepG2	7349
RBM15	HepG2	1493
RBM22	HepG2	1800
RBM5	HepG2	636
RPS3	HepG2	5647
SDAD1	HepG2	908
SF3A3	HepG2	2352
SF3B4	HepG2	5885
SFPQ	HepG2	2535
SLTM	HepG2	1235
SND1	HepG2	7090
SRSF1	HepG2	1787
SRSF7	HepG2	430
SRSF9	HepG2	664
STAU2	HepG2	842
SUB1	HepG2	3296
SUGP2	HepG2	14411
TAF15	HepG2	768
TARDBP	HepG2	19437
TIA1	HepG2	1729
TIAL1	HepG2	2375
TRA2A	HepG2	920
U2AF1	HepG2	1092
U2AF2	HepG2	10699
UCHL5	HepG2	2231
UPF1	HepG2	9730
XPO5	HepG2	4557
XRN2	HepG2	1290
YBX3	HepG2	2041
ZC3H11A	HepG2	1154
ZNF800	HepG2	2936
