protein	cell_line	pairs
AATF	K562	1043
BUD13	K562	8804
DDX24	K562	9590
DDX55	K562	1100
DDX6	K562	1939
DGCR8	K562	1236
DHX30	K562	795
DROSHA	K562	3786
ELAC2	K562	13144
ELAVL1	K562	8821
FASTKD2	K562	508
FMR1	K562	4432
FXR1	K562	1423
FXR2	K562	4712
GARS	K562	557
GEMIN5	K562	2510
GRWD1	K562	4373
HNRNPC	K562	516
HNRNPL	K562	5836
IGF2BP1	K562	5706
KHSRP	K562	23198
LARP4	K562	430
LIN28B	K562	6916
LSM11	K562	1319
MATR3	K562	4864
MBNL1	K562	1194
METTL1	K562	481
MORC2	K562	823
MTPAP	K562	1077
NOLC1	K562	1567
NONO	K562	11164
PHF6	K562	676
PPIL4	K562	658
PTBP1	K562	7785
PUM1	K562	2651
QKI	K562	2189
RBFOX2	K562	3484
RPS3	K562	2369
SAFB2	K562	3744
SLTM	K562	3574
SMNDC1	K562	2448
SND1	K562	4130
SRSF1	K562	3861
TIA1	K562	5831
U2AF1	K562	1229
YBX3	K562	17979
YWHAG	K562	790
ZNF622	K562	14967
ZNF800	K562	2430
