table,producing_script,run_sh_stage,status,sha256,bytes,invocation
auroc_aggregation.csv,scripts/auroc_aggregation.py,s13b_local_analysis,frozen-only,6423fe9cfa7f903d,3454,"#   ""$PY"" scripts/auroc_aggregation.py --store ../rbp-store       # B9"
auroc_aggregation_per_dataset.csv,scripts/auroc_aggregation.py,s13b_local_analysis,frozen-only,f5a14e788302ad97,72160,"#   ""$PY"" scripts/auroc_aggregation.py --store ../rbp-store       # B9"
baseline_confounding.csv,scripts/baseline_confounding.py,s13b_local_analysis,raw-reproducible,9f81105d65508152,2604,"""$PY"" scripts/baseline_confounding.py || die ""baseline confounding"""
baseline_order.csv,scripts/baseline_order.py,s13b_local_analysis,evidence-recomputable,655e0ea3664858e5,3372,"""$PY"" scripts/baseline_order.py --from-cache || die ""baseline order"""
baseline_order_models.csv,scripts/baseline_order_models.py,s13b_local_analysis,evidence-recomputable,8c46254b0943f104,14923,"""$PY"" scripts/baseline_order_models.py --from-cache || die ""baseline order, model classes"""
baseline_order_models_per_dataset.csv,scripts/baseline_order_models.py,s13b_local_analysis,evidence-recomputable,f86769073e216597,64417,"""$PY"" scripts/baseline_order_models.py --from-cache || die ""baseline order, model classes"""
baseline_order_per_dataset.csv,scripts/baseline_order.py,s13b_local_analysis,evidence-recomputable,788447fb2806a009,9786,"""$PY"" scripts/baseline_order.py --from-cache || die ""baseline order"""
candidate_sizes.csv,scripts/cloud_analysis.py,,frozen-only,79cd9551dbf92127,5316,not invoked by run.sh
cluster_intervals.csv,scripts/cluster_intervals.py,s13b_local_analysis,raw-reproducible,da1da712f1237a9c,1904,"""$PY"" scripts/cluster_intervals.py || die ""clustered intervals"""
cobinding_noise.csv,scripts/cobinding_noise.py,s13b_local_analysis,frozen-only,b9a9789a4537b65a,791,"#   ""$PY"" scripts/cobinding_noise.py --store ../rbp-store   # B4, needs the peak BEDs too"
cobinding_noise_per_dataset.csv,scripts/cobinding_noise.py,s13b_local_analysis,frozen-only,7e9b44f5a564a61a,10690,"#   ""$PY"" scripts/cobinding_noise.py --store ../rbp-store   # B4, needs the peak BEDs too"
cost_of_matching.csv,scripts/strand_contrast.py,s13b_local_analysis,raw-reproducible,0b72af61e71d84d4,20248,"""$PY"" scripts/strand_contrast.py    || die ""strand contrast"""
cross_fitting.csv,scripts/cross_fitting.py,s13b_local_analysis,evidence-recomputable,a27b398259196ba7,3796,"""$PY"" scripts/cross_fitting.py --from-cache || die ""cross-fitting"""
cross_fitting_per_dataset.csv,scripts/cross_fitting.py,s13b_local_analysis,evidence-recomputable,a1408c1ec41a374b,33144,"""$PY"" scripts/cross_fitting.py --from-cache || die ""cross-fitting"""
deep_contrast.csv,scripts/deep_model_contrast.py,s13b_local_analysis,evidence-recomputable,50ece4739bb328d3,6313,"""$PY"" scripts/deep_model_contrast.py --from-cache || die ""deep model contrast"""
deep_contrast_per_dataset.csv,scripts/deep_model_contrast.py,s13b_local_analysis,evidence-recomputable,94975c418fc3ce5e,75771,"""$PY"" scripts/deep_model_contrast.py --from-cache || die ""deep model contrast"""
design_effect.csv,scripts/design_effect.py,s13b_local_analysis,evidence-recomputable,55c0e9cc94e0ce4c,541,"""$PY"" scripts/design_effect.py --from-cache    || die ""design effect"""
design_effect_per_dataset.csv,scripts/design_effect.py,s13b_local_analysis,evidence-recomputable,ce0cf2e5b4e76b85,10747,"""$PY"" scripts/design_effect.py --from-cache    || die ""design effect"""
device_portability.csv,scripts/device_portability.py,s13b_local_analysis,evidence-recomputable,d9909ba1c2ab08d0,1105,"""$PY"" scripts/device_portability.py --from-cache || die ""device portability"""
device_portability_per_fold.csv,scripts/device_portability.py,s13b_local_analysis,evidence-recomputable,751b29f76e27a152,826,"""$PY"" scripts/device_portability.py --from-cache || die ""device portability"""
donor_overlap.csv,scripts/cloud_analysis.py,,frozen-only,43b141aab1a48869,7243,not invoked by run.sh
donor_overlap_strata.csv,scripts/cloud_analysis.py,,frozen-only,d4e8d187148fd4dd,456,not invoked by run.sh
estimands.csv,scripts/estimands.py,s13b_local_analysis,frozen-only,5b35dd05a858a5f7,4686,"#   ""$PY"" scripts/estimands.py       --store ../rbp-store   # B1, five estimands"
estimands_per_dataset.csv,scripts/estimands.py,s13b_local_analysis,frozen-only,630d9a4a20c96dbb,123678,"#   ""$PY"" scripts/estimands.py       --store ../rbp-store   # B1, five estimands"
estimator_floor.csv,scripts/estimator_floor.py,s13b_local_analysis,evidence-recomputable,b48cabbf2fb9fece,1239,"""$PY"" scripts/estimator_floor.py --from-cache || die ""estimator floor"""
estimator_floor_per_dataset.csv,scripts/estimator_floor.py,s13b_local_analysis,evidence-recomputable,0c7212247eb99b57,15014,"""$PY"" scripts/estimator_floor.py --from-cache || die ""estimator floor"""
expression_control.csv,scripts/expression_control.py,s13b_local_analysis,evidence-recomputable,a6a38120bd8bf2e0,2440,"""$PY"" scripts/expression_control.py --from-cache || die ""expression control"""
expression_control_per_dataset.csv,scripts/expression_control.py,s13b_local_analysis,evidence-recomputable,9db0c69caea63c2f,77420,"""$PY"" scripts/expression_control.py --from-cache || die ""expression control"""
fold_integrity.csv,scripts/fold_integrity.py,s13b_local_analysis,evidence-recomputable,56c39db13feffa0b,1620,"""$PY"" scripts/fold_integrity.py --from-cache   || die ""fold integrity"""
fold_integrity_per_dataset.csv,scripts/fold_integrity.py,s13b_local_analysis,evidence-recomputable,1fe9ddecccfa97d8,31402,"""$PY"" scripts/fold_integrity.py --from-cache   || die ""fold integrity"""
gene_clustered_cv.csv,scripts/gene_clustered_cv.py,s13b_local_analysis,frozen-only,97f8085027ebb5a1,2028,"#   ""$PY"" scripts/gene_clustered_cv.py --store ../rbp-store  # B10, needs the GENCODE GTF"
gene_clustered_cv_per_dataset.csv,scripts/gene_clustered_cv.py,s13b_local_analysis,frozen-only,01a9bfcb8ed368ce,26619,"#   ""$PY"" scripts/gene_clustered_cv.py --store ../rbp-store  # B10, needs the GENCODE GTF"
horlacher_arm.csv,scripts/horlacher_arm.py,s13b_local_analysis,evidence-recomputable,8c222bcf67c7f2ee,1786,"""$PY"" scripts/horlacher_arm.py --from-cache || die ""horlacher arm"""
horlacher_per_dataset.csv,scripts/transport_check.py,s13b_local_analysis,raw-reproducible,c7c580118f876def,8631,"""$PY"" scripts/transport_check.py || die ""transport check"""
incremental_value.csv,scripts/incremental_value.py,s13b_local_analysis,raw-reproducible,17164d09432e22a9,1229,"""$PY"" scripts/incremental_value.py || die ""incremental value"""
k_sweep.csv,scripts/k_sweep.py,s13b_local_analysis,evidence-recomputable,a65c6fe140d2990c,1128,"""$PY"" scripts/k_sweep.py --from-cache || die ""k sweep"""
k_sweep_per_dataset.csv,scripts/k_sweep.py,s13b_local_analysis,evidence-recomputable,629ae34e413e7cef,24436,"""$PY"" scripts/k_sweep.py --from-cache || die ""k sweep"""
locality_ism.csv,scripts/locality_probe.py,s10_locality,raw-reproducible,cc3aa844faae3767,15273,"""$PY"" scripts/locality_probe.py --gather"
manuscript_constants.csv,scripts/manuscript_constants.py,,frozen-only,10408db0cbd05e44,1653,not invoked by run.sh
match_quality.csv,scripts/match_quality.py,s13b_local_analysis,raw-reproducible,807a0ec378a48926,1591,"# its table is committed. Regenerate with: ""$PY"" scripts/match_quality.py"
match_quality_per_dataset.csv,scripts/match_quality.py,s13b_local_analysis,raw-reproducible,ad7e6b6aa9d1c0cb,31903,"# its table is committed. Regenerate with: ""$PY"" scripts/match_quality.py"
matched_four_models.csv,scripts/variant_splicebert.py,s12_clinvar,raw-reproducible,836721904cfb2c5f,11840,"""$PY"" scripts/variant_splicebert.py --what tables || die ""variant tables"""
matching_robustness.csv,scripts/matching_robustness.py,s13b_local_analysis,frozen-only,b0502c4ef80f369e,3315,"#   ""$PY"" scripts/matching_robustness.py --store ../rbp-store  # B11, needs the genome FASTA"
matching_robustness_per_dataset.csv,scripts/matching_robustness.py,s13b_local_analysis,frozen-only,3925ff6a38a876c1,10481,"#   ""$PY"" scripts/matching_robustness.py --store ../rbp-store  # B11, needs the genome FASTA"
models_by_protocol.csv,scripts/models_by_protocol.py,s13b_local_analysis,raw-reproducible,7b2234127c48edee,4803,"""$PY"" scripts/models_by_protocol.py || die ""per-model protocol analyses"""
multidonor_pairs.csv,scripts/verify.py,s14_verify,raw-reproducible,c329179e0980fa66,35092,"""$PY"" scripts/verify.py --local results/tables || die ""THE SCIENCE DID NOT REPRODUCE (local tables) "
multidonor_specificity.csv,scripts/verify.py,s14_verify,raw-reproducible,2eade86c91b834b7,2587,"""$PY"" scripts/verify.py --local results/tables || die ""THE SCIENCE DID NOT REPRODUCE (local tables) "
multiplier_variance.csv,scripts/multiplier_variance.py,s13b_local_analysis,raw-reproducible,8756e2f86e4f4fd0,2135,"""$PY"" scripts/multiplier_variance.py || die ""multiplier variance"""
