dataset,arm,model,n_folds,pooled,fold_averaged,rank_pooled
AATF:K562,gc,kmer,5,0.01644621634068688,0.014483099545006683,0.015081596802497321
AATF:K562,gc,cnn,5,0.00636117696481775,0.0048467096247221345,0.005064121950748568
AATF:K562,gc,splicebert,5,0.02683184890550061,0.03208245372876399,0.03252197685524383
AATF:K562,dn,kmer,5,0.048077079416478874,0.046609381973849964,0.04712248654541795
AATF:K562,dn,cnn,5,-0.014466510520203868,-0.0081910624397999,-0.010985733735765613
AATF:K562,dn,splicebert,5,0.10133660117015708,0.1036709755058346,0.10240073047106657
AATF:K562,neg2,kmer,5,0.05085080741904435,0.050145307168418626,0.051008917597938686
AATF:K562,neg2,cnn,5,0.00672060184823442,0.01142003410850001,0.011561347209033679
AATF:K562,neg2,splicebert,5,0.09071203815970763,0.09275521418249663,0.09234094070040977
AKAP1:HepG2,gc,kmer,5,0.008574922110060834,0.008595702619818213,0.008689319731524314
AKAP1:HepG2,gc,cnn,5,0.04196270540689706,0.04567501636989022,0.045698687888336975
AKAP1:HepG2,gc,splicebert,5,0.07228776015239735,0.0793124421986749,0.07910119816980898
AKAP1:HepG2,dn,kmer,5,0.0313997050163779,0.03210203473488153,0.031917241501935756
AKAP1:HepG2,dn,cnn,5,0.08609789522987876,0.098885322632868,0.09859885469252205
AKAP1:HepG2,dn,splicebert,5,0.15453805373947793,0.15864147403304113,0.15821235326945948
AKAP1:HepG2,neg2,kmer,5,0.013955142516334673,0.013986215997349172,0.01410637184211927
AKAP1:HepG2,neg2,cnn,5,0.01726503943456348,0.021084260842314184,0.02150783528280731
AKAP1:HepG2,neg2,splicebert,5,0.07546175292421087,0.0790516251671205,0.0790418629493137
AQR:HepG2,gc,kmer,5,0.10411836383167772,0.10351970720013777,0.10443291124846688
AQR:HepG2,gc,cnn,5,0.17708839981728197,0.17932664381349195,0.18039643263938665
AQR:HepG2,gc,splicebert,5,0.2878954664257083,0.2890240520988008,0.28950288949860215
AQR:HepG2,dn,kmer,5,0.1347963926118254,0.13415932992970311,0.13488729716124626
AQR:HepG2,dn,cnn,5,0.2202863164667741,0.2217085163830544,0.22219786493405058
AQR:HepG2,dn,splicebert,5,0.3341454782708263,0.33912650620956286,0.3390689688395431
AQR:HepG2,neg2,kmer,5,0.03574946655954614,0.036058715769090456,0.03591073171018799
AQR:HepG2,neg2,cnn,5,0.09157668716756806,0.10043126020120412,0.09999501770890107
AQR:HepG2,neg2,splicebert,5,0.22965000531089952,0.23202484338409218,0.2313662836163054
BCCIP:HepG2,gc,kmer,5,0.0004422271665676103,0.0023446439271414656,0.0014994264866432516
BCCIP:HepG2,gc,cnn,5,-0.00048023106369443624,0.0009554484595799551,0.0009069111814373754
BCCIP:HepG2,gc,splicebert,5,0.01011249153549576,0.013601638225488077,0.013465471732010181
BCCIP:HepG2,dn,kmer,5,0.013303685447867641,0.010887700390173305,0.012964639389235089
BCCIP:HepG2,dn,cnn,5,0.03522292708616581,0.02154354310814808,0.02619431985983789
BCCIP:HepG2,dn,splicebert,5,0.03646208019385855,0.056410740277455386,0.054591578577796396
BCCIP:HepG2,neg2,kmer,5,-0.0021593123367560363,-0.002236623144971461,-0.002124763339367841
BCCIP:HepG2,neg2,cnn,5,0.0003765840715301838,-0.0005358875703991739,-0.0005320545597767845
BCCIP:HepG2,neg2,splicebert,5,0.02766338220864817,0.035534586416220204,0.03485821091471919
BCLAF1:HepG2,gc,kmer,5,0.06953657571286354,0.06928069459437122,0.06949490314441864
BCLAF1:HepG2,gc,cnn,5,0.13562498214972696,0.1387416340257368,0.13883914884039728
BCLAF1:HepG2,gc,splicebert,5,0.22332418108897523,0.22475950092485802,0.22522094709398777
BCLAF1:HepG2,dn,kmer,5,0.1403414503506233,0.14018748058201952,0.14035843928962943
BCLAF1:HepG2,dn,cnn,5,0.24549671919992044,0.24783125201422546,0.24783240086382796
BCLAF1:HepG2,dn,splicebert,5,0.3453936635522856,0.3480729847301568,0.34788538366347377
BCLAF1:HepG2,neg2,kmer,5,0.01007500589364152,0.010172806954960433,0.010160383024750419
BCLAF1:HepG2,neg2,cnn,5,0.00598129846730544,0.008582804794576116,0.008532481989226848
BCLAF1:HepG2,neg2,splicebert,5,0.041900605682648195,0.043053324133062953,0.04312035812804382
BUD13:K562,gc,kmer,5,0.06975012235774869,0.06966704861569964,0.06974085263585739
BUD13:K562,gc,cnn,5,0.1293999118776501,0.1304193294794222,0.13065789119232707
BUD13:K562,gc,splicebert,5,0.24248072671936116,0.24518787963649027,0.24578861117194895
BUD13:K562,dn,kmer,5,0.11199585048996141,0.11232599714893413,0.11213728494366237
BUD13:K562,dn,cnn,5,0.18460875227425055,0.18966284626985047,0.18977526892016983
BUD13:K562,dn,splicebert,5,0.3285154840563057,0.33132264090233343,0.3314105142200515
BUD13:K562,neg2,kmer,5,0.007137789068245914,0.007164246178392686,0.007110012156301804
BUD13:K562,neg2,cnn,5,0.0459510499853335,0.049961669222635494,0.05005380180129615
BUD13:K562,neg2,splicebert,5,0.11891583706633713,0.12820510105484462,0.12813481739022015
CDC40:HepG2,gc,kmer,5,0.007508031535522375,0.006769845393658436,0.006718674028534877
CDC40:HepG2,gc,cnn,5,0.0019113115639198819,0.004515389540535075,0.004750313953245655
CDC40:HepG2,gc,splicebert,5,0.046425556539921975,0.05024303917498625,0.04981565500639851
CDC40:HepG2,dn,kmer,5,0.004783835571759765,0.0047128429970936915,0.004853725727731351
CDC40:HepG2,dn,cnn,5,0.04622869806287777,0.05169374387128982,0.05107587158848681
CDC40:HepG2,dn,splicebert,5,0.1152859963424151,0.12465932744936774,0.12219492946918431
CDC40:HepG2,neg2,kmer,5,-0.0017748425759379627,-0.001078105835426202,-0.0014731939112460068
CDC40:HepG2,neg2,cnn,5,0.0006316351520249119,0.003929822875652378,0.0035384991692544165
CDC40:HepG2,neg2,splicebert,5,0.018821534358864134,0.01805795176116496,0.019111624174847353
CSTF2T:HepG2,gc,kmer,5,0.020778226941321143,0.020495773711299424,0.020954557960266906
CSTF2T:HepG2,gc,cnn,5,0.06888758883520008,0.07483521815834168,0.07619940666002556
CSTF2T:HepG2,gc,splicebert,5,0.11931887356074689,0.1221781286889235,0.12299043621828276
CSTF2T:HepG2,dn,kmer,5,0.022882264351205328,0.02305039617428235,0.02338345712154477
CSTF2T:HepG2,dn,cnn,5,0.08643860713283902,0.09622717709559328,0.09777202698718968
CSTF2T:HepG2,dn,splicebert,5,0.1516146470607368,0.15604952632564878,0.1581258627767601
CSTF2T:HepG2,neg2,kmer,5,0.014592376647354799,0.014396865549070803,0.01470590004449035
CSTF2T:HepG2,neg2,cnn,5,0.020336565925400896,0.021260173228857582,0.02190208590157261
CSTF2T:HepG2,neg2,splicebert,5,0.051627166639187094,0.05217739261296206,0.05297761765536324
DDX24:K562,gc,kmer,5,0.09464438212815096,0.09472517851139509,0.09467892127813893
DDX24:K562,gc,cnn,5,0.13852280301539333,0.14105942356803403,0.14122015133508248
DDX24:K562,gc,splicebert,5,0.27660360494562775,0.2778779807762318,0.277790918807717
DDX24:K562,dn,kmer,5,0.1511693467881945,0.15142747555174407,0.15140681423611124
DDX24:K562,dn,cnn,5,0.18893538411458333,0.1950195463067492,0.19449101562500004
DDX24:K562,dn,splicebert,5,0.3518490451388889,0.3558249855293947,0.35641575520833324
DDX24:K562,neg2,kmer,5,0.035979214531995485,0.03621307304568644,0.03597989411545954
DDX24:K562,neg2,cnn,5,0.04047516475821511,0.04063235546266723,0.04050912762142522
DDX24:K562,neg2,splicebert,5,0.13802070500532237,0.1397214339376725,0.13963268785589789
DDX55:HepG2,gc,kmer,5,0.012583715626623526,0.01275799482856559,0.012788348933247873
DDX55:HepG2,gc,cnn,5,0.006397520450122984,0.013820487140452054,0.01381750301578788
DDX55:HepG2,gc,splicebert,5,0.05299615211897635,0.05707112266915952,0.05692187128529791
DDX55:HepG2,dn,kmer,5,0.04268774036127543,0.04436518436326915,0.0440282403830865
DDX55:HepG2,dn,cnn,5,0.0679452866323601,0.07990263517600582,0.07968596311259146
DDX55:HepG2,dn,splicebert,5,0.12524185638761198,0.14054820461744894,0.1400918385869816
DDX55:HepG2,neg2,kmer,5,0.01069728535075598,0.010812854630158996,0.010903679701326885
DDX55:HepG2,neg2,cnn,5,0.0024552474707004723,0.004589857257622332,0.004659722283369416
DDX55:HepG2,neg2,splicebert,5,0.08323116343368353,0.0854462904819934,0.08572726712395096
DDX55:K562,gc,kmer,5,0.010660330578512567,0.010107865680634442,0.010758677685950513
DDX55:K562,gc,cnn,5,0.02378347107438017,0.029241627202792088,0.027380165289256242
DDX55:K562,gc,splicebert,5,0.11548264462809932,0.11527696008709734,0.11559669421487595
DDX55:K562,dn,kmer,5,0.02960070153382155,0.02972205781974131,0.030457820113991008
DDX55:K562,dn,cnn,5,0.01594702528706049,0.02857373170137918,0.02944231195981528
DDX55:K562,dn,splicebert,5,0.14726105654095334,0.15181427955114463,0.15338751576677478
DDX55:K562,neg2,kmer,5,-0.0013842975206613817,-0.0012569853369401862,-0.001096280991735532
DDX55:K562,neg2,cnn,5,0.0016528925619833101,0.005021155317651504,0.0055975206611570405
DDX55:K562,neg2,splicebert,5,0.032566942148760325,0.03777521657934202,0.03524421487603313
DDX59:HepG2,gc,kmer,5,0.0036660316849573826,0.004658348004639401,0.00456697282060714
DDX59:HepG2,gc,cnn,5,0.005313212314637328,0.012991944163656722,0.013061553002650328
DDX59:HepG2,gc,splicebert,5,0.026419733788642152,0.029740881830817932,0.030390445042590697
DDX59:HepG2,dn,kmer,5,0.01893947770055937,0.01895912084322382,0.01922820362901745
DDX59:HepG2,dn,cnn,5,0.039349099620506145,0.04557623400407684,0.046087365426731086
DDX59:HepG2,dn,splicebert,5,0.08754086310293285,0.08637331313467636,0.08735892908775911
DDX59:HepG2,neg2,kmer,5,0.005188141244209188,0.00613124040408426,0.005853916560311423
DDX59:HepG2,neg2,cnn,5,0.001567521630316926,0.0024059455291648214,0.002418380659224284
DDX59:HepG2,neg2,splicebert,5,0.020738608548377058,0.022177075360243846,0.022160875965570148
DDX6:HepG2,gc,kmer,5,0.013161182840483177,0.01318379567794723,0.01290712203248634
DDX6:HepG2,gc,cnn,5,-0.003319450229071208,-0.0008976817804402293,-0.0012203248646398546
DDX6:HepG2,gc,splicebert,5,0.04198667221990837,0.04571727439865723,0.04655768429820906
DDX6:HepG2,dn,kmer,5,0.06236191056124496,0.061201752460279014,0.06011750716933617
DDX6:HepG2,dn,cnn,5,0.01747795711975786,0.03571060238375059,0.036451497434673574
DDX6:HepG2,dn,splicebert,5,0.10295454825981598,0.11030741391971696,0.11020000082287928
DDX6:HepG2,neg2,kmer,5,0.010403998334027498,0.012852693441016583,0.01118908788005013
DDX6:HepG2,neg2,cnn,5,-0.004981257809246076,-0.003037585455462577,-0.0034277384423155866
DDX6:HepG2,neg2,splicebert,5,0.054618908788005016,0.06597661305251616,0.06457517700957938
DDX6:K562,gc,kmer,5,0.01105294781181887,0.011844444038901392,0.011947828043623376
DDX6:K562,gc,cnn,5,0.011918171587732118,0.014983547035848543,0.015215889689687012
DDX6:K562,gc,splicebert,5,0.05660951969574335,0.06360885830954585,0.06352559139361669
DDX6:K562,dn,kmer,5,0.05163493174429801,0.05240066259342617,0.05172873018883972
DDX6:K562,dn,cnn,5,0.07021905926831984,0.07536157888110513,0.0758728684401595
DDX6:K562,dn,splicebert,5,0.16846514609402097,0.17783765860464362,0.17796822365107512
DDX6:K562,neg2,kmer,5,0.02944048241877506,0.029489650531980292,0.02987628603292658
DDX6:K562,neg2,cnn,5,0.008500098810523382,0.013754646108891655,0.013557654943013198
DDX6:K562,neg2,splicebert,5,0.06189422034241354,0.06478688710311117,0.06506094468179957
DGCR8:K562,gc,kmer,5,-0.0006035232140424451,-0.0007362935989347231,-0.0006794545511672467
DGCR8:K562,gc,cnn,5,0.009964024256134851,0.011303378815580568,0.012024970936626023
DGCR8:K562,gc,splicebert,5,0.053329981881212074,0.06103718670090075,0.06032646547480647
DGCR8:K562,dn,kmer,5,-0.003603164058295194,-0.003739077543788083,-0.003760487997202633
DGCR8:K562,dn,cnn,5,0.02772340795498629,0.026188894530988584,0.02831958288137204
DGCR8:K562,dn,splicebert,5,0.09304277873566325,0.10045151113480763,0.10076884909576955
DGCR8:K562,neg2,kmer,5,-0.0011383154763774384,-0.0012724988023888884,-0.00133305317288257
DGCR8:K562,neg2,cnn,5,-0.003293849038028429,-0.002991339466449916,-0.0033007221331992076
DGCR8:K562,neg2,splicebert,5,0.07914467276212023,0.0877852205502826,0.08631527476670753
DHX30:K562,gc,kmer,5,0.010985324947589081,0.010122006472577017,0.011026462560816408
DHX30:K562,gc,cnn,5,-0.0012768482259404301,0.0070552710070138636,0.006889759107630344
DHX30:K562,gc,splicebert,5,0.025244254578537184,0.04256322858870918,0.04174201969858793
DHX30:K562,dn,kmer,5,0.0016893086059006635,0.0003356259342524925,0.00017747313601645942
DHX30:K562,dn,cnn,5,0.01260722028466399,0.019617172812071048,0.018986679941559004
DHX30:K562,dn,splicebert,5,0.08732561975681019,0.09274093271592246,0.09111809548496552
DHX30:K562,neg2,kmer,5,0.0036296032593645666,0.004018431160826896,0.003923104307582803
DHX30:K562,neg2,cnn,5,0.0010410980578298146,0.0012184875775164805,0.0009532850757486555
DHX30:K562,neg2,splicebert,5,0.03919623432617381,0.03836508907519089,0.037899608401566476
DROSHA:HepG2,gc,kmer,5,0.01736864471193056,0.016272610220082105,0.01667431783004647
DROSHA:HepG2,gc,cnn,5,0.029753380619394365,0.03037609281160345,0.031298692493193725
DROSHA:HepG2,gc,splicebert,5,0.07491863711115099,0.08246027380843253,0.08234472816848848
DROSHA:HepG2,dn,kmer,5,0.04426842235908168,0.04389041405966369,0.04399587744367972
DROSHA:HepG2,dn,cnn,5,0.047741483181043654,0.06914399175210037,0.06906047058862996
DROSHA:HepG2,dn,splicebert,5,0.13458771082397458,0.1449717298310162,0.1441660922258451
DROSHA:HepG2,neg2,kmer,5,0.017906313483782688,0.018300539378928126,0.01846892231312447
DROSHA:HepG2,neg2,cnn,5,0.010505270449551518,0.010498010941315816,0.010389531308301447
DROSHA:HepG2,neg2,splicebert,5,0.08036291130581397,0.08967596669889148,0.08856041669545756
DROSHA:K562,gc,kmer,5,0.009727918549977788,0.00966681982509987,0.00991970305702694
DROSHA:K562,gc,cnn,5,0.018536541192577194,0.021421729068752882,0.0216775095724816
DROSHA:K562,gc,splicebert,5,0.06445522177098073,0.0648729896836328,0.06506636483454908
DROSHA:K562,dn,kmer,5,0.024137440384958575,0.02409186083513415,0.02406955670719424
DROSHA:K562,dn,cnn,5,0.05674058184071851,0.0625048075089553,0.06244978824987668
DROSHA:K562,dn,splicebert,5,0.11911316137352224,0.12897127991846769,0.12863288533149153
