check,value,n,ci_low,ci_high,note
max |order-2 gain - published gain|,9.8879238130678e-17,30,,,
"composition AUROC, order-2 baseline, gc arm",0.7617065669618908,30,0.7271757552053923,0.7965341463084308,
"composition AUROC, order-3 baseline, gc arm",0.7836562433544143,30,0.7540646982993314,0.8141841782279652,
"gain over order-2 baseline, gc arm",0.02883771109450438,30,0.018805185048171365,0.040279108633924796,
"gain over order-3 baseline, gc arm",0.005789328823823226,30,0.0022831641169593193,0.010132806450435272,
"fraction removed by order 3, gc arm",0.7992445099109651,30,,,
"composition AUROC, order-2 baseline, dn arm",0.614463505806514,30,0.5928043313010196,0.6397027412117315,
"composition AUROC, order-3 baseline, dn arm",0.6666493662408093,30,0.6465493840499428,0.687971479533858,
"gain over order-2 baseline, dn arm",0.06495348538680569,30,0.050648626300459014,0.08000878972630543,
"gain over order-3 baseline, dn arm",0.010541797447560857,30,0.0056507819013251305,0.016139917586646103,
"fraction removed by order 3, dn arm",0.8377023590838397,30,,,
"composition AUROC, order-2 baseline, neg2 arm",0.8004912954884522,30,0.7719958418750802,0.8312361773039028,
"composition AUROC, order-3 baseline, neg2 arm",0.8126654163511066,30,0.7854150294677618,0.8423214515629328,
"gain over order-2 baseline, neg2 arm",0.012165034717635251,30,0.007572302148392204,0.017354526886026764,
"gain over order-3 baseline, neg2 arm",0.0014717525292099799,30,0.0004304925667248447,0.00269625452565636,
"fraction removed by order 3, neg2 arm",0.8790178110156621,30,,,
"R1 contrast (dn-gc), order-2 baseline",0.036115774292301304,30,0.029130601498224863,0.0429263189089894,
"R1 contrast (dn-gc), order-3 baseline",0.00475246862373763,30,0.002515240050513547,0.007062218605234405,
fraction of the R1 contrast removed by order 3,0.8684101693272931,30,,,
"fold range across protocols, order-2 baseline",5.339358817664922,30,,,
"fold range across protocols, order-3 baseline",7.162751371808122,30,,,
