check,value,n,ci_low,ci_high,note
max |order-2 gain - R1g published gain|,0.0,94,,,
"composition AUROC, order-2 baseline, gc arm",0.7827305897323874,94,0.7614192470827716,0.8037114557661579,
"composition AUROC, order-3 baseline, gc arm",0.8023183116568375,94,0.7828480597003219,0.820904430747193,
"kmer gain over order-2 baseline, gc arm",0.026513098340627504,94,0.020246835224857606,0.033118096980725924,
"kmer gain over order-3 baseline, gc arm",0.005754301573012484,94,0.003644357059304313,0.008199148401267578,
"kmer fraction surviving order 3, gc arm",0.217036179592592,94,0.16869426264415768,0.2622375614732249,"ratio of means, protein-clustered"
"cnn gain over order-2 baseline, gc arm",0.03300453940390074,94,0.025145241638451662,0.041781994918521866,
"cnn gain over order-3 baseline, gc arm",0.019963757361341858,94,0.014888479355291641,0.025716537418544388,
"cnn fraction surviving order 3, gc arm",0.6048791385036685,94,0.5624672525972428,0.6464605781943016,"ratio of means, protein-clustered"
"splicebert gain over order-2 baseline, gc arm",0.08902656237648787,94,0.0742555187640919,0.1042822812536773,
"splicebert gain over order-3 baseline, gc arm",0.06680513114322234,94,0.05559747461975015,0.07875590487063583,
"splicebert fraction surviving order 3, gc arm",0.7503954927598747,94,0.7264303855150576,0.7717806731512956,"ratio of means, protein-clustered"
"composition AUROC, order-2 baseline, dn arm",0.627428716941948,94,0.6124466405726167,0.6431675568489014,
"composition AUROC, order-3 baseline, dn arm",0.6790769968872272,94,0.6639906219088263,0.693691511460266,
"kmer gain over order-2 baseline, dn arm",0.06626325416626831,94,0.053744534498624034,0.08010068136370237,
"kmer gain over order-3 baseline, dn arm",0.012446906547234805,94,0.00840031547010417,0.017453957962014124,
"kmer fraction surviving order 3, dn arm",0.187840254811557,94,0.1472015444364728,0.22780424024712081,"ratio of means, protein-clustered"
"cnn gain over order-2 baseline, dn arm",0.08600314190115597,94,0.07127852893906585,0.10146454224865287,
"cnn gain over order-3 baseline, dn arm",0.0508231559561075,94,0.04186042870241585,0.06071812415924561,
"cnn fraction surviving order 3, dn arm",0.5909453402820901,94,0.5473145518346114,0.6357958656373297,"ratio of means, protein-clustered"
"splicebert gain over order-2 baseline, dn arm",0.17537926379280305,94,0.1569471494435146,0.19306232171580162,
"splicebert gain over order-3 baseline, dn arm",0.12134433577604874,94,0.10929698762862898,0.133401311275006,
"splicebert fraction surviving order 3, dn arm",0.6918967108871412,94,0.665990810344268,0.7172125110801556,"ratio of means, protein-clustered"
"cnn minus kmer, order-3 baseline, gc arm",0.014209455788329373,94,0.010393335318681748,0.01840482355070116,
"splicebert minus kmer, order-3 baseline, gc arm",0.061050829570209846,94,0.050923734691323004,0.0720132541847688,
"splicebert / kmer at order 3, gc arm",11.609598540426969,94,,,
"splicebert / kmer at order 2, gc arm",3.357833220120769,94,,,
"cnn minus kmer, order-3 baseline, dn arm",0.0383762494088727,94,0.031068675595106236,0.046826866312815484,
"splicebert minus kmer, order-3 baseline, dn arm",0.10889742922881393,94,0.09840959911542078,0.11939421960742827,
"splicebert / kmer at order 3, dn arm",9.748955317978707,94,,,
"splicebert / kmer at order 2, dn arm",2.64670466308129,94,,,
"kmer R1 contrast (dn-gc), order-2 baseline",0.03975015582564081,94,0.032380688905429444,0.04780470911925195,
"kmer dn/gc multiplier, order-2 baseline",2.499264828084216,94,,,
"cnn R1 contrast (dn-gc), order-2 baseline",0.05299860249725525,94,0.04377283050456185,0.06296863274513136,
"cnn dn/gc multiplier, order-2 baseline",2.605797367709711,94,,,
"splicebert R1 contrast (dn-gc), order-2 baseline",0.08635270141631521,94,0.07766617676681276,0.09539543246069412,
"splicebert dn/gc multiplier, order-2 baseline",1.9699655823071647,94,,,
"kmer R1 contrast (dn-gc), order-3 baseline",0.006692604974222322,94,0.004353544962670908,0.009573442441729807,
"kmer dn/gc multiplier, order-3 baseline",2.1630612141724472,94,,,
"cnn R1 contrast (dn-gc), order-3 baseline",0.030859398594765643,94,0.024636450146865975,0.037369079134961944,
"cnn dn/gc multiplier, order-3 baseline",2.5457710708567456,94,,,
"splicebert R1 contrast (dn-gc), order-3 baseline",0.054539204632826375,94,0.048813788024218555,0.060202029269726946,
"splicebert dn/gc multiplier, order-3 baseline",1.8163924491952685,94,,,
