protein,cell,pairs,dataset
AATF,K562,1081,AATF:K562
ADAT1,K562,936,ADAT1:K562
AGGF1,HepG2,3711,AGGF1:HepG2
AGGF1,K562,6959,AGGF1:K562
AKAP1,HepG2,5943,AKAP1:HepG2
AKAP1,K562,1494,AKAP1:K562
AKAP8L,K562,2187,AKAP8L:K562
APOBEC3C,K562,1021,APOBEC3C:K562
AQR,HepG2,11101,AQR:HepG2
AQR,K562,24590,AQR:K562
BCCIP,HepG2,539,BCCIP:HepG2
BCLAF1,HepG2,32387,BCLAF1:HepG2
BUD13,HepG2,4297,BUD13:HepG2
BUD13,K562,8850,BUD13:K562
CDC40,HepG2,1172,CDC40:HepG2
CPSF6,K562,791,CPSF6:K562
CSTF2,HepG2,3037,CSTF2:HepG2
CSTF2T,HepG2,18864,CSTF2T:HepG2
CSTF2T,K562,10814,CSTF2T:K562
DDX1,K562,3597,DDX1:K562
DDX24,K562,9600,DDX24:K562
DDX3X,HepG2,8397,DDX3X:HepG2
DDX3X,K562,6672,DDX3X:K562
DDX43,K562,9098,DDX43:K562
DDX51,K562,421,DDX51:K562
DDX52,K562,1242,DDX52:K562
DDX55,HepG2,1686,DDX55:HepG2
DDX55,K562,1101,DDX55:K562
DDX59,HepG2,3089,DDX59:HepG2
DDX6,HepG2,493,DDX6:HepG2
DDX6,K562,1955,DDX6:K562
DGCR8,HepG2,1724,DGCR8:HepG2
DGCR8,K562,1253,DGCR8:K562
DHX30,K562,824,DHX30:K562
DKC1,HepG2,2654,DKC1:HepG2
DROSHA,HepG2,2184,DROSHA:HepG2
DROSHA,K562,3915,DROSHA:K562
EFTUD2,HepG2,7401,EFTUD2:HepG2
EFTUD2,K562,5563,EFTUD2:K562
EIF3D,HepG2,816,EIF3D:HepG2
EIF3H,HepG2,2832,EIF3H:HepG2
EIF4E,K562,2142,EIF4E:K562
EIF4G2,K562,4625,EIF4G2:K562
ELAC2,K562,12915,ELAC2:K562
ELAVL1,K562,8806,ELAVL1:K562
EWSR1,K562,8702,EWSR1:K562
EXOSC10,K562,1363,EXOSC10:K562
EXOSC5,HepG2,727,EXOSC5:HepG2
EXOSC5,K562,12000,EXOSC5:K562
FAM120A,HepG2,7988,FAM120A:HepG2
FAM120A,K562,5862,FAM120A:K562
FASTKD2,HepG2,868,FASTKD2:HepG2
FASTKD2,K562,542,FASTKD2:K562
FKBP4,HepG2,1454,FKBP4:HepG2
FMR1,K562,4445,FMR1:K562
FTO,HepG2,539,FTO:HepG2
FTO,K562,840,FTO:K562
FUBP3,HepG2,2760,FUBP3:HepG2
FUS,HepG2,882,FUS:HepG2
FUS,K562,4464,FUS:K562
FXR1,K562,1425,FXR1:K562
FXR2,HepG2,3874,FXR2:HepG2
FXR2,K562,4745,FXR2:K562
G3BP1,HepG2,6482,G3BP1:HepG2
GARS,K562,566,GARS:K562
GEMIN5,K562,2640,GEMIN5:K562
GPKOW,K562,1082,GPKOW:K562
GRSF1,HepG2,1008,GRSF1:HepG2
GRWD1,HepG2,22078,GRWD1:HepG2
GRWD1,K562,4375,GRWD1:K562
GTF2F1,HepG2,4472,GTF2F1:HepG2
GTF2F1,K562,4958,GTF2F1:K562
HLTF,HepG2,3645,HLTF:HepG2
HNRNPC,HepG2,3271,HNRNPC:HepG2
HNRNPC,K562,516,HNRNPC:K562
HNRNPK,HepG2,5665,HNRNPK:HepG2
HNRNPK,K562,4822,HNRNPK:K562
HNRNPL,HepG2,8811,HNRNPL:HepG2
HNRNPL,K562,5840,HNRNPL:K562
HNRNPM,HepG2,13423,HNRNPM:HepG2
HNRNPM,K562,6442,HNRNPM:K562
HNRNPUL1,HepG2,467,HNRNPUL1:HepG2
IGF2BP1,HepG2,4444,IGF2BP1:HepG2
IGF2BP1,K562,5706,IGF2BP1:K562
IGF2BP2,K562,3833,IGF2BP2:K562
IGF2BP3,HepG2,2218,IGF2BP3:HepG2
ILF3,HepG2,3513,ILF3:HepG2
ILF3,K562,2913,ILF3:K562
KHDRBS1,K562,1220,KHDRBS1:K562
KHSRP,HepG2,5289,KHSRP:HepG2
KHSRP,K562,23190,KHSRP:K562
LARP4,HepG2,5429,LARP4:HepG2
