dataset,protein,cell,gain_dn_1:1,comp_dn_1:1,rows_dn_1:1,gain_dn_1:2,comp_dn_1:2,rows_dn_1:2,gain_dn_1:4,comp_dn_1:4,rows_dn_1:4,gain_dn_2:1,comp_dn_2:1,rows_dn_2:1,gain_gc_1:1,comp_gc_1:1,rows_gc_1:1,gain_gc_1:2,comp_gc_1:2,rows_gc_1:2,gain_gc_1:4,comp_gc_1:4,rows_gc_1:4,gain_gc_2:1,comp_gc_2:1,rows_gc_2:1,gain_neg2_1:1,comp_neg2_1:1,rows_neg2_1:1,gain_neg2_1:2,comp_neg2_1:2,rows_neg2_1:2,gain_neg2_1:4,comp_neg2_1:4,rows_neg2_1:4,gain_neg2_2:1,comp_neg2_2:1,rows_neg2_2:1
AATF:K562,AATF,K562,0.0473171704344062,0.6370929716120938,2162,0.033620543721925245,0.5993389430270116,1622,0.005219302886831034,0.6429744223436683,1352.0,0.037582439755070474,0.6342436403617516,1622,0.016446216340686992,0.843218130457444,2086,0.009041428883075686,0.8295712654150679,1566,-0.0015662394882641761,0.8581162676659372,1305.0,0.01949993492077773,0.8402809222550774,1566,0.05085080741904435,0.7559330385007478,2086,0.04512281640876348,0.7465961733417174,1566,0.022037135977399425,0.7696969253401447,1305.0,0.047636157649375344,0.7564203861122771,1566
AKAP1:HepG2,AKAP1,HepG2,0.03239114738821314,0.5841359480774917,11886,0.02712636353115927,0.5843513037381368,8915,0.025608806315900456,0.5647839083224233,7429.0,0.032616156764271875,0.5804800721252978,8915,0.008574922110060834,0.7162465559294272,11850,0.007659495665205185,0.7167330205101468,8887,0.004060882488597373,0.7098731899531366,7407.0,0.004626763191708183,0.719435607711747,8887,0.013955142516334673,0.7934906443055778,11850,0.013282905551899371,0.7956968293176295,8887,0.00774856648274358,0.7954737867062984,7407.0,0.012419821252033336,0.7945209788117849,8887
AQR:HepG2,AQR,HepG2,0.1347963926118254,0.5967507659436684,22216,0.13654755632621407,0.5918334105101464,16662,0.12146527062867485,0.5980522331632764,13885.0,0.13061378648030797,0.5986553728742284,16662,0.10411836383167761,0.6394277921976217,21858,0.10560647206841667,0.6336156728100061,16393,0.08917986814132539,0.64819799887655,13661.0,0.10297999251658552,0.6363729714500905,16393,0.03574946655954625,0.6624674684898553,21858,0.0340612079270608,0.6627991808434234,16393,0.030011794482877496,0.6642283274702536,13661.0,0.034497204570911544,0.6628488659733321,16393
BCCIP:HepG2,BCCIP,HepG2,0.013303685447867752,0.6828318779021139,1078,0.008857280285851643,0.6827870542156257,809,-0.005826977255548704,0.6679035250463822,674.0,0.005600219885934177,0.6978217549646121,809,0.0004422271665676103,0.9123388289271844,1076,9.637890678759753e-05,0.9133484785901144,808,-0.001349304695029585,0.8995318738813162,673.0,0.0004337050805454101,0.9149662673826242,808,-0.0021593123367560363,0.8674009480244884,1076,-0.0016109045848823333,0.8663018036623985,808,-0.003800082610491362,0.8608013217678645,673.0,-0.0004474734958006543,0.8682018449676443,808
BCLAF1:HepG2,BCLAF1,HepG2,0.1403414503506233,0.5665554522606242,64774,0.13849494103130666,0.5644161475295114,48581,0.13301746246177215,0.5698457954183287,40484.0,0.13648587130769252,0.5674940878697005,48581,0.06953657571286365,0.706420045972539,64768,0.06725693374784214,0.7055487123575884,48576,0.06462592937370137,0.7093031511254765,40480.0,0.06996681878354016,0.7058635465477755,48576,0.01007500589364152,0.9177415003865422,64768,0.009862767863942912,0.918305130385107,48576,0.009804376874736342,0.9185407482675776,40480.0,0.009959588431289967,0.9181415086037705,48576
BUD13:K562,BUD13,K562,0.11199585048996152,0.5693739729962654,17700,0.10252030526864242,0.5715277224384713,13274,0.10132942041867166,0.55563638499811,11062.0,0.10770077951798629,0.5676012198485916,13274,0.06975012235774869,0.6641432165710477,17608,0.06369525871206783,0.6634765835858757,13206,0.05324946262706165,0.6603570802664767,11005.0,0.06734906441477495,0.6644623607748409,13206,0.007137789068245914,0.7059327871495362,17608,0.005491597413178506,0.7055163011897653,13206,0.00657067819117374,0.706957784873713,11005.0,0.009614914207143332,0.7027778821365118,13206
CDC40:HepG2,CDC40,HepG2,0.004783835571759543,0.6671568684550782,2344,-0.00141964379317161,0.6548096075667742,1758,0.0004208167908801297,0.6766792041048502,1466.0,0.0013017041549697739,0.6511025172104509,1758,0.007508031535522153,0.8092901822867729,2316,0.004086212357542696,0.8061312607944733,1736,0.00869534037327202,0.8184078264039539,1447.0,0.00569231045054408,0.8154301952417662,1736,-0.0017748425759379627,0.7895648205320949,2316,-0.0004915407186952825,0.7885403780530804,1736,0.00013745211586635442,0.7985340433033926,1447.0,-0.0025070070698197666,0.7860468173859,1736
CSTF2T:HepG2,CSTF2T,HepG2,0.022882264351205328,0.7192413402460898,37744,0.021818285766751933,0.7198631063688549,28309,0.019006560966892128,0.7138274273070709,23590.0,0.02061983593211758,0.7175800560087393,28309,0.020778226941321365,0.768759438327008,39066,0.01903585089436366,0.7676467382952712,29300,0.01705882950552995,0.7610562250083585,24416.0,0.01962775625014246,0.7704142416528635,29300,0.014592376647354688,0.8854031019167788,39066,0.013662725364191441,0.8857695863300039,29300,0.010856127270517324,0.8838666342614276,24416.0,0.013835739861068674,0.8857228384760192,29300
DDX24:K562,DDX24,K562,0.15116934678819438,0.5576034830729166,19200,0.15036391059027787,0.549768359375,14400,0.13970494791666654,0.5488604166666667,12000.0,0.14518619791666665,0.5550733289930556,14400,0.09464438212815096,0.645736282471857,19180,0.09228667331389906,0.6408351591475739,14385,0.08597991145518624,0.6394226272586997,11987.0,0.08732330014428924,0.6531157216469623,14385,0.03597921453199526,0.7096662755890357,19180,0.03405713502834151,0.7108348438208465,14385,0.03185133658992412,0.704937045481339,11987.0,0.03019818828485077,0.7038314154581862,14385
DDX55:HepG2,DDX55,HepG2,0.04268774036127532,0.59595770908001,3372,0.032352117571402994,0.5882566499073383,2529,0.030572374671816283,0.577338887858191,2108.0,0.03373254588411434,0.5961339564257461,2529,0.012583715626623526,0.7710354057885513,3370,0.01014956475213924,0.7727946327057176,2528,0.007494339516503357,0.7691858748083874,2107.0,0.0066091498850721075,0.7678990182723141,2528,0.010697285350755648,0.7260329843531247,3370,0.007064637739315871,0.7217870330281494,2528,0.005187956178716591,0.7224127019843334,2107.0,0.004243006642237868,0.7237554163982668,2528
