dataset,protein,cell,n_neg,frac_in_target_peak,deficit,gain_neg2,gain_gc,comp_neg2
AATF:K562,AATF,K562,1043,0.0028763183125599234,0.0344045910783574,0.0508508074190443,0.0164462163406869,0.7559330385007478
AKAP1:HepG2,AKAP1,HepG2,5925,0.0,0.005380220406273801,0.0139551425163346,0.0085749221100608,0.7934906443055778
AQR:HepG2,AQR,HepG2,10929,0.0003659987190044835,-0.06836889727213138,0.0357494665595462,0.1041183638316776,0.6624674684898553
BCCIP:HepG2,BCCIP,HepG2,538,0.0,-0.0026015395033235997,-0.002159312336756,0.0004422271665676,0.8674009480244884
BCLAF1:HepG2,BCLAF1,HepG2,32384,0.0,-0.059461569819222106,0.0100750058936415,0.0695365757128636,0.9177415003865422
BUD13:K562,BUD13,K562,8804,0.0,-0.0626123332895027,0.0071377890682459,0.0697501223577486,0.7059327871495362
CDC40:HepG2,CDC40,HepG2,1158,0.0,-0.00928287411146,-0.0017748425759379,0.0075080315355221,0.7895648205320949
CSTF2T:HepG2,CSTF2T,HepG2,19533,0.0004607587160190447,-0.0061858502939667,0.0145923766473546,0.0207782269413213,0.8854031019167788
DDX24:K562,DDX24,K562,9590,0.0,-0.058665167596155705,0.0359792145319952,0.0946443821281509,0.7096662755890357
DDX55:HepG2,DDX55,HepG2,1685,0.0,-0.0018864302758678994,0.0106972853507556,0.0125837156266235,0.7260329843531247
DDX55:K562,DDX55,K562,1100,0.0,-0.0120446280991733,-0.001384297520661,0.0106603305785123,0.7223041322314049
DDX59:HepG2,DDX59,HepG2,3052,0.0,0.0015221095592518,0.0051881412442092,0.0036660316849574,0.8882951084650677
DDX6:HepG2,DDX6,HepG2,490,0.0,-0.0027571845064558002,0.0104039983340273,0.0131611828404831,0.6960099958350687
DDX6:K562,DDX6,K562,1939,0.0,0.018387534606956198,0.0294404824187751,0.0110529478118189,0.7391737312422917
DGCR8:K562,DGCR8,K562,1236,0.0,-0.0005347922623349,-0.0011383154763774,-0.0006035232140425,0.6876656088645908
DHX30:K562,DHX30,K562,795,0.0,-0.0073557216882242996,0.0036296032593647,0.010985324947589,0.7840180372611842
DROSHA:HepG2,DROSHA,HepG2,2152,0.00046468401486988845,0.0005376687718522989,0.0179063134837828,0.0173686447119305,0.681957261162781
DROSHA:K562,DROSHA,K562,3786,0.0005282620179609086,0.006095314876812899,0.0158232334267907,0.0097279185499778,0.8461746630132032
EFTUD2:HepG2,EFTUD2,HepG2,7124,0.0005614823133071309,-0.016271598232134497,0.0040935441829204,0.0203651424150549,0.8193307507563932
EIF3H:HepG2,EIF3H,HepG2,2827,0.0,-0.033099518276501504,0.0064368689962084,0.0395363872727099,0.709288833772172
ELAC2:K562,ELAC2,K562,13144,7.608034083992696e-05,0.0050636548884608,0.010377088759595,0.0053134338711342,0.9418480343118169
ELAVL1:K562,ELAVL1,K562,8821,0.0,0.006241032568020601,0.0126460285504798,0.0064049959824592,0.9525746297961724
EXOSC5:HepG2,EXOSC5,HepG2,713,0.0,-0.0007219165606083999,-0.0011940145838946,-0.0004720980232862,0.8526149312802314
FASTKD2:HepG2,FASTKD2,HepG2,823,0.0,-0.0016284553001568247,-6.20082707222247e-05,0.0015664470294346,0.7528143634777192
FASTKD2:K562,FASTKD2,K562,508,0.0,0.0016003782007563,0.0012322524645048,-0.0003681257362515,0.9131145762291524
FKBP4:HepG2,FKBP4,HepG2,1370,0.00072992700729927,-0.0012595236826681698,9.004209068153024e-05,0.0013495657733497,0.8978379242367733
FMR1:K562,FMR1,K562,4432,0.0,-0.0561441791076386,0.0121270457551901,0.0682712248628287,0.8262329411793455
FXR1:K562,FXR1,K562,1423,0.0,-0.0218229873738783,0.0099667692052412,0.0317897565791195,0.7799014187657939
FXR2:K562,FXR2,K562,4712,0.0,-0.0404272064101048,0.0087711341342842,0.049198340544389,0.8141332068395976
G3BP1:HepG2,G3BP1,HepG2,6478,0.0,-0.0435135577980658,0.023619735202749,0.0671332930008148,0.783312455361062
GARS:K562,GARS,K562,557,0.0,0.0053440945820937,0.0068203281880037,0.00147623360591,0.7986101486225581
GEMIN5:K562,GEMIN5,K562,2510,0.0,-0.0131878859065727,0.0007028459865717,0.0138907318931444,0.895439120013968
GRSF1:HepG2,GRSF1,HepG2,995,0.0,0.0005050377515718,0.0002010050251254,-0.0003040327264464,0.8133340067170022
GRWD1:HepG2,GRWD1,HepG2,22072,0.0,-0.055140592467421395,0.0246166730720547,0.0797572655394761,0.8495007065085094
