dataset,protein,cell,comp_gc,n_gc,k4_pub_gc,k4_cf_gc,k2_pub_gc,k2_cf_gc,comp_dn,n_dn,k4_pub_dn,k4_cf_dn,k2_pub_dn,k2_cf_dn,comp_neg2,n_neg2,k4_pub_neg2,k4_cf_neg2,k2_pub_neg2,k2_cf_neg2
AATF:K562,AATF,K562,0.843218130457444,2086,0.01644621634068688,0.018168881894454203,0.009766061282402316,-6.986263718578023e-05,0.6362526218143512,2162,0.048077079416478874,0.04979115339293372,0.02590793291920579,-0.00457656895960068,0.7559330385007479,2086,0.05085080741904435,0.05481643132456793,0.025753574255250378,-0.0004936346864318208
AKAP1:HepG2,AKAP1,HepG2,0.7162465559294272,11850,0.008574922110060834,0.00993778062632411,0.005374209973473043,-9.884455838493622e-06,0.5874500615797351,11886,0.0313997050163779,0.0324648748901768,0.007893684262652467,9.94358628633174e-05,0.7934906443055778,11850,0.013955142516334673,0.01647738788299591,0.007406476882266033,0.0001604016450355017
AQR:HepG2,AQR,HepG2,0.6394277921976216,21858,0.10411836383167772,0.10550473174908548,0.0006462243371717635,0.01096523488547152,0.5967507659436684,22216,0.1347963926118254,0.1364263286482188,0.0011103703203263482,0.0009795549739883835,0.6624674684898553,21858,0.03574946655954614,0.037414452634373374,0.014263175030850062,0.005976698131789915
BCCIP:HepG2,BCCIP,HepG2,0.9123388289271845,1076,0.0004422271665676103,0.001191940409889236,0.002273324028136736,-0.0004422271665677213,0.6828318779021139,1078,0.013303685447867641,0.015028173522739996,0.04410008226599782,0.001524846740855068,0.8674009480244884,1076,-0.0021593123367560363,-0.0025635356061968206,0.008440320061911755,-0.0007808073409711902
BCLAF1:HepG2,BCLAF1,HepG2,0.706420045972539,64768,0.06953657571286354,0.07039054822094104,0.002022584684136297,-0.00011433805481708692,0.5665554522606242,64774,0.1403414503506233,0.14087588976672205,0.0017815181086898724,-0.00014569683584031434,0.9177415003865422,64768,0.01007500589364152,0.010487437786458775,0.00044450612535951173,-1.947891971243454e-05
BUD13:K562,BUD13,K562,0.6641432165710477,17608,0.06975012235774869,0.070760502691664,0.001718298092994397,5.018680328072733e-05,0.5693739729962655,17700,0.11199585048996141,0.11296483130645718,0.0023606115739409628,-0.0006999010501452796,0.7059327871495361,17608,0.007137789068245914,0.007653139160032518,0.003769532084565319,-6.600403228373963e-05
CDC40:HepG2,CDC40,HepG2,0.8092901822867727,2316,0.007508031535522375,0.009251553360120068,0.018406907269695627,0.0027838182083934626,0.6671568684550782,2344,0.004783835571759765,0.004063821360761333,0.01200945846777468,0.0009413330382415097,0.7895648205320949,2316,-0.0017748425759379627,-0.0004750313953245655,0.0118138891126085,0.0010865317786308282
CSTF2T:HepG2,CSTF2T,HepG2,0.7687594383270081,39066,0.020778226941321143,0.02228336369321171,0.0026420245555091038,-7.789523734813564e-06,0.7192413402460897,37744,0.022882264351205328,0.024746078914355985,0.0036240049427832544,0.00011191838603563653,0.8854031019167788,39066,0.014592376647354799,0.015101450329903843,0.0005955263879301453,5.940691284422872e-05
DDX24:K562,DDX24,K562,0.6457362824718571,19180,0.09464438212815096,0.09623491188792632,0.004450858504198796,2.391046460670232e-05,0.5576034830729166,19200,0.1511693467881945,0.1522187391493055,0.005562293836805621,0.0003116319444445015,0.7096662755890357,19180,0.035979214531995485,0.03746044552404593,0.0062239189458084265,-6.522913923412421e-05
DDX55:HepG2,DDX55,HepG2,0.7710354057885513,3370,0.012583715626623526,0.013897102202185652,0.008089179265468704,-5.49445711416352e-05,0.5959577090800099,3372,0.04268774036127543,0.04468309953296212,0.014768894348687,0.0010391909367353236,0.7260329843531246,3370,0.01069728535075598,0.014665973989380743,0.021730577886571067,0.0007206191830517739
DDX55:K562,DDX55,K562,0.6753347107438016,2200,0.010660330578512567,0.011180991735537327,0.00885454545454556,-0.0008404958677684649,0.5950572553561662,2202,0.02960070153382155,0.03107487949605725,0.005421543126923667,-0.0017356857484855936,0.7223041322314051,2200,-0.0013842975206613817,-0.0005495867768596785,0.022295867768594824,-0.00011735537190082912
DDX59:HepG2,DDX59,HepG2,0.8695836174719025,6104,0.0036660316849573826,0.00473004831930246,0.00372851354160042,0.00017477742717320055,0.7267493621043394,6178,0.01893947770055937,0.020735028093399555,0.006529502811855159,6.015560179128965e-05,0.8882951084650677,6104,0.005188141244209188,0.006207497307482823,0.003203966545796799,0.0002988822833234206
DDX6:HepG2,DDX6,HepG2,0.7645439400249896,980,0.013161182840483177,0.01523115368596406,0.0620866305705956,-0.00047480216576423206,0.6224218161769848,986,0.06236191056124496,0.061724179075001495,0.03369279445708495,-0.008422170015099706,0.6960099958350687,980,0.010403998334027498,0.012473969179508604,0.05447313619325278,-0.0025031236984589533
DDX6:K562,DDX6,K562,0.7943927222259312,3878,0.01105294781181887,0.012462626881090455,0.00358164874468081,-0.0004338087852796546,0.5966156683956803,3910,0.05163493174429801,0.053852865954565954,0.01929239081377021,0.0003537391827631575,0.7391737312422917,3878,0.02944048241877506,0.032175791767527384,0.012741902923115833,-0.000308267554959496
DGCR8:K562,DGCR8,K562,0.6942212324965176,2472,-0.0006035232140424451,-0.0008286989034467229,0.02802062714047826,0.00039798493941212154,0.5666973883589203,2506,-0.003603164058295194,-0.010520958797051505,0.028927222710188327,0.001556042035427807,0.6876656088645908,2472,-0.0011383154763774384,-0.0003979849394120105,0.04782299619819652,0.0015958672406028995
DHX30:K562,DHX30,K562,0.746954629959258,1590,0.010985324947589081,0.01291721055337991,0.019989715596693047,-0.00036865630315263687,0.6215006126873409,1648,0.0016893086059006635,0.0015773753416910008,0.021312977189179017,0.0005022268828354104,0.7840180372611844,1590,0.0036296032593645666,0.004843162849570759,0.028940310905422928,0.0006866816977175727
DROSHA:HepG2,DROSHA,HepG2,0.7368063856911873,4304,0.01736864471193056,0.02116342021254547,0.024151692555381965,-0.0004813107198629041,0.6119170054609615,4368,0.04426842235908168,0.04489192126554764,0.014810300352882777,0.0002939292087642542,0.681957261162781,4304,0.017906313483782688,0.020760276599273264,0.021302695858266274,-4.8368596343273396e-05
DROSHA:K562,DROSHA,K562,0.8074519827127442,7572,0.009727918549977788,0.010746629852971035,0.0037073221915533416,3.069668355726307e-06,0.6667441579606882,7832,0.024137440384958575,0.02650247902583469,0.004990721911938278,-0.00041760525687017935,0.8461746630132032,7572,0.015823233426790706,0.017427065377517592,0.010857416974540346,0.0005179367698548987
EFTUD2:HepG2,EFTUD2,HepG2,0.7878537913927693,14248,0.020365142415054938,0.021419675399539817,0.0013620714441319182,-8.157414293608056e-06,0.6794526820140337,14818,0.03690830577243143,0.03828650723209648,0.002185968807366545,5.718368337281898e-05,0.8193307507563934,14248,0.0040935441829201835,0.004831514321897323,0.002847292258637335,5.6294040185034255e-05
EIF3H:HepG2,EIF3H,HepG2,0.6428035083895265,5654,0.039536387272709805,0.044270788691941565,0.02558768978052728,-0.0009154235479320594,0.5376200215854321,5664,0.08461272403364295,0.0861751492227647,0.022094894107695717,0.0013674181668740237,0.7092888337721718,5654,0.006436868996208767,0.009179135600429045,0.022469168582453736,-0.00018343506304907553
ELAC2:K562,ELAC2,K562,0.9531685216131145,26288,0.005313433871134254,0.0060819356098223976,0.0009168132552235253,0.00021256073924713625,0.8504695036554191,25866,0.020144713977083062,0.021681197151143805,0.003972361071345798,0.00015884613554928428,0.9418480343118171,26288,0.010377088759594977,0.011188076020328452,0.0005935586299277151,0.00013402040564569617
ELAVL1:K562,ELAVL1,K562,0.9415679526502241,17642,0.0064049959824594715,0.006761736573304367,-7.383365856350466e-05,2.9212168131453886e-05,0.6950240081281462,17608,0.05055065115377522,0.051557806114729154,-0.00023110442343643456,0.00024938583738221,0.9525746297961724,17642,0.012646028550479804,0.01312281791497838,-8.683969206479958e-05,4.705048285491564e-05
EXOSC5:HepG2,EXOSC5,HepG2,0.9246039786060911,1426,-0.00047209802328607164,-0.000499637074644399,0.006613306476201397,0.000891085018952964,0.6905770544284231,1454,0.0005032836419571751,0.0009081810080430186,0.03754382446374738,0.002240179819839483,0.8526149312802316,1426,-0.001194014583894898,-0.0007179824104145416,0.030426717600797737,0.0035505705501316376
FASTKD2:HepG2,FASTKD2,HepG2,0.801526289292205,1646,0.0015664470294349808,0.002607300145128999,0.009685101331849078,0.0007928200328054524,0.6071388753212003,1736,0.009022807874450534,0.008663116651447367,0.031435154707044166,0.0011972010448298986,0.7528143634777191,1646,-6.200827072211368e-05,0.00037795517392569256,0.025303803616853804,0.0008238241681663983
