dataset,protein,cell,coverage_gc,cnn_raw_gc,cnn_nrows_gc,splicebert_raw_gc,splicebert_nrows_gc,comp_gc,kmer_full_gc,kmer_gain_gc,kmer_se_gc,cnn_full_gc,cnn_gain_gc,cnn_se_gc,splicebert_full_gc,splicebert_gain_gc,splicebert_se_gc,n_gc,coverage_dn,cnn_raw_dn,cnn_nrows_dn,splicebert_raw_dn,splicebert_nrows_dn,comp_dn,kmer_full_dn,kmer_gain_dn,kmer_se_dn,cnn_full_dn,cnn_gain_dn,cnn_se_dn,splicebert_full_dn,splicebert_gain_dn,splicebert_se_dn,n_dn,coverage_neg2,cnn_raw_neg2,cnn_nrows_neg2,splicebert_raw_neg2,splicebert_nrows_neg2,comp_neg2,kmer_full_neg2,kmer_gain_neg2,kmer_se_neg2,cnn_full_neg2,cnn_gain_neg2,cnn_se_neg2,splicebert_full_neg2,splicebert_gain_neg2,splicebert_se_neg2,n_neg2
AATF:K562,AATF,K562,1.0,0.8338399906604685,2086,0.8722708758292742,2086,0.843218130457444,0.859664346798131,0.016446216340686992,0.0036270291454694333,0.8495793074222617,0.00636117696481775,0.0027187594499753767,0.8700499793629446,0.02683184890550061,0.004623971136343535,2086,1.0,0.6254256303265298,2162,0.7553366918800132,2162,0.6362526218143513,0.6843297012308299,0.04807707941647865,0.008089861960458591,0.6217861112941473,-0.014466510520203979,0.00572062343513345,0.7375892229845082,0.10133660117015697,0.01075481843764347,2162,1.0,0.7642402576092822,2086,0.8526376362895953,2086,0.7559330385007478,0.8067838459197921,0.05085080741904435,0.006495695004810252,0.7626536403489822,0.00672060184823442,0.0033571791612427002,0.8466450766604556,0.09071203815970785,0.007951748283057808,2086
AKAP1:HepG2,AKAP1,HepG2,1.0,0.7561695882070182,11850,0.7914856807135608,11850,0.7162465559294272,0.724821478039488,0.008574922110060834,0.0015509187981490324,0.7582092613363244,0.04196270540689717,0.0030921873216337515,0.7885343160818244,0.07228776015239724,0.0036427428311489253,11850,1.0,0.6721632869373865,11886,0.7440609793260328,11886,0.5874500615797352,0.6188497665961131,0.0313997050163779,0.003896708349117394,0.673547956809614,0.08609789522987876,0.005338326376879394,0.741988115319213,0.15453805373947782,0.0056425159731110985,11886,1.0,0.8032919368334847,11850,0.8728295109401982,11850,0.7934906443055778,0.8074457868219125,0.013955142516334673,0.001682626382086434,0.8107556837401414,0.01726503943456359,0.001988074217708117,0.8689523972297887,0.07546175292421087,0.0030518033324181564,11850
AQR:HepG2,AQR,HepG2,1.0,0.8229048773130283,21858,0.9441292942298746,21858,0.6394277921976217,0.7435461560292993,0.10411836383167761,0.0034484044994655765,0.8165161920149036,0.17708839981728186,0.0037426116592803784,0.9273232586233299,0.2878954664257082,0.0037153248577563064,21858,1.0,0.8212904492624158,22216,0.9383920745918328,22216,0.5967507659436684,0.7315471585554938,0.1347963926118254,0.00395521675883609,0.8170370824104427,0.22028631646677432,0.0040454543187259055,0.9308962442144946,0.3341454782708262,0.00394390089727879,22216,1.0,0.7628388162019418,21858,0.8999392564025559,21858,0.6624674684898553,0.6982169350494015,0.03574946655954625,0.0022920375519587246,0.7540441556574233,0.09157668716756806,0.003161069243033585,0.8921174738007549,0.22965000531089963,0.0035646582731571497,21858
BCCIP:HepG2,BCCIP,HepG2,1.0,0.9070804715247163,1076,0.9216912425201421,1076,0.9123388289271844,0.912781056093752,0.0004422271665676103,0.0014640905030613104,0.9118585978634899,-0.00048023106369454727,0.0011945281275583947,0.9224513204626802,0.01011249153549576,0.0032979091624741738,1076,1.0,0.7074600459175069,1078,0.7405832969045267,1078,0.6828318779021139,0.6961355633499816,0.013303685447867752,0.007196084392656831,0.7180548049882798,0.03522292708616592,0.009466111702444949,0.7192939580959724,0.03646208019385855,0.013676173574282142,1078,1.0,0.8105505728223767,1076,0.8958244081756747,1076,0.8674009480244884,0.8652416356877324,-0.0021593123367560363,0.0006669937763488721,0.8677775320960185,0.0003765840715300728,0.0015900104448142616,0.8950643302331367,0.02766338220864828,0.00578058999400963,1076
BCLAF1:HepG2,BCLAF1,HepG2,1.0,0.8422482375563458,64768,0.9336941954505116,64768,0.706420045972539,0.7759566216854027,0.06953657571286365,0.001521847924506206,0.842045028122266,0.13562498214972696,0.001813634483476828,0.9297442270615143,0.22332418108897523,0.0019393308465243374,64768,1.0,0.811925571927269,64774,0.9161563145375602,64774,0.5665554522606242,0.7068969026112475,0.1403414503506233,0.002539483921418449,0.8120521714605446,0.24549671919992044,0.0025547045814805895,0.9119491158129098,0.3453936635522856,0.0023848321910144247,64774,1.0,0.9203732032288976,64768,0.961506174703124,64768,0.9177415003865422,0.9278165062801838,0.01007500589364152,0.00042961564541019073,0.9237227988538476,0.005981298467305329,0.0003388870002283812,0.9596421060691904,0.041900605682648195,0.000739443550315995,64768
BUD13:K562,BUD13,K562,1.0,0.7926423591895055,17608,0.9128930620111753,17608,0.6641432165710477,0.7338933389287964,0.06975012235774869,0.0032576489593864706,0.7935431284486979,0.1293999118776502,0.0037438528646092737,0.906623943290409,0.24248072671936127,0.004018536064111821,17608,1.0,0.7541680934597339,17700,0.9021436305020907,17700,0.5693739729962654,0.6813698234862269,0.11199585048996152,0.004667427913531385,0.753982725270516,0.18460875227425066,0.004866354569668415,0.8978894570525711,0.3285154840563057,0.004607172548224479,17700,1.0,0.7452871624376265,17608,0.8302157351342303,17608,0.7059327871495362,0.7130705762177821,0.007137789068245914,0.0012182911296902952,0.7518838371348696,0.04595104998533339,0.0026249445496504234,0.824848624215873,0.1189158370663368,0.003482391363343122,17608
CDC40:HepG2,CDC40,HepG2,1.0,0.7870412628526939,2316,0.8733247126693929,2316,0.8092901822867729,0.816798213822295,0.007508031535522153,0.0025020024808304385,0.8112014938506925,0.0019113115639196598,0.003276311044912837,0.8557157388266948,0.046425556539921975,0.005738245035743989,2316,1.0,0.7136418304231849,2344,0.7912206315740428,2344,0.6671568684550782,0.6719407040268377,0.004783835571759543,0.0031949346362313753,0.7133855665179559,0.04622869806287777,0.008311028134159843,0.7824428647974934,0.11528599634241521,0.010532215962302766,2344,1.0,0.7782845027905299,2316,0.8095124104748526,2316,0.7895648205320949,0.7877899779561569,-0.0017748425759379627,0.001247128219143139,0.7901964556841197,0.0006316351520248009,0.00222782889604914,0.8083863548909591,0.018821534358864245,0.004124607510709975,2316
CSTF2T:HepG2,CSTF2T,HepG2,1.0,0.8412604698033177,39066,0.8918848243746379,39066,0.768759438327008,0.7895376652683294,0.020778226941321365,0.0011525582644860847,0.8376470271622082,0.06888758883520019,0.0017636108669069786,0.888078311887755,0.119318873560747,0.0020221194189403314,39066,1.0,0.8097324177956366,37744,0.8765833194591224,37744,0.7192413402460898,0.7421236045972951,0.022882264351205328,0.0015174597732818765,0.8056799473789288,0.08643860713283902,0.0022610845245151167,0.8708559873068265,0.15161464706073668,0.002455628832506666,37744,1.0,0.9052605164670728,39066,0.9410755789574654,39066,0.8854031019167788,0.8999954785641335,0.014592376647354688,0.0006999475552539934,0.9057396678421797,0.020336565925400896,0.0008235455026561719,0.9370302685559659,0.051627166639187094,0.0011981820492109056,39066
DDX24:K562,DDX24,K562,1.0,0.7851181822827697,19180,0.9254822052429048,19180,0.645736282471857,0.740380664600008,0.09464438212815096,0.0035195490182814873,0.7842590854872505,0.13852280301539355,0.0038028454020932866,0.9223398874174848,0.27660360494562786,0.003949706573746105,19180,1.0,0.7485166069878473,19200,0.915206195746528,19200,0.5576034830729166,0.708772829861111,0.15116934678819438,0.004762091967312974,0.7465388671875,0.18893538411458333,0.004819159400668647,0.9094525282118056,0.3518490451388889,0.004424420547626241,19200,1.0,0.7476419214923435,19180,0.850813575576749,19180,0.7096662755890357,0.745645490121031,0.03597921453199526,0.0022245227738290113,0.7501414403472508,0.04047516475821511,0.002422448839758884,0.8476869805943583,0.1380207050053226,0.003462820619194775,19180
DDX55:HepG2,DDX55,HepG2,1.0,0.7637591244089497,3370,0.828880416310789,3370,0.7710354057885513,0.7836191214151749,0.012583715626623526,0.0027245407328105723,0.7774329262386742,0.006397520450122873,0.0027768598312548506,0.8240315579075276,0.052996152118976236,0.0050777948798231744,3370,1.0,0.6564418580762091,3372,0.733226951701895,3372,0.59595770908001,0.6386454494412853,0.04268774036127532,0.008049307787674103,0.6639029957123699,0.06794528663235988,0.009451593960313961,0.721199565467622,0.12524185638761198,0.010428418294664574,3372,1.0,0.6786059576116722,3370,0.813595259269695,3370,0.7260329843531247,0.7367302697038803,0.010697285350755648,0.003442378072846006,0.7284882318238253,0.0024552474707005834,0.0020617627661888753,0.8092641477868081,0.08323116343368342,0.0067245557523675165,3370
