dataset,protein,cell,seed,pairs,comp,full,gain,published
AATF:K562,AATF,K562,2007,1081,0.6223355049501053,0.6814954461085043,0.059159941158399065,0.0480770794164786
AKAP1:HepG2,AKAP1,HepG2,2007,5943,0.5797975206097956,0.6130749835592484,0.033277462949452774,0.0313997050163779
AQR:HepG2,AQR,HepG2,2007,11075,0.5966093197927124,0.7322183552527656,0.1356090354600532,0.1347963926118254
BCCIP:HepG2,BCCIP,HepG2,2007,539,0.7010680811369918,0.7005827461698121,-0.0004853349671797291,0.0133036854478677
BCLAF1:HepG2,BCLAF1,HepG2,2007,32387,0.565930480485549,0.7084101937832651,0.14247971329771614,0.1403414503506233
BUD13:K562,BUD13,K562,2007,8850,0.5690100162788471,0.6889364614255162,0.11992644514666917,0.1119958504899615
CDC40:HepG2,CDC40,HepG2,2007,1172,0.672597380283987,0.6857279933371385,0.013130613053151552,0.0047838355717595
CSTF2T:HepG2,CSTF2T,HepG2,2007,18307,0.7172867329331202,0.7392834105686201,0.02199667763549995,0.0228822643512053
DDX24:K562,DDX24,K562,2007,9600,0.5586327039930555,0.7022952039930556,0.14366250000000003,0.1511693467881943
DDX55:HepG2,DDX55,HepG2,2007,1686,0.599114330703343,0.6406182939819798,0.04150396327863681,0.0426877403612753
DDX55:K562,DDX55,K562,2007,1101,0.5826096497198071,0.5998567894268361,0.017247139707028958,0.0296007015338215
DDX59:HepG2,DDX59,HepG2,2007,3089,0.7331808762617087,0.7600382564475225,0.02685738018581385,0.0189394777005593
DDX6:HepG2,DDX6,HepG2,2007,493,0.6311895955136617,0.6875362581207906,0.05634666260712884,0.0623619105612448
DDX6:K562,DDX6,K562,2007,1955,0.6093594364244086,0.6463293672856666,0.036969930861257994,0.0516349317442977
DGCR8:K562,DGCR8,K562,2007,1253,0.5611445539484169,0.5606547478390252,-0.0004898061093916439,-0.0036031640582951
DHX30:K562,DHX30,K562,2007,824,0.6124546375718729,0.6136078447544537,0.0011532071825808288,0.0016893086059006
DROSHA:HepG2,DROSHA,HepG2,2007,2184,0.6127352691569725,0.6637504360718646,0.05101516691489205,0.0442684223590814
DROSHA:K562,DROSHA,K562,2007,3913,0.6654866656709054,0.6951935494004566,0.029706883729551214,0.0241374403849583
EFTUD2:HepG2,EFTUD2,HepG2,2007,7367,0.6749459198529854,0.7129429499982947,0.03799703014530931,0.0369083057724314
EIF3H:HepG2,EIF3H,HepG2,2007,2832,0.5414432315107409,0.621372420520923,0.07992918901018209,0.0846127240336429
ELAC2:K562,ELAC2,K562,2007,12815,0.848900325149959,0.8689871241590575,0.0200867990090986,0.0201447139770831
ELAVL1:K562,ELAVL1,K562,2007,8799,0.7012531554013676,0.7506177830883856,0.04936462768701799,0.0505506511537752
EXOSC5:HepG2,EXOSC5,HepG2,2007,727,0.6872603017052991,0.6981225249702475,0.010862223264948456,0.0005032836419572
FASTKD2:HepG2,FASTKD2,HepG2,2007,868,0.6128408439338274,0.6161550468262227,0.003314202892395257,0.0090228078744504
FASTKD2:K562,FASTKD2,K562,2007,542,0.7472086436731525,0.7490434498440925,0.0018348061709400065,0.0012765349055703
FKBP4:HepG2,FKBP4,HepG2,2007,1453,0.7122800253314571,0.712284288291685,4.262960227929824e-06,0.008691228580401
FMR1:K562,FMR1,K562,2007,4445,0.5514066309765273,0.6546646742273077,0.10325804325078036,0.1055172771570033
FXR1:K562,FXR1,K562,2007,1425,0.5584073868882734,0.6301252077562327,0.0717178208679593,0.0684203139427515
FXR2:K562,FXR2,K562,2007,4745,0.570280690339007,0.6572304494443155,0.08694975910530856,0.09119066045896
G3BP1:HepG2,G3BP1,HepG2,2007,6482,0.5630508989791682,0.6801956068312878,0.11714470785211961,0.119416705754649
GARS:K562,GARS,K562,2007,566,0.6174693153866324,0.6580023473885303,0.04053303200189784,0.0461143228158673
GEMIN5:K562,GEMIN5,K562,2007,2640,0.6269800275482093,0.6614299242424243,0.034449896694215054,0.039915203168044
GRSF1:HepG2,GRSF1,HepG2,2007,1008,0.6182120417611489,0.6334522234819854,0.015240181720836521,0.0086333144368858
GRWD1:HepG2,GRWD1,HepG2,2007,22078,0.5677468730572148,0.7220145748808581,0.15426770182364324,0.1552207397893841
GRWD1:K562,GRWD1,K562,2007,4375,0.5830964767346938,0.7171460179591836,0.13404954122448987,0.1354184097959183
GTF2F1:HepG2,GTF2F1,HepG2,2007,4466,0.7469520418892687,0.7734780314578636,0.026525989568594976,0.0208455074596239
HLTF:HepG2,HLTF,HepG2,2007,3645,0.5497213801720229,0.6196445513236652,0.06992317115164237,0.065413093833558
HNRNPC:K562,HNRNPC,K562,2007,516,0.6720449492218017,0.7196382428940569,0.04759329367225518,0.0514279490415238
HNRNPL:K562,HNRNPL,K562,2007,5836,0.731167387222416,0.7760187529272822,0.04485136570486614,0.0482803703790581
HNRNPM:HepG2,HNRNPM,HepG2,2007,13419,0.7006343454127708,0.7671064294980982,0.06647208408532734,0.0679745795867126
HNRNPUL1:HepG2,HNRNPUL1,HepG2,2007,467,0.5933953569414322,0.5935099890411712,0.00011463209973905375,0.0020450366593454
IGF2BP1:K562,IGF2BP1,K562,2007,5706,0.5659326510646887,0.6272207608498147,0.061288109785126,0.0644477824426209
