dataset,protein,cell,seed,pairs,comp,full,gain,published
AATF:K562,AATF,K562,5007,1031,0.8390458351717514,0.86018489859929,0.021139063427538685,0.0164462163406869
AKAP1:HepG2,AKAP1,HepG2,5007,5916,0.7234875420639917,0.7331985754130055,0.009711033349013798,0.0085749221100608
AQR:HepG2,AQR,HepG2,5007,10789,0.6404037847255903,0.7371711476936139,0.09676736296802357,0.1041183638316776
BCCIP:HepG2,BCCIP,HepG2,5007,536,0.9080878257963911,0.9079973267988416,-9.049899754953739e-05,0.0004422271665676
BCLAF1:HepG2,BCLAF1,HepG2,5007,32377,0.706708839167924,0.7751999046039783,0.06849106543605421,0.0695365757128636
BUD13:K562,BUD13,K562,5007,8778,0.6685591882105896,0.7284983466765673,0.05993915846597775,0.0697501223577486
CDC40:HepG2,CDC40,HepG2,5007,1147,0.8107431615320357,0.8165533984641332,0.005810236932097479,0.0075080315355221
CSTF2T:HepG2,CSTF2T,HepG2,5007,19119,0.7667397535534111,0.7849981195157324,0.018258365962321332,0.0207782269413213
DDX24:K562,DDX24,K562,5007,9582,0.6460048499410618,0.7446697111456764,0.0986648612046146,0.0946443821281509
DDX55:HepG2,DDX55,HepG2,5007,1683,0.7658501056844351,0.7739708786159453,0.008120772931510145,0.0125837156266235
DDX55:K562,DDX55,K562,5007,1098,0.6571287089293001,0.66861921493293,0.011490506003629886,0.0106603305785123
DDX59:HepG2,DDX59,HepG2,5007,3029,0.8723357712684067,0.8753449787304215,0.003009207462014829,0.0036660316849574
DDX6:HepG2,DDX6,HepG2,5007,489,0.7911726699035218,0.7987295135098966,0.0075568436063748745,0.0131611828404831
DDX6:K562,DDX6,K562,5007,1930,0.7913756073988564,0.8046986496281778,0.013323042229321458,0.0110529478118189
DGCR8:K562,DGCR8,K562,5007,1225,0.7033502707205331,0.702898458975427,-0.0004518117451061121,-0.0006035232140425
DHX30:K562,DHX30,K562,5007,784,0.7547392362557267,0.7588000442523949,0.004060807996668192,0.010985324947589
DROSHA:HepG2,DROSHA,HepG2,5007,2129,0.7342130117959925,0.7565494377339833,0.02233642593799079,0.0173686447119305
DROSHA:K562,DROSHA,K562,5007,3717,0.8090254774705056,0.8174265524780566,0.008401075007551051,0.0097279185499778
EFTUD2:HepG2,EFTUD2,HepG2,5007,6953,0.7859834877017017,0.8052426920461146,0.019259204344412972,0.0203651424150549
EIF3H:HepG2,EIF3H,HepG2,5007,2824,0.638135838904092,0.6799561528461027,0.04182031394201069,0.0395363872727099
ELAC2:K562,ELAC2,K562,5007,13053,0.9538530304783327,0.9593463721609632,0.005493341682630493,0.0053134338711342
ELAVL1:K562,ELAVL1,K562,5007,8821,0.9403868325940092,0.9461492636920728,0.005762431098063514,0.0064049959824592
EXOSC5:HepG2,EXOSC5,HepG2,5007,708,0.9261486960962687,0.9249996010086501,-0.0011490950876186234,-0.0004720980232862
FASTKD2:HepG2,FASTKD2,HepG2,5007,800,0.7959078124999999,0.7962968749999999,0.00038906250000003695,0.0015664470294346
FASTKD2:K562,FASTKD2,K562,5007,492,0.9378800647762574,0.9393011765483509,0.0014211117720934752,-0.0003681257362515
FKBP4:HepG2,FKBP4,HepG2,5007,1322,0.8308641607979474,0.83212411397026,0.0012599531723125335,0.0013495657733497
FMR1:K562,FMR1,K562,5007,4423,0.6373169886779223,0.699563802536931,0.062246813859008654,0.0682712248628287
FXR1:K562,FXR1,K562,5007,1423,0.6720512175982466,0.7050336085857825,0.03298239098753586,0.0317897565791195
FXR2:K562,FXR2,K562,5007,4694,0.6480533671337767,0.7028146875077722,0.0547613203739955,0.049198340544389
G3BP1:HepG2,G3BP1,HepG2,5007,6477,0.6835420706596893,0.7494346630369538,0.06589259237726453,0.0671332930008148
GARS:K562,GARS,K562,5007,554,0.7475824003961995,0.7587874206623311,0.011205020266131571,0.00147623360591
GEMIN5:K562,GEMIN5,K562,5007,2439,0.7553991858081762,0.7717544662121488,0.016355280403972605,0.0138907318931444
GRSF1:HepG2,GRSF1,HepG2,5007,991,0.8509308295344276,0.8504054146246594,-0.000525414909768207,-0.0003040327264464
GRWD1:HepG2,GRWD1,HepG2,5007,22069,0.7001076877013175,0.782031943728833,0.08192425602751552,0.0797572655394761
GRWD1:K562,GRWD1,K562,5007,4372,0.7708898701627005,0.8220616997126353,0.05117182954993482,0.0482972739450746
GTF2F1:HepG2,GTF2F1,HepG2,5007,4165,0.8704607797500752,0.8811002336108512,0.010639453860776027,0.0105890647673584
HLTF:HepG2,HLTF,HepG2,5007,3639,0.6493161583985164,0.681255574457076,0.031939416058559544,0.0243697228110265
HNRNPC:K562,HNRNPC,K562,5007,516,0.9518095366864973,0.9557606213568897,0.003951084670392402,0.0066514932996816
HNRNPL:K562,HNRNPL,K562,5007,5833,0.8739518871578731,0.8922287513928816,0.018276864235008516,0.0199610110674168
HNRNPM:HepG2,HNRNPM,HepG2,5007,13369,0.9361719200823637,0.9481506425767726,0.0119787224944089,0.0127465734137508
HNRNPUL1:HepG2,HNRNPUL1,HepG2,5007,459,0.8267760263146653,0.8253330865146834,-0.0014429397999818905,0.0047534858118478
IGF2BP1:K562,IGF2BP1,K562,5007,5705,0.6828104565624662,0.7212892115331586,0.03847875497069242,0.040803342027854
KHSRP:HepG2,KHSRP,HepG2,5007,5273,0.8634246600616756,0.8894523262738959,0.026027666212220302,0.0286301939853076
KHSRP:K562,KHSRP,K562,5007,23196,0.8965022675327322,0.9165585530664988,0.020056285533766594,0.0200397845047615
LARP4:HepG2,LARP4,HepG2,5007,5420,0.6503573276507673,0.6799269141215397,0.029569586470772458,0.0330452593355056
LARP4:K562,LARP4,K562,5007,430,0.7416495402920498,0.7410654407787993,-0.0005840995132504467,0.0023904813412654
LIN28B:K562,LIN28B,K562,5007,6916,0.7296289256085001,0.7647674975020413,0.03513857189354119,0.0333518248060422
LSM11:K562,LSM11,K562,5007,1302,0.7285199893346169,0.7673524838308546,0.03883249449623771,0.034320806133716
MATR3:HepG2,MATR3,HepG2,5007,6984,0.9224313772668407,0.9311028300327109,0.008671452765870225,0.0097963238506868
MATR3:K562,MATR3,K562,5007,4862,0.9540174298080751,0.9586982028545655,0.004680773046490394,0.0049633332566869
MBNL1:K562,MBNL1,K562,5007,1187,0.7767665576744415,0.8078864758557499,0.031119918181308437,0.0338192918809568
METTL1:K562,METTL1,K562,5007,481,0.7121813961730803,0.7167111138005108,0.004529717627430485,0.0115576955493794
MORC2:K562,MORC2,K562,5007,795,0.7787603338475535,0.7806732328626241,0.0019128990150706349,0.0042962873286098
MTPAP:K562,MTPAP,K562,5007,1074,0.7392880302667764,0.7613231658049235,0.022035135538147177,0.0179140274965105
NCBP2:HepG2,NCBP2,HepG2,5007,3169,0.7770227136285257,0.7978814368167643,0.02085872318823856,0.0201699486414392
NKRF:HepG2,NKRF,HepG2,5007,3424,0.8690255596831601,0.8742307086044633,0.005205148921303193,0.0023717126169499
NOLC1:K562,NOLC1,K562,5007,1565,0.787351509150854,0.7938670395737427,0.006515530422888771,0.006180439008279
NONO:K562,NONO,K562,5007,11028,0.812921315202678,0.8405676226399804,0.027646307437302453,0.0276902866754107
PCBP1:HepG2,PCBP1,HepG2,5007,925,0.8344636961285611,0.8381288531775017,0.0036651570489406593,0.0025526017883275
PCBP2:HepG2,PCBP2,HepG2,5007,8563,0.95372112601916,0.9609997243912916,0.007278598372131517,0.0079321634062289
PHF6:K562,PHF6,K562,5007,666,0.7936156877598319,0.7982780077374673,0.004662319977635332,0.0081010818948916
PPIL4:K562,PPIL4,K562,5007,657,0.7301441680624766,0.7406666064325412,0.010522438370064613,-0.003060300625456
PRPF4:HepG2,PRPF4,HepG2,5007,8651,0.8867484428506163,0.8926653613095524,0.00591691845893616,0.0057320510616081
PTBP1:HepG2,PTBP1,HepG2,5007,8346,0.9668535888712995,0.9703969305261322,0.0035433416548327212,0.0040398789765
PTBP1:K562,PTBP1,K562,5007,7780,0.9605114128243931,0.9637215918477937,0.0032101790234005945,0.0027122791429428
PUM1:K562,PUM1,K562,5007,2648,0.730528826407207,0.7676129051396027,0.03708407873239572,0.0374862634841254
QKI:HepG2,QKI,HepG2,5007,9986,0.7998529405216974,0.912207753783396,0.1123548132616986,0.1151148198021847
QKI:K562,QKI,K562,5007,2187,0.8606612336396074,0.9526954910224172,0.09203425738280979,0.0902765415599112
RBFOX2:K562,RBFOX2,K562,5007,3467,0.8051832228530088,0.8381068559475725,0.0329236330945637,0.0358898345857923
RBM15:HepG2,RBM15,HepG2,5007,1490,0.6941453087698752,0.7216521778298274,0.027506869059952144,0.0307916066448069
RPS3:HepG2,RPS3,HepG2,5007,5644,0.6399586862060322,0.7144409233214176,0.07448223711538537,0.0745863515087786
RPS3:K562,RPS3,K562,5007,2366,0.6878303437897689,0.7494890992355067,0.061658755445737734,0.0523710919911243
SAFB2:K562,SAFB2,K562,5007,3743,0.7951045710118502,0.8008954144271728,0.005790843415322655,0.0072621893034553
SLTM:K562,SLTM,K562,5007,3536,0.7459015606764808,0.759732553720235,0.013830993043754125,0.0182788146311936
SMNDC1:K562,SMNDC1,K562,5007,2436,0.7148851316190369,0.744254221704536,0.02936909008549915,0.024328082948866
SND1:K562,SND1,K562,5007,4129,0.6702082588283722,0.7453496733258681,0.0751414144974959,0.0815727945875278
SRSF1:HepG2,SRSF1,HepG2,5007,1785,0.8196524099836012,0.8583543221210054,0.03870191213740415,0.0391010246545262
SRSF1:K562,SRSF1,K562,5007,3861,0.7963832669867377,0.8632541688744746,0.06687090188773692,0.0683886796292908
STAU2:HepG2,STAU2,HepG2,5007,839,0.7033999553927216,0.7046983965530222,0.0012984411603006452,0.0065094983666307
SUB1:HepG2,SUB1,HepG2,5007,3296,0.8235176022421999,0.8278684555860591,0.004350853343859207,0.0068445902358846
TAF15:HepG2,TAF15,HepG2,5007,768,0.9309895833333334,0.9324493408203125,0.0014597574869791297,0.0024549696180556
TIA1:HepG2,TIA1,HepG2,5007,1729,0.8410365014730179,0.8446863477151749,0.003649846242157029,0.0036792831837123
TIA1:K562,TIA1,K562,5007,5799,0.8313975737353673,0.8405706830961127,0.009173109360745446,0.0087422969285712
TRA2A:HepG2,TRA2A,HepG2,5007,920,0.9299043005671078,0.9392403119092628,0.009336011342155004,0.0051736767485821
U2AF1:K562,U2AF1,K562,5007,1226,0.8317051167073387,0.8547059496658852,0.02300083295854649,0.0203748441680279
U2AF2:HepG2,U2AF2,HepG2,5007,10698,0.8050980957123252,0.8546348585326733,0.049536762820348135,0.0527913676519904
UCHL5:HepG2,UCHL5,HepG2,5007,2230,0.6898373182649963,0.7353544209616119,0.045517102696615575,0.0499997890448372
XPO5:HepG2,XPO5,HepG2,5007,4527,0.7108590144819422,0.7609638050742255,0.05010479059228323,0.0444448104229127
YBX3:HepG2,YBX3,HepG2,5007,2039,0.6461987804751917,0.6696139358045337,0.023415155329341908,-0.0073942291788544
YBX3:K562,YBX3,K562,5007,17978,0.6420590308514302,0.741925966893864,0.0998669360424338,0.0998563962929834
YWHAG:K562,YWHAG,K562,5007,790,0.7034369492068578,0.704702771991668,0.0012658227848101333,0.0134401538215029
ZNF622:K562,ZNF622,K562,5007,14965,0.7532649218596593,0.8181257325116217,0.06486081065196236,0.0662078429519174
ZNF800:HepG2,ZNF800,HepG2,5007,2934,0.687024676953416,0.7479185340383228,0.0608938570849068,0.0515411893324622
ZNF800:K562,ZNF800,K562,5007,2426,0.7724547683144065,0.8195291255966382,0.04707435728223164,0.0400870463513353
