dataset,protein,cell,supplied_2s_n1,supplied_cf_n1,comp_n1,n_n1,supplied_2s_n2,supplied_cf_n2,comp_n2,n_n2,chrom_2s_n1,chrom_cf_n1,chrom_comp_n1,chrom_2s_n2,chrom_cf_n2,chrom_comp_n2,chrom_blocked,chrom_neighbours,chrom_cross_fold,supplied_neighbours,supplied_cross_fold
AARS:K562,AARS,K562,0.014942857607361915,0.01630775876034407,0.803130236030766,6962,0.0002215003745453803,0.0003905965993750149,0.6847884617781049,6962,0.017004857740889334,0.018945544330980946,0.8020578903277702,-0.0006275293770647838,-0.0008374760808066428,0.6826403867970922,1,3062,0,3062,2
ABCF1:K562,ABCF1,K562,0.027370116369808684,0.029821899510711347,0.8119592335427572,3352,0.004560736723987713,0.005822762458632669,0.7438215919253137,3352,0.027391832468486865,0.03034949390810049,0.8129008578214979,0.0024891633107581024,0.004876154157244517,0.7430198762823178,1,1412,0,1412,0
AGGF1:HepG2,AGGF1,HepG2,0.048725184333933136,0.050295166986992546,0.8070282683109178,34013,0.02027026256355835,0.022434237792773426,0.7311022324557642,34019,0.04745339922204139,0.0502968508202879,0.8060505627823813,0.017666450334123063,0.021687017790387952,0.7288815386286659,1,16097,0,16097,24
AGGF1:K562,AGGF1,K562,0.0380336711037359,0.03852952230109863,0.8344976969008266,39374,0.033162973718973254,0.0341612244735201,0.7735592757595569,39374,0.03653569896280673,0.03869435365145857,0.8323304581329285,0.02925884056118777,0.03310906456605123,0.7706782322294485,1,19810,0,19810,31
AKAP1:K562,AKAP1,K562,0.00912298465612571,0.009899232806293234,0.7493455324921464,11102,0.03883914894721818,0.04111097048056711,0.7096177661811667,11102,0.009720642833034643,0.011349339252797463,0.7483441564763611,0.03669746475582214,0.04082343510657627,0.7067140807954929,1,5568,0,5568,27
AKAP8L:K562,AKAP8L,K562,0.009761347772443973,0.010107227947562913,0.905150404910778,29258,0.005828737941915629,0.006430629484915906,0.8297275376348658,29260,0.009420551527973497,0.009940201200293708,0.9051284477507439,0.005490314987742773,0.006789170465466454,0.828569994239311,1,14372,0,14372,63
APOBEC3C:K562,APOBEC3C,K562,0.08406606855554533,0.08591094970481128,0.6888375074937049,20523,0.019441751726061662,0.021188711142779093,0.6242250332013648,20523,0.08469874684304268,0.08822224827728131,0.685603564164927,0.014531723763808624,0.021060760458788352,0.6146218656997028,1,10067,0,10067,66
AQR:K562,AQR,K562,0.08074145454418535,0.08142460486228031,0.7779842829456907,39926,0.07225479545113178,0.07320922607791214,0.7081174083791727,39926,0.08084880386928506,0.08184814049456923,0.7775892777784772,0.07239107672542389,0.0749188257455774,0.7049621572488376,1,21043,0,21043,70
BUD13:HepG2,BUD13,HepG2,0.07466313714278183,0.07542008762777619,0.7494490554320882,39908,0.04124543070799569,0.04204455284986797,0.6092072622872664,39911,0.07443730952528849,0.07606920766068792,0.7483081005496085,0.040952219869692774,0.04397836374565933,0.6061023683630039,1,16485,0,16485,56
CPEB4:K562,CPEB4,K562,0.026301169610830955,0.02943366398125513,0.720304016272953,5106,-7.594576643765727e-05,0.0006581966424608066,0.7761375026485127,5106,0.024241888646936438,0.029397148643048654,0.7174044222529381,2.1786462291228936e-05,0.000679062550007159,0.7771651485951798,1,2286,0,2286,2
CPSF6:K562,CPSF6,K562,0.11158856606129153,0.11262575549387088,0.7333208240323082,17456,0.03828809646629672,0.039250894326633756,0.7811894313191591,17456,0.11213642776369614,0.11324959715394922,0.7321935298261504,0.036814862414841554,0.038679679420237756,0.7802957479158282,1,7744,0,7744,6
CSTF2:HepG2,CSTF2,HepG2,0.08513547478297356,0.08706972084906328,0.7161106284163712,38231,0.033916258906531827,0.03579612522102216,0.8096199788606642,38240,0.08513286122540209,0.08804712843640394,0.7150635168380979,0.03400811982458296,0.036959313890688295,0.8091256526715218,1,18388,0,18388,81
CSTF2T:K562,CSTF2T,K562,0.023155873385398262,0.02362026472062917,0.8838606766148183,39174,0.02997792550550571,0.03132988096357647,0.7991400965628996,39173,0.02243907006951429,0.02340340853241385,0.8834454602359784,0.027018808402705985,0.03116181059641321,0.7958269752050423,1,21542,0,21542,48
DDX21:K562,DDX21,K562,0.018299787062382,0.019611766461220093,0.7603051860256924,4168,-0.0016373263434779073,-0.0031369616233362096,0.6112265188383479,4168,0.021256230635755324,0.022795699617964904,0.7622973316484981,-0.0007328940727452382,-0.00011328428645640543,0.6087259754421772,1,1427,0,1427,0
DDX3X:HepG2,DDX3X,HepG2,0.009006923692115865,0.009206557491008072,0.9547008372289416,38952,0.0029651809547288632,0.0032076390208102268,0.9135105575150069,38966,0.008813606550850617,0.009063293797867078,0.9545735365416154,0.003029345379370718,0.0033044784068099187,0.9134078802096032,1,20530,0,20530,239
DDX3X:K562,DDX3X,K562,0.026704780134395922,0.027086325531344824,0.897437726738313,38978,0.008397425789126167,0.008789119994440098,0.8484213424889847,38980,0.026679871040346526,0.027047357187509613,0.8974950142319628,0.007750640301521616,0.008532307025665542,0.8479459516806319,1,19827,0,19827,516
DDX42:K562,DDX42,K562,0.01866218266338404,0.019469445704069943,0.8674753739900902,12980,0.00548351024807614,0.0064421736890462045,0.7390679271891568,12980,0.0171746980657691,0.018013893604241216,0.8672875064399183,0.005058107649317245,0.0061256027407343705,0.7389136065678855,1,5391,0,5391,6
DDX51:K562,DDX51,K562,0.004604418351413564,0.005018285667324207,0.9172204758382643,12480,0.0025591459155162033,0.003045154298159103,0.829970953525641,12480,0.004558447361932894,0.005118137738330031,0.9170804569362262,0.0019456258218276679,0.0028221051117685025,0.8289783397024983,1,5950,0,5950,8
DDX52:HepG2,DDX52,HepG2,0.02025794299051431,0.021651904693743562,0.7585085033837213,15046,0.006544297872010274,0.007949638565972084,0.6804387675217243,15046,0.018647550763241427,0.020201878491143743,0.7580577080567619,0.004248657168660852,0.006759597564676811,0.6773932442613975,1,5836,0,5836,4
DDX52:K562,DDX52,K562,0.009192356493099574,0.010213827762949212,0.873845171401298,14262,0.011715602717507378,0.012850031093685543,0.7696112189060933,14262,0.008619036249732925,0.009510638311679975,0.8737521155121708,0.007994468405549293,0.01113298081827463,0.7658541955413761,1,7097,0,7097,7
DGCR8:HepG2,DGCR8,HepG2,0.013678310586551334,0.014731158937625333,0.8547705066355986,26728,0.004293681592046461,0.005389079499591776,0.7344397050278297,26737,0.012820225322369372,0.014580388881256234,0.8542343986181004,0.0035268817940734554,0.005744597295591403,0.732177539310352,1,12448,0,12448,62
DHX30:HepG2,DHX30,HepG2,0.01418184998480232,0.02227890278661926,0.7516369738887073,5282,-0.0015876996985979552,0.0023235049208945036,0.6728012910271606,5283,0.01994591928611178,0.028873108178632756,0.7449765296583681,0.00044085252508474504,0.005693676288698324,0.6525263744752694,1,1995,0,1995,8
DKC1:HepG2,DKC1,HepG2,0.013120895511998354,0.014368849493965108,0.8371068038815954,18256,0.01605881176120083,0.01793231941024165,0.8037938757778695,18262,0.010945161315874863,0.012935778737447001,0.8342804845585199,0.013023903042584939,0.014685896854650715,0.8032480777248283,1,9467,0,9467,14
EFTUD2:K562,EFTUD2,K562,0.05544399384367549,0.05610841328497396,0.7782384758321648,39936,0.03780259904228178,0.03899749715731071,0.6957872981385601,39936,0.0539481334197216,0.055644825992421265,0.7771894792284643,0.03494544345873274,0.03729643310707387,0.6948479019756931,1,20932,0,20932,50
EIF3D:HepG2,EIF3D,HepG2,0.05115100978305198,0.05205239553262664,0.7644236361179546,37800,0.003332474039452249,0.003921143153587603,0.6273266330652382,37804,0.05004553400011791,0.0516053223773727,0.7636410684319148,0.0020214500442061745,0.002960877763213743,0.6253965497025735,1,15757,0,15757,66
EIF3G:K562,EIF3G,K562,0.01887378506952364,0.020018677948129837,0.8670410290628608,6518,0.003708473741985241,0.004897429932038011,0.7541714445073906,6518,0.018611099943593223,0.019732548880852963,0.8670620250424604,0.0030395211184248705,0.005227434006011444,0.7532747372889821,1,2525,0,2525,36
EIF4G2:K562,EIF4G2,K562,0.011577699132073072,0.011886125430468297,0.9319902643404481,35216,0.016474484176314363,0.017165372514616473,0.8558657472707146,35221,0.011031159667883705,0.011576999226119988,0.9317003291057778,0.016163001603425764,0.01736881642200605,0.8551726663014647,1,18649,0,18649,16
EWSR1:K562,EWSR1,K562,0.005240101597704605,0.005961289906471157,0.902286840577211,39442,0.01076400349553508,0.011329706522771654,0.8503989252578413,39442,0.005611159401658794,0.0065987484487759485,0.9017733953737546,0.008081184941063024,0.011317218023947473,0.846705757065025,1,25637,0,25637,56
EXOSC5:K562,EXOSC5,K562,0.007454033510723712,0.007816028312288337,0.9006518092819942,39388,0.010484995147742704,0.010938147852979863,0.9107069540602509,39387,0.007257567645956198,0.008239654610328495,0.900028017269896,0.011099954217003716,0.011681963617305224,0.9105784428738832,1,22082,0,22082,23
FAM120A:HepG2,FAM120A,HepG2,0.006157411719149852,0.006452228516585001,0.934140749024016,39259,0.009537143066225218,0.009971219911866114,0.8760876782101551,39268,0.006088878583268675,0.006403157265278625,0.9341411772425725,0.00927099103279061,0.010449523131951577,0.8753237933393794,1,20659,0,20659,62
FAM120A:K562,FAM120A,K562,0.041228008233603175,0.04196228307471672,0.7292271543954432,39709,0.03665758895149018,0.03757530397345987,0.6958062595408943,39712,0.04038679307008042,0.042513425530996796,0.727706169556555,0.034719391889939555,0.03759737819796505,0.6937590077445601,1,21381,0,21381,69
FTO:HepG2,FTO,HepG2,0.044372305189469774,0.04582329294247112,0.8529590515207646,18071,0.014057105323526886,0.0162161677218291,0.7667511660849966,18078,0.04527538916834262,0.046539496058365604,0.8536122220010894,0.016690370051493986,0.018216032574654872,0.7678267623252123,1,8096,0,8096,18
FTO:K562,FTO,K562,0.017179918807257555,0.017870904725898584,0.8563717391565294,18652,0.00477257206487125,0.005535395316196734,0.7406089589064242,18652,0.016593435051991512,0.01737941457540848,0.8562932561807126,0.00431035493759091,0.005506777659178286,0.7400029981278602,1,8303,0,8303,34
FUBP3:HepG2,FUBP3,HepG2,0.015610903730240766,0.016464565655112895,0.8735641971558572,26178,0.006486123861309201,0.0070313239539858685,0.9290140013224542,26180,0.015431965740285936,0.0163862335887901,0.8732449035126386,0.005774799954011645,0.006364091577321207,0.9289770356368119,1,13220,0,13220,21
FUS:HepG2,FUS,HepG2,0.01631243250985792,0.01669747092446583,0.852026166377604,39411,0.01625336789845455,0.016818106584027492,0.7626208820386728,39420,0.016592121212636313,0.01721463427711556,0.8517693024156086,0.015007736481364331,0.016906529765310818,0.7608371796940981,1,18538,0,18538,60
FUS:K562,FUS,K562,0.011343904955222639,0.011941767252759194,0.8635425626214425,39434,0.011229981021883773,0.012120441660739,0.7748883180057254,39433,0.010595564247851574,0.012336684334898318,0.8623311522598196,0.008895739287917426,0.012524909555830854,0.7711799740727726,1,22520,0,22520,55
FXR2:HepG2,FXR2,HepG2,0.07864822953435613,0.07953141525299279,0.779190070220862,38655,0.022354283599857916,0.023574706387208155,0.7953797430067417,38664,0.07809096610520627,0.07989622634731064,0.7773267511641933,0.02156520597816025,0.02353401617329387,0.7944855215726043,1,19838,0,19838,16
GNL3:K562,GNL3,K562,0.044329824960453235,0.04815719957403253,0.733638506632479,2488,0.004086496210750523,0.0045679066593602435,0.6631878030624168,2488,0.04214118443771253,0.04591557159251869,0.7295093619793013,9.56359012003194e-05,-4.458700799214732e-05,0.6575349458752495,1,887,0,887,4
GPKOW:K562,GPKOW,K562,0.08281221893212554,0.08357158471952286,0.6993086881046682,36248,0.012484164381725171,0.013591333230756342,0.7426408842385644,36246,0.0833791921231608,0.08476714836428567,0.6985737104541991,0.013240161322541022,0.014278825160866204,0.742710872002169,1,17740,0,17740,30
GTF2F1:K562,GTF2F1,K562,0.007246863133156256,0.007464786039852345,0.9526212694690471,39232,0.01170216247314071,0.012016373622149357,0.9092606179257441,39235,0.0070087888416900945,0.0076494542238867425,0.9521106577040874,0.010915341876764795,0.011879170798121064,0.9084596748084676,1,20648,0,20648,87
HLTF:K562,HLTF,K562,0.051195719174039644,0.05397752453830751,0.8154267510765614,18083,0.009573398772897868,0.010613280625467958,0.8691304241987428,18083,0.050482692632091486,0.053889095008349375,0.8145072503284763,0.00783880259394909,0.009424430061342748,0.867999372711814,1,7733,0,7733,10
HNRNPA1:HepG2,HNRNPA1,HepG2,0.02732473493598131,0.028383207664522292,0.8486430724318851,17148,0.027955100724694537,0.028611160625193977,0.8959460016606555,17154,0.02751693101346986,0.02853606401123754,0.8488895034701601,0.027776306288557984,0.028965663787971718,0.8954068860720302,1,6937,0,6937,6
HNRNPA1:K562,HNRNPA1,K562,0.028993119754467167,0.029261402268588532,0.8679025009079276,35346,0.030806363770050416,0.031079281767255273,0.898134065957598,35345,0.028204210230998727,0.02887490050784569,0.8675383597586679,0.030905977222084546,0.031331682166162333,0.897915720673468,1,13735,0,13735,38
HNRNPC:HepG2,HNRNPC,HepG2,0.021971703400117337,0.0221643548598236,0.9258710794014577,39516,0.021671939420244035,0.021870600813695407,0.9436307228814027,39518,0.021765091132834646,0.022212239149002833,0.9255992458274405,0.021553074536012296,0.021975155397579882,0.9433223124725109,1,15341,0,15341,17
HNRNPK:HepG2,HNRNPK,HepG2,0.004625884965845151,0.004742953247848014,0.9753334751107786,39354,0.004296170720925141,0.0044563536607612475,0.9697848744279588,39365,0.004680021975994375,0.004836301559370981,0.9752399330930507,0.004233284945721172,0.004401797759811643,0.9697967174595914,1,18914,0,18914,53
HNRNPK:K562,HNRNPK,K562,0.00893198212283508,0.00919424782495415,0.9574645871096092,39511,0.006788252435384612,0.007051982134638979,0.9543547819628982,39514,0.008806077572382054,0.009302049977080729,0.957182404925935,0.006807650955772071,0.007156908864631606,0.9542345915793836,1,19757,0,19757,41
HNRNPL:HepG2,HNRNPL,HepG2,0.011841113206504272,0.012525862378934827,0.9371696465167628,39146,0.005875156135569104,0.006464131635047998,0.9635821879042032,39150,0.011872352902060679,0.012881874313866448,0.9368922402128466,0.0059547217451302314,0.006597588278374089,0.9634274097235473,1,17486,0,17486,38
HNRNPM:K562,HNRNPM,K562,0.011075278457219229,0.011371343255717425,0.9234816253215513,39718,0.028403558614265467,0.028963189377243848,0.8643939318980969,39717,0.011181878722662186,0.011597556620795202,0.9232956929159375,0.02867228514354836,0.029829014970488177,0.8635223044997192,1,20176,0,20176,14
HNRNPU:HepG2,HNRNPU,HepG2,0.006543559796336584,0.007065218102136228,0.8599927834034002,33273,0.012545872124046564,0.013249854605992595,0.8253203292403788,33278,0.0062781799848588005,0.0073914022273969815,0.859432736254892,0.01127048856507784,0.014121888154397633,0.8225737493636636,1,14749,0,14749,37
