dataset,protein,cell,arm,model,n,fold_agreement,max_chroms_per_score_fold,max_chroms_per_table_fold,cross_fold_neighbours_score,cross_fold_neighbours_table
AATF:K562,AATF,K562,gc,cnn,2086,1.0,5,5,0.0,0.0
AATF:K562,AATF,K562,gc,splicebert,2086,1.0,5,5,0.0,0.0
AATF:K562,AATF,K562,dn,cnn,2162,1.0,5,5,0.0,0.0
AATF:K562,AATF,K562,dn,splicebert,2162,1.0,5,5,0.0,0.0
AKAP1:HepG2,AKAP1,HepG2,gc,cnn,11850,1.0,5,5,0.0,0.0
AKAP1:HepG2,AKAP1,HepG2,gc,splicebert,11850,1.0,5,5,0.0,0.0
AKAP1:HepG2,AKAP1,HepG2,dn,cnn,11886,1.0,5,5,0.0,0.0
AKAP1:HepG2,AKAP1,HepG2,dn,splicebert,11886,1.0,5,5,0.0,0.0
AQR:HepG2,AQR,HepG2,gc,cnn,21858,1.0,5,5,0.0,0.0
AQR:HepG2,AQR,HepG2,gc,splicebert,21858,1.0,5,5,0.0,0.0
AQR:HepG2,AQR,HepG2,dn,cnn,22202,0.7063327628141609,23,5,0.19408161426898476,0.0
AQR:HepG2,AQR,HepG2,dn,splicebert,22202,0.7063327628141609,23,5,0.19408161426898476,0.0
BCCIP:HepG2,BCCIP,HepG2,gc,cnn,1076,1.0,5,5,0.0,0.0
BCCIP:HepG2,BCCIP,HepG2,gc,splicebert,1076,1.0,5,5,0.0,0.0
BCCIP:HepG2,BCCIP,HepG2,dn,cnn,1078,1.0,5,5,0.0,0.0
BCCIP:HepG2,BCCIP,HepG2,dn,splicebert,1078,1.0,5,5,0.0,0.0
BCLAF1:HepG2,BCLAF1,HepG2,gc,cnn,64768,1.0,5,5,0.0,0.0
BCLAF1:HepG2,BCLAF1,HepG2,gc,splicebert,64768,1.0,5,5,0.0,0.0
BCLAF1:HepG2,BCLAF1,HepG2,dn,cnn,64774,1.0,5,5,0.0,0.0
BCLAF1:HepG2,BCLAF1,HepG2,dn,splicebert,64774,1.0,5,5,0.0,0.0
BUD13:K562,BUD13,K562,gc,cnn,17608,1.0,5,5,0.0,0.0
BUD13:K562,BUD13,K562,gc,splicebert,17608,1.0,5,5,0.0,0.0
BUD13:K562,BUD13,K562,dn,cnn,17700,1.0,5,5,0.0,0.0
BUD13:K562,BUD13,K562,dn,splicebert,17700,1.0,5,5,0.0,0.0
CDC40:HepG2,CDC40,HepG2,gc,cnn,2316,1.0,5,5,0.0,0.0
CDC40:HepG2,CDC40,HepG2,gc,splicebert,2316,1.0,5,5,0.0,0.0
CDC40:HepG2,CDC40,HepG2,dn,cnn,2344,1.0,5,5,0.0,0.0
CDC40:HepG2,CDC40,HepG2,dn,splicebert,2344,1.0,5,5,0.0,0.0
CSTF2T:HepG2,CSTF2T,HepG2,gc,cnn,39066,1.0,5,5,0.0,0.0
CSTF2T:HepG2,CSTF2T,HepG2,gc,splicebert,39066,1.0,5,5,0.0,0.0
CSTF2T:HepG2,CSTF2T,HepG2,dn,cnn,37728,0.48128710771840544,23,5,0.445186598812553,0.0
CSTF2T:HepG2,CSTF2T,HepG2,dn,splicebert,37728,0.48128710771840544,23,5,0.445186598812553,0.0
DDX24:K562,DDX24,K562,gc,cnn,19180,1.0,5,5,0.0,0.0
DDX24:K562,DDX24,K562,gc,splicebert,19180,1.0,5,5,0.0,0.0
DDX24:K562,DDX24,K562,dn,cnn,19200,1.0,5,5,0.0,0.0
DDX24:K562,DDX24,K562,dn,splicebert,19200,1.0,5,5,0.0,0.0
DDX55:HepG2,DDX55,HepG2,gc,cnn,3370,1.0,5,5,0.0,0.0
DDX55:HepG2,DDX55,HepG2,gc,splicebert,3370,1.0,5,5,0.0,0.0
DDX55:HepG2,DDX55,HepG2,dn,cnn,3372,1.0,5,5,0.0,0.0
DDX55:HepG2,DDX55,HepG2,dn,splicebert,3372,1.0,5,5,0.0,0.0
DDX55:K562,DDX55,K562,gc,cnn,2200,1.0,5,5,0.0,0.0
DDX55:K562,DDX55,K562,gc,splicebert,2200,1.0,5,5,0.0,0.0
