check,value,n,ci_low,ci_high,note
genes spanning a frozen fold boundary,0.0,2,,,
"distinct gene groups, dinucleotide arm",6685.0,2,,,
"chromosomes split across folds by the gene-clustered design, dinucleotide arm",23.0,2,23.0,23.0,
"fold-mass coefficient of variation, gene-clustered, dinucleotide arm",0.000650619582509341,2,0.00016826518593303046,0.0011329739790856515,
max |frozen refit gain - published gain|,9.367506770274758e-17,2,,,
"composition AUROC, frozen folds, gc arm",0.7797323431934355,2,0.7162465559294272,0.843218130457444,
"composition AUROC, gene-clustered folds, gc arm",0.7792942313932938,2,0.7160983745482384,0.8424900882383493,
"4-mer contribution, frozen folds, gc arm",0.012510569225373913,2,0.008574922110060834,0.016446216340686992,
"4-mer contribution, gene-clustered folds, gc arm",0.014980973727483082,2,0.008828499706243664,0.0211334477487225,
"composition AUROC, frozen folds, dn arm",0.6118513416970432,2,0.5874500615797352,0.6362526218143513,
"composition AUROC, gene-clustered folds, dn arm",0.6023613769957478,2,0.5810334472287335,0.623689306762762,
"4-mer contribution, frozen folds, dn arm",0.039738392216428275,2,0.0313997050163779,0.04807707941647865,
"4-mer contribution, gene-clustered folds, dn arm",0.03846174743007047,2,0.027525132258616303,0.04939836260152464,
"two-arm contrast, frozen folds",0.027227822991054362,2,0.022824782906317065,0.03163086307579166,
"two-arm contrast, gene-clustered folds",0.023480773702587387,2,0.01869663255237264,0.028264914852802137,
contrast change from gene-clustered folds,-0.003747049288466975,2,-0.004128150353944426,-0.0033659482229895232,
gene-clustered / frozen contrast multiplier,0.8623816054005471,2,,,
