dataset,gain_gc_k3,gain_dn_k3,contrast_k3,gain_gc_k4,gain_dn_k4,contrast_k4,gain_gc_k5,gain_dn_k5,contrast_k5,gain_gc_k6,gain_dn_k6,contrast_k6
AATF:K562,0.011832524550741796,0.041384232402074006,0.02955170785133221,0.016446216340686992,0.0473171704344062,0.030870954093719205,0.014424796088427616,0.03795608444916454,0.023531288360736924,0.015752186194958995,0.05782239865954797,0.042070212464588974
AKAP1:HepG2,0.005011447595648866,0.03018470183213695,0.025173254236488085,0.008574922110060834,0.03239114738821314,0.023816225278152303,0.006480072637931933,0.024708651081454258,0.018228578443522325,0.005113881322437619,0.021073437886519053,0.015959556564081434
AQR:HepG2,0.050926935123830286,0.07676929344141148,0.025842358317581193,0.10411836383167761,0.13376355259612693,0.029645188764449326,0.13214586524132443,0.16808807139620907,0.03594220615488464,0.11724656273612455,0.15748440620645887,0.04023784347033432
BCCIP:HepG2,-0.0009673719268666892,-0.0005954819100857378,0.00037189001678095135,0.0004422271665676103,0.012987012987012991,0.012544785820445381,5.5278395821090065e-05,0.029460865135394587,0.029405586739573497,0.003565456530451594,0.02662113926359877,0.023055682733147176
BCLAF1:HepG2,0.042114716465348034,0.09398541421791862,0.05187069775257058,0.06953657571286365,0.1403414503506233,0.07080487463775964,0.09219774998529251,0.17722222036263358,0.08502447037734107,0.0951202573273997,0.1809971664232528,0.0858769090958531
BUD13:K562,0.036743693905603614,0.07137531360720106,0.03463161970159745,0.06975012235774869,0.1119604583612629,0.042210336003514204,0.08886445661703068,0.13919646334067481,0.05033200672364413,0.07021738858942517,0.11495237000861835,0.04473498141919319
CDC40:HepG2,0.002965031126860973,0.0002832007361763811,-0.002681830390684592,0.007508031535522153,0.00540119861617494,-0.0021068329193472124,0.013189019242872857,0.004545772227981804,-0.008643247014891053,0.01712573939345119,0.007493535160572717,-0.009632204232878472
CSTF2T:HepG2,0.015676254016148805,0.019562861590053937,0.003886607573905132,0.020778226941321365,0.023726449997697907,0.002948223056376542,0.02086744214939973,0.02726278622357181,0.006395344074172082,0.017728777794449813,0.021878269350508295,0.004149491556058482
DDX24:K562,0.053369940229275326,0.0924602105034722,0.03909027027419687,0.09464438212815096,0.1487579644097221,0.05411358228157115,0.11719758264006774,0.180703786892361,0.06350620425229325,0.09624628539678437,0.15774245876736115,0.06149617337057678
DDX55:HepG2,0.007070239237820353,0.0353166612490835,0.02824642201126315,0.012583715626623526,0.044516702338285086,0.03193298671166156,0.014870959504794667,0.03213822857697679,0.017267269072182123,0.006827215173154877,0.019572601945545554,0.012745386772390677
DDX55:K562,0.010176033057851308,0.03229744902041809,0.02212141596256678,0.010660330578512345,0.02113180899867262,0.010471478420160274,0.0042214876033058735,0.016018795562781962,0.011797307959476089,0.016575206611570192,0.02472444751324232,0.008149240901672128
DDX59:HepG2,0.0028364830487366266,0.014142330459453678,0.011305847410717051,0.0036660316849574937,0.01902468066964713,0.015358648984689638,0.002371948695309878,0.017445019718775656,0.015073071023465778,0.0013415348464104193,0.013670832110221798,0.012329297263811378
DDX6:HepG2,0.02354852144939612,0.07915276343453381,0.05560424198513769,0.013161182840483177,0.05444992573513974,0.04128874289465656,0.013548521449396222,0.05887701656867539,0.045328495119279166,0.022390670553935732,0.10473608202461238,0.08234541147067664
DDX6:K562,0.013569091961876945,0.03693460927126313,0.023365517309386186,0.01105294781181898,0.04974614242450015,0.03869319461268117,0.006000711222987176,0.02789332879821549,0.021892617575228313,0.006405528495332602,0.02066077537431077,0.014255246878978167
DGCR8:K562,-0.0011808632083869508,0.007821611213693513,0.009002474422080464,-0.0006035232140425562,-0.0013343872551049296,-0.0007308640410623735,0.0007154564782523298,0.013315210294972846,0.012599753816720516,0.005508294844000394,0.020040012509482286,0.014531717665481891
DHX30:K562,0.010409398362406397,0.014944563578094039,0.004535165215687642,0.010985324947589081,0.00426671929493827,-0.006718605652650811,0.0039966773466239,0.013462920633424469,0.009466243286800569,0.006018749258336231,0.014434972664718715,0.008416223406382484
DROSHA:HepG2,0.02954716629123444,0.05532137657824465,0.025774210287010213,0.01736864471193056,0.04563324343544117,0.028264598723510614,0.014247790591617071,0.029894822820646927,0.015647032229029856,0.01198591091886514,0.028815754605589605,0.016829843686724466
DROSHA:K562,0.010403733944587934,0.019209152341666536,0.008805418397078602,0.009727918549977899,0.021775239810206903,0.012047321260229005,0.010089860355205094,0.026748938571724445,0.016659078216519352,0.0048730287496766556,0.013802694225471313,0.008929665475794657
EFTUD2:HepG2,0.009758099957723476,0.02268548634252454,0.012927386384801065,0.020365142415054938,0.03798998740314907,0.017624844988094135,0.02703319807526028,0.04808840839056627,0.021055210315305994,0.018144118890490835,0.03711148124481556,0.018967362354324724
