dataset,protein,cell,arm,pairs,gc_gap_median,gc_gap_p90,gc_gap_max,dinuc_l1_median,dinuc_l1_p90,dinuc_l1_max
AATF:K562,AATF,K562,gc,1043,0.029700000000000004,0.049500000000000086,0.14849999999999997,0.54,0.92,1.84
AATF:K562,AATF,K562,dn,1081,0.029700000000000004,0.08909999999999996,0.21790000000000004,0.24000000000000002,0.56,1.1400000000000001
AATF:K562,AATF,K562,neg2,1043,0.13860000000000006,0.3268,0.6040000000000001,0.7400000000000001,1.1800000000000002,1.8199999999999998
AKAP1:HepG2,AKAP1,HepG2,gc,5925,0.02969999999999995,0.04949999999999999,0.14850000000000008,0.48,0.6800000000000002,1.42
AKAP1:HepG2,AKAP1,HepG2,dn,5943,0.01980000000000004,0.05940000000000001,0.20789999999999997,0.2,0.27999999999999997,0.88
AKAP1:HepG2,AKAP1,HepG2,neg2,5925,0.11890000000000006,0.2773,0.5149,0.64,0.9400000000000001,1.6600000000000001
AQR:HepG2,AQR,HepG2,gc,10929,0.029700000000000004,0.04960000000000003,0.14850000000000008,0.48,0.7,1.54
AQR:HepG2,AQR,HepG2,dn,11108,0.02969999999999995,0.06940000000000002,0.31679999999999997,0.21999999999999997,0.32000000000000006,1.1600000000000001
AQR:HepG2,AQR,HepG2,neg2,10929,0.13859999999999995,0.307,0.5644,0.6599999999999999,1.0,1.7600000000000002
BCCIP:HepG2,BCCIP,HepG2,gc,538,0.02969999999999995,0.04949999999999999,0.14849999999999997,0.6000000000000001,0.9260000000000003,1.78
BCCIP:HepG2,BCCIP,HepG2,dn,539,0.02969999999999995,0.07919999999999999,0.1981,0.26000000000000006,0.48,0.9400000000000001
BCCIP:HepG2,BCCIP,HepG2,neg2,538,0.1089,0.2476,0.4951,0.7,1.04,1.6
BCLAF1:HepG2,BCLAF1,HepG2,gc,32384,0.029700000000000004,0.04949999999999999,0.14850000000000002,0.45999999999999996,0.6400000000000001,1.62
BCLAF1:HepG2,BCLAF1,HepG2,dn,32387,0.019799999999999984,0.04949999999999999,0.15839999999999999,0.18,0.24000000000000002,0.74
BCLAF1:HepG2,BCLAF1,HepG2,neg2,32384,0.15850000000000003,0.32680000000000003,0.6436,0.68,1.02,1.8000000000000003
BUD13:K562,BUD13,K562,gc,8804,0.029700000000000004,0.04949999999999999,0.14850000000000008,0.4600000000000001,0.66,1.6400000000000001
BUD13:K562,BUD13,K562,dn,8850,0.01980000000000004,0.05940000000000001,0.24750000000000005,0.2,0.28,0.78
BUD13:K562,BUD13,K562,neg2,8804,0.12880000000000003,0.31689999999999996,0.6238,0.6599999999999999,1.02,1.7
CDC40:HepG2,CDC40,HepG2,gc,1158,0.029700000000000004,0.05940000000000001,0.14850000000000008,0.5800000000000001,1.02,1.4400000000000002
CDC40:HepG2,CDC40,HepG2,dn,1172,0.02970000000000006,0.07920000000000005,0.2476,0.26,0.56,1.04
CDC40:HepG2,CDC40,HepG2,neg2,1158,0.12870000000000004,0.29710000000000003,0.49510000000000004,0.74,1.12,1.7
CSTF2T:HepG2,CSTF2T,HepG2,gc,19533,0.03959999999999997,0.09899999999999998,0.14850000000000008,0.5,0.76,1.76
CSTF2T:HepG2,CSTF2T,HepG2,dn,18872,0.03959999999999997,0.1089,0.4159,0.24,0.38,0.9800000000000001
CSTF2T:HepG2,CSTF2T,HepG2,neg2,19533,0.17820000000000003,0.34659999999999996,0.6337,0.72,1.06,1.96
DDX24:K562,DDX24,K562,gc,9590,0.02969999999999995,0.04949999999999999,0.14850000000000008,0.46,0.66,1.54
DDX24:K562,DDX24,K562,dn,9600,0.01980000000000004,0.0495000000000001,0.1981,0.2,0.26,0.76
DDX24:K562,DDX24,K562,neg2,9590,0.12880000000000003,0.29710000000000003,0.6238,0.6400000000000001,1.0,1.76
