dataset,composition_auroc,kmer_auroc,pairs,protein,cell,cnn,splicebert,delta_auroc
AATF:K562,0.6370929716120938,0.6765842775858514,1081,AATF,K562,0.6254256303265298,0.7553366918800132,0.03949130597375761
AKAP1:HepG2,0.5841359480774917,0.6153589788956157,5943,AKAP1,HepG2,0.6721632869373865,0.7440609793260327,0.031223030818124053
AQR:HepG2,0.5986089382595707,0.7327253288286233,11101,AQR,HepG2,0.8212904492624157,0.9383920745918328,0.13411639056905256
BCCIP:HepG2,0.6880432051383549,0.6670085811352708,539,BCCIP,HepG2,0.7074600459175069,0.7405832969045267,-0.02103462400308409
BCLAF1:HepG2,0.5665554522606242,0.7064597425081852,32387,BCLAF1,HepG2,0.811925571927269,0.9161563145375604,0.13990429024756101
BUD13:K562,0.5682500047878961,0.6804350218647259,8850,BUD13,K562,0.7541680934597338,0.9021436305020908,0.11218501707682982
CDC40:HepG2,0.6697639168773077,0.6236487903178838,1172,CDC40,HepG2,0.7136418304231849,0.7912206315740429,-0.04611512655942396
CSTF2T:HepG2,0.7190416786717082,0.7425992712400209,18864,CSTF2T,HepG2,0.8097324177956365,0.8765833194591223,0.02355759256831269
DDX24:K562,0.5573174913194445,0.7068258138020834,9600,DDX24,K562,0.7485166069878473,0.9152061957465276,0.1495083224826389
DDX55:HepG2,0.5968825679062378,0.6387742049872721,1686,DDX55,HepG2,0.6564418580762093,0.7332269517018951,0.04189163708103427
DDX55:K562,0.59636726912451,0.6092017742932071,1101,DDX55,K562,0.5914802908098574,0.7489005536210578,0.012834505168697108
DDX59:HepG2,0.7296360973854217,0.7366844684629017,3089,DDX59,HepG2,0.7622411147608537,0.8176549564809854,0.00704837107748002
DDX6:HepG2,0.6203152450740386,0.6728560907471333,493,DDX6,HepG2,0.6163530810659579,0.7518607359009911,0.052540845673094694
DDX6:K562,0.5995970722326516,0.6491608505962153,1955,DDX6,K562,0.6666395431741027,0.7725842975909368,0.04956377836356374
DGCR8:K562,0.5642400776046508,0.5450885950335317,1253,DGCR8,K562,0.5935539223023563,0.6697904279529608,-0.019151482571119094
DHX30:K562,0.6249985271938919,0.5871665566971439,824,DHX30,K562,0.6141203812800453,0.7192743189744556,-0.037831970496748024
DROSHA:HepG2,0.6146915126997545,0.653149696762334,2184,DROSHA,HepG2,0.6593767191294665,0.7593290028042775,0.038458184062579504
DROSHA:K562,0.6667756883584602,0.6803537496187338,3915,DROSHA,K562,0.7229873174248598,0.7915211395380622,0.01357806126027361
EFTUD2:HepG2,0.6804083322913396,0.7154900845737441,7401,EFTUD2,HepG2,0.7531727607974462,0.8520474755371246,0.03508175228240451
EIF3H:HepG2,0.5360915106610489,0.6283385601200165,2832,EIF3H,HepG2,0.6545247988086118,0.8116883019726133,0.09224704945896767
ELAC2:K562,0.850231519139482,0.8714384786677357,12915,ELAC2,K562,0.8859713309659046,0.9187610797780248,0.021206959528253688
ELAVL1:K562,0.6968694537497894,0.7419502626814487,8806,ELAVL1,K562,0.8337449382286892,0.8686736373599131,0.04508080893165933
EXOSC5:HepG2,0.688518510810192,0.6539073541849171,727,EXOSC5,HepG2,0.6650723044525465,0.73401270318185,-0.03461115662527492
FASTKD2:HepG2,0.6048772006201024,0.5934958270509036,868,FASTKD2,HepG2,0.6044538002505893,0.7552268045615749,-0.011381373569198772
FASTKD2:K562,0.7303992320366008,0.6702182704483872,542,FASTKD2,K562,0.7707547555180349,0.8016571125120844,-0.06018096158821362
FKBP4:HepG2,0.7182212328935593,0.7055426476125245,1454,FKBP4,HepG2,0.7684099489913127,0.8201509182653163,-0.012678585281034827
FMR1:K562,0.5572480549042732,0.6617104695433882,4445,FMR1,K562,0.660798131392181,0.8515774476446911,0.10446241463911499
FXR1:K562,0.5759394275161588,0.6455199753770392,1425,FXR1,K562,0.5837257002154509,0.8354580486303478,0.06958054786088042
FXR2:K562,0.5693980353119751,0.6584832572915198,4745,FXR2,K562,0.6223663975500804,0.8035856500270374,0.08908522197954472
G3BP1:HepG2,0.5643923299906008,0.6901700158252777,6482,G3BP1,HepG2,0.6878183346072827,0.8963421692959146,0.12577768583467686
GARS:K562,0.6163174718126085,0.6503795777197868,566,GARS,K562,0.639950555007554,0.7794484885564809,0.034062105907178286
GEMIN5:K562,0.6292791551882462,0.6644827536730946,2640,GEMIN5,K562,0.6585322687098255,0.782754677456382,0.03520359848484844
GRSF1:HepG2,0.6227540784832452,0.6171127015621063,1008,GRSF1,HepG2,0.611669638920383,0.7060490284076595,-0.005641376921138863
GRWD1:HepG2,0.56857438328516,0.7228726407844653,22078,GRWD1,HepG2,0.7571544830296846,0.8919606720758404,0.15429825749930537
GRWD1:K562,0.5858371918367347,0.718397544489796,4375,GRWD1,K562,0.7027914971428572,0.86613504,0.13256035265306132
GTF2F1:HepG2,0.7469810664488401,0.7614513462418514,4472,GTF2F1,HepG2,0.8247699803312164,0.8602593727009293,0.014470279793011298
HLTF:HepG2,0.5431476306871318,0.6017112718062777,3645,HLTF,HepG2,0.6526826496262048,0.7437636539145455,0.058563641119145915
HNRNPC:K562,0.6668657232137493,0.7166861967429843,516,HNRNPC,K562,0.7744689321555196,0.8195909200168259,0.04982047352923502
HNRNPL:K562,0.7281126853068118,0.7739373006192531,5840,HNRNPL,K562,0.7856511833833739,0.8242997191077125,0.04582461531244131
HNRNPM:HepG2,0.7029065080801772,0.7690603329130999,13423,HNRNPM,HepG2,0.8293993289229612,0.8802135705176771,0.06615382483292276
HNRNPUL1:HepG2,0.5935695977330356,0.5809967490336514,467,HNRNPUL1,HepG2,0.6500602964844628,0.7055284769062172,-0.012572848699384243
IGF2BP1:K562,0.567448417976834,0.6304200545751031,5706,IGF2BP1,K562,0.6534360710692614,0.7660108274242656,0.0629716365982691
KHSRP:HepG2,0.6447149788544675,0.7353382507693615,5289,KHSRP,HepG2,0.729992802836654,0.8015618234115041,0.09062327191489405
KHSRP:K562,0.6855158643160228,0.7545567402493343,23190,KHSRP,K562,0.7714208755537855,0.8192602611777133,0.06904087593331143
LARP4:HepG2,0.5621258381231131,0.6299279762825871,5429,LARP4,HepG2,0.6134348187952917,0.7773222036299671,0.067802138159474
LARP4:K562,0.5990427257977285,0.6009572742022714,430,LARP4,K562,0.5188209843158463,0.6978474851270958,0.0019145484045428596
LIN28B:K562,0.5736810201305194,0.6687583272257255,6916,LIN28B,K562,0.63444354019698,0.8298119740446458,0.09507730709520612
LSM11:K562,0.6033963571177983,0.7027147319932111,1339,LSM11,K562,0.684958790710801,0.7502862647043568,0.09931837487541284
MATR3:HepG2,0.6461099289007604,0.6975058620539585,6991,MATR3,HepG2,0.7658955674276514,0.8185973665673631,0.051395933153198126
MATR3:K562,0.6839996028373394,0.7411466597876946,4866,MATR3,K562,0.7557216113399665,0.8188265009727205,0.05714705695035516
MBNL1:K562,0.6282679173091991,0.6977500062292187,1202,MBNL1,K562,0.6771257554657933,0.7727131154121942,0.06948208892001961
METTL1:K562,0.6124454856263588,0.6911320404043898,481,METTL1,K562,0.6675671353426031,0.8094190464252834,0.07868655477803099
MORC2:K562,0.6487735567421313,0.6203738343656039,891,MORC2,K562,0.6269075591933805,0.7322873327362664,-0.028399722376527436
MTPAP:K562,0.5751081304368956,0.6227912445252705,1083,MTPAP,K562,0.5994710496901242,0.7689529870260527,0.04768311408837489
NCBP2:HepG2,0.5990981520649988,0.6634328412706892,3226,NCBP2,HepG2,0.6322196551653894,0.7662845452459461,0.06433468920569041
NCBP2:K562,0.6180567351792083,0.5830401125967629,406,NCBP2,K562,0.5958103812274018,0.7299255017107914,-0.03501662258244542
NKRF:HepG2,0.7893545117016048,0.7916626952247382,3794,NKRF,HepG2,0.8109692540591785,0.852802167065018,0.0023081835231334447
NOLC1:K562,0.5822025234289423,0.6014219643798937,1570,NOLC1,K562,0.5591735973061788,0.6672457300499006,0.019219440950951405
NONO:K562,0.6615615705235588,0.7180748359608742,11333,NONO,K562,0.7660945478081381,0.8401097694656554,0.056513265437315385
PCBP1:HepG2,0.6366478044363967,0.617363060208239,940,PCBP1,HepG2,0.633459710276143,0.6782446808510638,-0.019284744228157735
PCBP2:HepG2,0.8197999204211439,0.8457948225760736,8526,PCBP2,HepG2,0.8769365508386785,0.9080918688972648,0.025994902154929722
PHF6:K562,0.6082397391439367,0.6031344133326432,695,PHF6,K562,0.5575342891154702,0.6678142953263289,-0.005105325811293526
PPIL4:K562,0.5247339855991858,0.595941337521098,659,PPIL4,K562,0.5598759789168765,0.6531416294979517,0.07120735192191219
PRPF4:HepG2,0.764109674743183,0.776663246481907,9159,PRPF4,HepG2,0.8182226244354689,0.8632106142140292,0.012553571738723956
PTBP1:HepG2,0.8173172064055021,0.8573129473880324,7988,PTBP1,HepG2,0.9066901023698746,0.9231853454888568,0.03999574098253034
PTBP1:K562,0.8022223238087973,0.8371070154444764,7608,PTBP1,K562,0.8922972963973286,0.9166927163421028,0.03488469163567909
PUM1:K562,0.5862924425375698,0.7036061330248816,2658,PUM1,K562,0.6957988745590211,0.8483847900711171,0.11731369048731177
QKI:HepG2,0.6206100995890785,0.8695394693993294,9990,QKI,HepG2,0.9102062973884796,0.9330404328252176,0.24892936981025082
QKI:K562,0.6778184706496894,0.9153356382811102,2189,QKI,K562,0.9392376976873236,0.9487002686508668,0.23751716763142083
RBFOX2:K562,0.6338253403094685,0.7185950567055259,3519,RBFOX2,K562,0.7384195615390683,0.7926926300541509,0.08476971639605746
RBM15:HepG2,0.5934293333333334,0.6327902222222223,1500,RBM15,HepG2,0.6424408888888888,0.7304795555555554,0.03936088888888889
RPS3:HepG2,0.5543967125318356,0.6804001653829993,5658,RPS3,HepG2,0.657419850283154,0.8472564271149651,0.12600345285116366
RPS3:K562,0.5684626218189159,0.6963264505231068,2372,RPS3,K562,0.6218310908036139,0.8723919305898781,0.12786382870419088
SAFB2:K562,0.5433711745059902,0.5853899715328,3744,SAFB2,K562,0.6527326913945503,0.7409805475084922,0.042018797026809884
SLTM:K562,0.631046446685183,0.6600526053616712,3640,SLTM,K562,0.720352723665285,0.7987497433418206,0.02900615867648826
SMNDC1:K562,0.590505289056939,0.6688980411357379,2465,SMNDC1,K562,0.6716843105711193,0.7698622911429382,0.07839275207879892
SND1:K562,0.5626503506267987,0.7069942736735173,4132,SND1,K562,0.6583307777045775,0.8949045018737894,0.14434392304671861
SRSF1:HepG2,0.6145988332380932,0.7320272807676325,1791,SRSF1,HepG2,0.7092567808332563,0.8549452080802299,0.11742844752953929
SRSF1:K562,0.5973751977161375,0.7755832090240002,3864,SRSF1,K562,0.7566613326174829,0.8997924784280441,0.1782080113078628
STAU2:HepG2,0.6121214733891064,0.6123245038269847,848,STAU2,HepG2,0.5921514829565682,0.6998236694553223,0.00020303043787828212
SUB1:HepG2,0.6118883270781639,0.6430961906988173,3297,SUB1,HepG2,0.649686220384539,0.7543427177895107,0.03120786362065342
TAF15:HepG2,0.651640150282118,0.6655222574869791,768,TAF15,HepG2,0.721006605360243,0.7333017985026041,0.01388210720486116
TIA1:HepG2,0.5964840918419196,0.6404297659662792,1729,TIA1,HepG2,0.764854198493966,0.7942648809593499,0.04394567412435957
TIA1:K562,0.6165652051944183,0.6648513368611895,5883,TIA1,K562,0.7749283589344013,0.8271370771346717,0.048286131666771204
TRA2A:HepG2,0.6848053796032025,0.8022071557493684,921,TRA2A,HepG2,0.8162821650922321,0.8640009148343453,0.11740177614616587
U2AF1:K562,0.612849494348602,0.7317449930596867,1230,U2AF1,K562,0.9050717165708244,0.9411150770044284,0.11889549871108462
U2AF2:HepG2,0.5995244471618804,0.7511691584884274,10702,U2AF2,HepG2,0.9040666069783816,0.9444388963008364,0.151644711326547
UCHL5:HepG2,0.5639257973214148,0.6947994791316748,2233,UCHL5,HepG2,0.6391793576345053,0.8421040176371646,0.13087368181026005
XPO5:HepG2,0.6409689070333326,0.6694342368906329,4615,XPO5,HepG2,0.7063605544125545,0.7745859687017547,0.028465329857300214
YBX3:HepG2,0.571895195987111,0.614830959258126,2042,YBX3,HepG2,0.5946828165814659,0.7368220359713404,0.042935763271015004
