dataset,protein,cell,algo,pool_multiple,pool_min,floor_bound_buckets,n_buckets,mean_l1,median_l1,matched,subsampled_buckets,seconds,pairs,comp,full,gain
LARP4:K562,LARP4,K562,greedy,4,750,75,75,0.23865116279069767,0.22,430,0,21.3,430,0.5748783126014062,0.6004867495943753,0.025608436992969108
LARP4:K562,LARP4,K562,greedy,8,1500,75,75,0.22367441860465118,0.22,430,0,43.9,430,0.5990427257977285,0.6125851811790156,0.013542455381287066
LARP4:K562,LARP4,K562,greedy,16,3000,75,75,0.20818604651162792,0.2,430,0,82.0,430,0.5674905354245539,0.5807138994050838,0.013223363980529923
LARP4:K562,LARP4,K562,optimal,4,750,75,75,0.237953488372093,0.22,430,0,20.0,430,0.5826176311519741,0.6068523526230395,0.024234721471065424
LARP4:K562,LARP4,K562,optimal,8,1500,75,75,0.22293023255813957,0.22,430,0,41.0,430,0.6050567874526772,0.6218766901027583,0.016819902650081042
LARP4:K562,LARP4,K562,optimal,16,3000,75,75,0.20800000000000002,0.2,430,0,84.4,430,0.5674634937804219,0.5847322877230936,0.017268793942671667
PPIL4:K562,PPIL4,K562,greedy,4,750,56,56,0.23526555386949927,0.22,659,0,23.2,659,0.5587073807051195,0.5684061701985581,0.009698789493438609
PPIL4:K562,PPIL4,K562,greedy,8,1500,56,56,0.21538694992412746,0.22,659,0,43.2,659,0.5247339855991858,0.5870668990814703,0.062332913482284424
PPIL4:K562,PPIL4,K562,greedy,16,3000,56,56,0.19860394537177542,0.2,659,0,79.8,659,0.5357475919968867,0.5299748319636365,-0.005772760033250224
PPIL4:K562,PPIL4,K562,optimal,4,750,56,56,0.23207890743550835,0.22,659,0,23.7,659,0.5476684450850947,0.5580488209247008,0.010380375839606049
PPIL4:K562,PPIL4,K562,optimal,8,1500,56,56,0.2128983308042489,0.2,659,0,52.0,659,0.5332975654012033,0.5693295354850891,0.03603197008388581
PPIL4:K562,PPIL4,K562,optimal,16,3000,56,56,0.19754172989377847,0.2,659,0,87.8,659,0.5377578111867662,0.5500263654177825,0.012268554231016249
TRA2A:HepG2,TRA2A,HepG2,greedy,4,750,85,85,0.29682953311617805,0.28,921,0,29.2,921,0.7217205959155475,0.8157198249082512,0.09399922899270374
TRA2A:HepG2,TRA2A,HepG2,greedy,8,1500,85,85,0.26948968512486426,0.26,921,0,50.8,921,0.6848053796032025,0.7973960230641999,0.11259064346099734
TRA2A:HepG2,TRA2A,HepG2,greedy,16,3000,85,85,0.24486427795874055,0.24,921,0,99.3,921,0.6554941343321061,0.7733592222021807,0.11786508787007455
TRA2A:HepG2,TRA2A,HepG2,optimal,4,750,85,85,0.29259500542888167,0.28,921,0,28.6,921,0.7147072589040144,0.8064170442126707,0.09170978530865626
TRA2A:HepG2,TRA2A,HepG2,optimal,8,1500,85,85,0.2671226927252986,0.26,921,0,51.4,921,0.6828931871956201,0.7992445543188788,0.11635136712325866
TRA2A:HepG2,TRA2A,HepG2,optimal,16,3000,85,85,0.24290988056460372,0.24,921,0,98.5,921,0.6554611248454155,0.768682485284253,0.11322136043883746
U2AF1:K562,U2AF1,K562,greedy,4,750,113,113,0.23382113821138215,0.22,1230,0,33.9,1230,0.6096985921078724,0.7453202458853857,0.13562165377751334
U2AF1:K562,U2AF1,K562,greedy,8,1500,113,113,0.21777235772357725,0.2,1230,0,54.2,1230,0.612849494348602,0.7286628329697931,0.11581333862119103
U2AF1:K562,U2AF1,K562,greedy,16,3000,113,113,0.2029430894308943,0.2,1230,0,105.5,1230,0.6012988300614712,0.7308817502809175,0.12958292021944628
U2AF1:K562,U2AF1,K562,optimal,4,750,113,113,0.2332682926829268,0.22,1230,0,25.8,1230,0.6135593892524291,0.7470824244827815,0.13352303523035236
U2AF1:K562,U2AF1,K562,optimal,8,1500,113,113,0.21708943089430893,0.2,1230,0,60.8,1230,0.6093053076872232,0.7326082358384559,0.12330292815123267
U2AF1:K562,U2AF1,K562,optimal,16,3000,113,113,0.2028130081300813,0.2,1230,0,110.7,1230,0.6015255469627868,0.7314118580210193,0.12988631105823245
SRSF1:HepG2,SRSF1,HepG2,greedy,4,750,113,113,0.24604131769960916,0.24,1791,0,29.5,1791,0.6339302443104535,0.7505621662503223,0.11663192193986882
SRSF1:HepG2,SRSF1,HepG2,greedy,8,1500,113,113,0.22723618090452266,0.22,1791,0,64.3,1791,0.6145988332380932,0.7288801473712629,0.11428131413316978
