check,value,n,note,ci_low,ci_high
"share of log-multiplier variance, protein",0.6466359280450376,262,79 levels,,
"permutation null share, protein",0.297022053193659,262,p = 0.0000,0.2136134859294043,0.3907093018972736
"excess over the permutation null, protein",0.34961387485137857,262,p = 0.0000,,
"share of log-multiplier variance, cell",0.0014424780893351654,262,2 levels,,
"permutation null share, cell",0.0037539309184254515,262,p = 0.5445,3.7135804505728098e-06,0.018176747818720623
"excess over the permutation null, cell",-0.0023114528290902863,262,p = 0.5445,,
"share of log-multiplier variance, model",0.024886023742420573,262,3 levels,,
"permutation null share, model",0.007686010142536309,262,p = 0.0340,0.00018725577830482252,0.026996249399851957
"excess over the permutation null, model",0.017200013599884264,262,p = 0.0340,,
residual share,0.33285047062368667,262,,,
"panel multiplier, exp(mean log)",2.930336809299158,262,,,
protein excess minus model-class excess,0.3324138612514943,262,,,
"share of log-multiplier variance, dataset",0.6778469261542699,262,94 levels; protein's 79 is nearly this factor,,
"block-preserving null share, protein",0.5738745550627787,262,p = 0.0030; permutes protein labels between datasets,0.49387511482297686,0.6343190370344892
"excess over the block-preserving null, protein",0.07276137298225882,262,p = 0.0030,,
cross-cell-line correlation of the log multiplier,0.5821892910940252,40,"15 proteins in both lines, x 3 models",,
cross-cell-line spearman of the log multiplier,0.6054409005628518,40,p = 0.0000,,
"cross-cell-line correlation, collapsed over models",0.5983745054225036,15,p = 0.0184,0.1241741398865373,0.850069710850059
"cross-cell-line correlation, collapsed, bootstrap CI",0.6114488756508412,15,4000 protein draws,-0.011990701742788122,0.9049572489044794
"cross-cell-line spearman, collapsed over models",0.5642857142857142,15,p = 0.0284,,
"cross-cell-line correlation, cnn only",0.300204716339233,12,p = 0.3431,,
"cross-cell-line correlation, kmer only",0.7536622693109204,13,p = 0.0029,,
"cross-cell-line correlation, splicebert only",0.7661639431478863,15,p = 0.0009,,
