dataset,protein,cell,gain_seed7,gain_seed11,gain_seed23,gain_seed42,gain_seed101
AATF:K562,AATF,K562,0.05085080741904435,0.03651793585322971,0.039749082823075654,0.031201940710521514,0.028952547642181914
AKAP1:HepG2,AKAP1,HepG2,0.013955142516334673,0.01538440064804425,0.013568794174722565,0.015043144795171881,0.013568965087503937
AQR:HepG2,AQR,HepG2,0.03574946655954625,0.038875935852972776,0.03168251551800316,0.032501407930496384,0.036508414081654283
BCCIP:HepG2,BCCIP,HepG2,-0.0021593123367560363,0.002594629703846052,-0.0016721714735837834,4.836859634338442e-05,-3.800389712693697e-05
BCLAF1:HepG2,BCLAF1,HepG2,0.01007500589364152,0.011322468217970338,0.011369575012156519,0.010456500173864569,0.011356687916018071
BUD13:K562,BUD13,K562,0.007137789068245914,0.009007718394905884,0.007657899810523561,0.009388260798393944,0.010731731848787729
CDC40:HepG2,CDC40,HepG2,-0.0017748425759379627,-0.0021469629311450245,-0.0018814822769290807,-0.0013445551110992104,0.0029545908764143647
CSTF2T:HepG2,CSTF2T,HepG2,0.014592376647354688,0.012350908430534213,0.012276674688696532,0.013585154796956433,0.013869676848960677
DDX24:K562,DDX24,K562,0.03597921453199526,0.03754645360728326,0.03319380306867281,0.03441105122319599,0.0367384995449509
DDX55:HepG2,DDX55,HepG2,0.010697285350755648,0.01907598024108692,0.01029506291329485,0.017135309811656563,0.016654897022955084
DDX55:K562,DDX55,K562,-0.0013842975206610486,0.004834710743801818,0.0009619834710743458,-5.619834710746119e-05,0.004122314049586739
DDX59:HepG2,DDX59,HepG2,0.005188141244209299,0.004406473893319496,0.006007276237656067,0.005371077814174119,0.004423865750323386
DDX6:HepG2,DDX6,HepG2,0.010403998334027387,0.02445647646813831,0.026443148688046758,0.03494377342773847,0.031366097459391895
DDX6:K562,DDX6,K562,0.02944048241877517,0.0287401644962485,0.030278576522034584,0.024187167079684713,0.02111779038923367
DGCR8:K562,DGCR8,K562,-0.0011383154763774384,0.006847566531561156,-0.00020030163069095774,0.003888862705669127,0.007496255799583129
DHX30:K562,DHX30,K562,0.0036296032593647887,0.0017926506071752613,-0.0008401566393734239,-0.0014524741901033034,0.0036501720659783965
DROSHA:HepG2,DROSHA,HepG2,0.0179063134837828,0.021476952363842505,0.015509044927516147,0.017792301792401877,0.014731044692583017
DROSHA:K562,DROSHA,K562,0.015823233426790706,0.01444167337110136,0.013435519802291185,0.014529019388862419,0.01598487937180071
EFTUD2:HepG2,EFTUD2,HepG2,0.0040935441829204056,0.006828563623575423,0.006303395596604089,0.00517166273481906,0.0062050337314990545
EIF3H:HepG2,EIF3H,HepG2,0.0064368689962084336,0.005746672674394437,0.00739621185323347,0.0036102673084308368,0.005925603192921347
ELAC2:K562,ELAC2,K562,0.010377088759595088,0.011286116861255802,0.009998029922032248,0.010356268538505575,0.01004707349536893
ELAVL1:K562,ELAVL1,K562,0.012646028550479804,0.011942623189210355,0.011756323325931461,0.012811264294283142,0.01258024012607839
