check,value,n,ci_low,ci_high,note
max |order-2 gain - deep_contrast_per_dataset.csv|,9.974659986866641e-17,94,,,
max |order-3 gain - baseline_order_models_per_dataset.csv|,9.985502008591496e-17,94,,,
composition columns at order 1,4.0,94,,,
composition columns at order 2,19.0,94,,,
composition columns at order 3,82.0,94,,,
composition columns at order 4,337.0,94,,,
"composition AUROC at order 1, gc arm",0.745125415114717,94,0.7199031253898989,0.769357664955257,
"kmer gain at order 1, gc arm",0.061575512670177586,94,0.050195612979739644,0.07352487445137273,
"cnn gain at order 1, gc arm",0.061002342311991045,94,0.048539247032124824,0.07340638459610994,
"splicebert gain at order 1, gc arm",0.12670364832062217,94,0.10780322033597453,0.14632865211545573,
"kmer gain positive at order 1, gc arm",93.0,94,,,
"cnn gain positive at order 1, gc arm",85.0,94,,,
"splicebert gain positive at order 1, gc arm",94.0,94,,,
"composition AUROC at order 2, gc arm",0.7827305897323874,94,0.7614192470827716,0.8037114557661579,
"kmer gain at order 2, gc arm",0.02651309834062755,94,0.02024683522485765,0.033118096980725965,
"cnn gain at order 2, gc arm",0.03300453940390077,94,0.025145241638451696,0.04178199491852191,
"splicebert gain at order 2, gc arm",0.0890265623764879,94,0.07425551876409195,0.10428228125367735,
"kmer gain positive at order 2, gc arm",88.0,94,,,
"cnn gain positive at order 2, gc arm",81.0,94,,,
"splicebert gain positive at order 2, gc arm",94.0,94,,,
"composition AUROC at order 3, gc arm",0.8023183116568375,94,0.7828480597003217,0.820904430747193,
"kmer gain at order 3, gc arm",0.005754301573012504,94,0.0036443570593043236,0.008199148401267606,
"cnn gain at order 3, gc arm",0.01996375736134189,94,0.014888479355291665,0.025716537418544422,
"splicebert gain at order 3, gc arm",0.06680513114322237,94,0.055597474619750176,0.07875590487063586,
"kmer gain positive at order 3, gc arm",65.0,94,,,
"cnn gain positive at order 3, gc arm",80.0,94,,,
"splicebert gain positive at order 3, gc arm",94.0,94,,,
"composition AUROC at order 4, gc arm",0.7961345880892134,94,0.7762955650965726,0.8154300676704563,
"kmer gain at order 4, gc arm",0.09861910386863522,94,0.08423158668134959,0.11407707201314217,
"cnn gain at order 4, gc arm",0.013878380695556781,94,0.010295732621315664,0.01792299787767307,
"splicebert gain at order 4, gc arm",0.054767040968857046,94,0.045430474779942505,0.06475095006959204,
"kmer gain positive at order 4, gc arm",94.0,94,,,
"cnn gain positive at order 4, gc arm",86.0,94,,,
"splicebert gain positive at order 4, gc arm",94.0,94,,,
"composition AUROC at order 1, dn arm",0.5917813895125668,94,0.5773037647460686,0.6078318533454103,
"kmer gain at order 1, dn arm",0.1009944809057276,94,0.08504380106048619,0.1187108998617297,
"cnn gain at order 1, dn arm",0.1134107737962223,94,0.09602545451793032,0.13215666429694906,
"splicebert gain at order 1, dn arm",0.21064419834231882,94,0.19036119848737626,0.2310426917162729,
"kmer gain positive at order 1, dn arm",93.0,94,,,
"cnn gain positive at order 1, dn arm",92.0,94,,,
"splicebert gain positive at order 1, dn arm",94.0,94,,,
"composition AUROC at order 2, dn arm",0.6274272695414447,94,0.6124482258708109,0.6431620784676941,
"kmer gain at order 2, dn arm",0.06626403675115058,94,0.0537450815951884,0.08009965562803285,
"cnn gain at order 2, dn arm",0.08365362130760697,94,0.06864595825815024,0.09925084352973546,
"splicebert gain at order 2, dn arm",0.1735310137999413,94,0.1545464919129089,0.19141423802990135,
"kmer gain positive at order 2, dn arm",93.0,94,,,
"cnn gain positive at order 2, dn arm",89.0,94,,,
"splicebert gain positive at order 2, dn arm",94.0,94,,,
"composition AUROC at order 3, dn arm",0.6790751610614085,94,0.6639897665933571,0.6936774509292014,
"kmer gain at order 3, dn arm",0.012445692624459853,94,0.008401343253119215,0.01745279068389024,
"cnn gain at order 3, dn arm",0.04767960827589156,94,0.03899579809375414,0.057492901475064175,
"splicebert gain at order 3, dn arm",0.11879113813383513,94,0.10646637454643942,0.13087495896280307,
"kmer gain positive at order 3, dn arm",75.0,94,,,
"cnn gain positive at order 3, dn arm",90.0,94,,,
"splicebert gain positive at order 3, dn arm",94.0,94,,,
"composition AUROC at order 4, dn arm",0.6861119090239728,94,0.6689387046589214,0.7034219119790356,
"kmer gain at order 4, dn arm",0.14441910586051898,94,0.12571703995835934,0.16423992325833014,
"cnn gain at order 4, dn arm",0.03377554966262969,94,0.027267828692869416,0.04117552612428029,
"splicebert gain at order 4, dn arm",0.09297840678351385,94,0.08251422517387218,0.10340374266133358,
"kmer gain positive at order 4, dn arm",94.0,94,,,
"cnn gain positive at order 4, dn arm",86.0,94,,,
"splicebert gain positive at order 4, dn arm",94.0,94,,,
"composition AUROC at order 1, neg2 arm",0.7959471627807684,94,0.7751299508761348,0.8160519534121695,
"kmer gain at order 1, neg2 arm",0.03626460584449988,94,0.030355668000083744,0.04215407675085043,
"cnn gain at order 1, neg2 arm",0.02850905552199485,94,0.02254858574630488,0.03436847342480202,
"splicebert gain at order 1, neg2 arm",0.07402829233214188,94,0.0647693540586711,0.08312478891719881,
"kmer gain positive at order 1, neg2 arm",92.0,94,,,
"cnn gain positive at order 1, neg2 arm",83.0,94,,,
