dataset,accession,peaks,min_log2fc,min_neglog10p,idr_named
AATF:K562,ENCFF955LYD,1090,3.00278398671321,3.29457259660276,1090
AKAP1:HepG2,ENCFF749IUB,5945,3.00007567262488,3.00612308505879,5945
AQR:HepG2,ENCFF323PUC,11179,3.00100064123892,3.05360300788102,11179
BCCIP:HepG2,ENCFF134LIU,557,3.00155854594821,3.04168357745612,557
BCLAF1:HepG2,ENCFF810EUA,32524,3.00032812193227,3.00908322550399,32524
BUD13:K562,ENCFF262ILV,8856,3.00003260261122,3.04339274072158,8856
CDC40:HepG2,ENCFF027MEO,1173,3.00713386558734,3.04635433157385,1173
CSTF2T:HepG2,ENCFF141DOI,20423,3.00004032994021,3.00470825315028,20423
DDX24:K562,ENCFF537KWB,9602,3.00008728623921,3.1160131078892,9602
DDX55:HepG2,ENCFF797QRS,1686,3.0010259817128,3.02941864945773,1686
DDX55:K562,ENCFF462WAI,1101,3.0001752271123,3.14133133095579,1101
DDX59:HepG2,ENCFF899AWZ,3104,3.00052708631703,3.0552817376532,3104
DDX6:HepG2,ENCFF614NUP,493,3.00754813398994,3.18944873542402,493
DDX6:K562,ENCFF904KTV,1958,3.00028033906204,3.14981145459192,1958
DGCR8:K562,ENCFF023YVD,1257,3.01195308951264,3.02598413724127,1257
DHX30:K562,ENCFF128AKC,964,3.00163827835337,3.15373292504906,964
DROSHA:HepG2,ENCFF854BHP,2190,3.00273143486155,3.01261330157808,2190
DROSHA:K562,ENCFF797BHU,3930,3.0017162249837,3.16683190726002,3930
EFTUD2:HepG2,ENCFF796RMF,7517,3.00094064295725,3.03566488174245,7517
EIF3H:HepG2,ENCFF813JIK,2842,3.00122502186527,3.05921963186394,2842
ELAC2:K562,ENCFF850ZSC,13418,3.0002246780532205,3.00537934328192,0
ELAVL1:K562,ENCFF566LNK,8830,3.00011776439471,3.03647188286365,0
EXOSC5:HepG2,ENCFF862EKD,741,3.00765032805114,3.18914143341292,741
FASTKD2:HepG2,ENCFF498IGK,924,3.00160887769663,3.01632604682393,924
FASTKD2:K562,ENCFF423SOR,612,3.00426578452009,3.06985329593526,612
FKBP4:HepG2,ENCFF957AOZ,1457,3.00353281485626,3.02752939838509,1457
FMR1:K562,ENCFF630KXK,4445,3.0002133878838197,3.0100254303381098,0
FXR1:K562,ENCFF366UJP,1428,3.00000834144449,3.00197627354786,1428
FXR2:K562,ENCFF111LMZ,4750,3.0002214376537997,3.00192100098998,0
G3BP1:HepG2,ENCFF899HHP,6487,3.00016623980924,3.06003819224853,6487
GARS:K562,ENCFF390NMJ,580,3.0041487576394,3.06980637118478,0
GEMIN5:K562,ENCFF050VVI,2655,3.0002318598446,3.00402127837687,2655
GRSF1:HepG2,ENCFF929AWR,1065,3.00137941510039,3.00939882709862,1065
GRWD1:HepG2,ENCFF159MMZ,22116,3.00015053104862,3.01133613844987,22116
GRWD1:K562,ENCFF327DLL,4375,3.00036334467983,3.01586152047804,4375
GTF2F1:HepG2,ENCFF002HYO,4487,3.00247568623834,3.00693759996614,4487
HLTF:HepG2,ENCFF048FDF,3657,3.00075496981213,3.00503356325541,3657
HNRNPC:K562,ENCFF167CDB,516,3.00445835720604,3.0054965410836,516
HNRNPL:K562,ENCFF917CBK,5929,3.00031844973498,3.01103921684876,5929
HNRNPM:HepG2,ENCFF752JNY,13465,3.00025044077453,3.0530739051298,13465
HNRNPUL1:HepG2,ENCFF610JVZ,467,3.00129854095803,3.01824194467523,467
IGF2BP1:K562,ENCFF650LMV,5706,3.00032633157206,3.02320911725294,5706
KHSRP:HepG2,ENCFF771QAU,5301,3.00009010959969,3.0055090323203,5301
KHSRP:K562,ENCFF031FMO,23206,3.00020118813362,3.01610194671564,23206
LARP4:HepG2,ENCFF534JCV,5430,3.00010094711767,3.02072234704632,5430
LARP4:K562,ENCFF947CIN,430,3.00056038685027,3.02043000215718,430
LIN28B:K562,ENCFF061XNA,6916,3.00175817039503,3.0068764859074,6916
LSM11:K562,ENCFF858EHN,1351,3.00039370719125,3.05935205131642,1351
MATR3:HepG2,ENCFF587KKM,7009,3.00178046948635,3.00997112359051,7009
MATR3:K562,ENCFF246EPM,4875,3.00117859736167,3.07961622732944,4875
MBNL1:K562,ENCFF603WDI,1213,3.0011255994541504,3.01536468902255,0
METTL1:K562,ENCFF125IDN,484,3.0030072883556,3.01543218439631,0
MORC2:K562,ENCFF605AFN,904,3.0007904365738796,3.01561600497804,0
MTPAP:K562,ENCFF883KCN,1108,3.00031240969642,3.01818438172761,1108
NCBP2:HepG2,ENCFF692RZM,3235,3.00024464037664,3.0002869897379,3235
NCBP2:K562,ENCFF886MLH,414,3.00377058639839,3.12441685461587,414
NKRF:HepG2,ENCFF045HSV,3858,3.00009614502565,3.01312713614477,3858
NOLC1:K562,ENCFF327YTD,1572,3.00018592467935,3.00850461230075,1572
NONO:K562,ENCFF730QRI,11455,3.00008319946027,3.0542057668882,11455
PCBP1:HepG2,ENCFF098REE,941,3.00455566112851,3.01891274611133,941
PCBP2:HepG2,ENCFF642GNE,8666,3.00047488882869,3.02284363357664,8666
PHF6:K562,ENCFF588ITW,700,3.00955922227368,3.21361958970974,700
PPIL4:K562,ENCFF559HGK,660,3.00198567748412,3.06666494436593,660
PRPF4:HepG2,ENCFF227EJF,9345,3.00011573759775,3.00272705380432,9345
PTBP1:HepG2,ENCFF726SQU,8388,3.00031774051955,3.05773745054279,8388
PTBP1:K562,ENCFF907HNN,7797,3.00001061934713,3.01797163261409,7797
PUM1:K562,ENCFF094MQV,2661,3.00015537324276,3.0460661906048,2661
QKI:HepG2,ENCFF704OCI,10094,3.00091778520914,3.04099048892752,10094
QKI:K562,ENCFF786UOW,2311,3.00734133383232,3.13721051913791,2311
RBFOX2:K562,ENCFF206RIM,3525,3.00218665602507,3.04421063762766,3525
RBM15:HepG2,ENCFF054VLU,1502,3.0032370475886,3.01647136118923,1502
RPS3:HepG2,ENCFF301IJW,5659,3.00009505141138,3.01789097909595,5659
RPS3:K562,ENCFF530HTL,2377,3.00071272375208,3.2012668533444,2377
SAFB2:K562,ENCFF594EDV,3747,3.00043275809055,3.02214379513577,3747
SLTM:K562,ENCFF696QWE,3683,3.00068023983763,3.04193648856469,3683
SMNDC1:K562,ENCFF943XOU,2469,3.00191911191339,3.02367208023127,2469
SND1:K562,ENCFF211TRO,4147,3.0003442738047,3.02623484815865,4147
SRSF1:HepG2,ENCFF934ANS,1792,3.00059855853115,3.02133504234944,1792
SRSF1:K562,ENCFF223KVR,3866,3.0002075906885803,3.00268977673531,0
STAU2:HepG2,ENCFF678FCX,848,3.00191356174781,3.0005284234366,848
SUB1:HepG2,ENCFF335JTC,3299,3.00031622563358,3.22052984765462,3299
TAF15:HepG2,ENCFF566EAE,768,3.00021147208219,3.01209819866761,768
TIA1:HepG2,ENCFF759KCD,1731,3.00085912122136,3.00025052987495,1731
TIA1:K562,ENCFF918KMT,5885,3.00056011359748,3.02062943107592,5885
TRA2A:HepG2,ENCFF766OCH,921,3.00277331020893,3.07003670812877,921
U2AF1:K562,ENCFF640IHY,1230,3.00105353910812,3.02530587742502,1230
U2AF2:HepG2,ENCFF721PWF,10732,3.00230352941897,3.04774279025269,10732
UCHL5:HepG2,ENCFF573DXD,2234,3.00037620514956,3.0634077498049,2234
XPO5:HepG2,ENCFF327VCE,4633,3.00064553468727,3.24555625232093,4633
YBX3:HepG2,ENCFF185OEI,2043,3.00248295078112,3.08165365588784,2043
YBX3:K562,ENCFF746XLE,17982,3.00004181439411,3.04861473086775,17982
YWHAG:K562,ENCFF932UXC,817,3.00239459985894,3.101163352832,817
ZNF622:K562,ENCFF285IGP,14978,3.00031601430501,3.00368511833204,14978
ZNF800:HepG2,ENCFF343TCO,2953,3.00021116946135,3.04407443878342,2953
ZNF800:K562,ENCFF105HMJ,2445,3.00013964257888,3.05864268477539,2445
