dataset,protein,cell,n_pos_gc,n_pos_dn,jaccard
AATF:K562,AATF,K562,1043,1081,0.9648473635522664
AKAP1:HepG2,AKAP1,HepG2,5925,5943,0.9969712266532055
AQR:HepG2,AQR,HepG2,10929,11108,0.9838854879366222
BCCIP:HepG2,BCCIP,HepG2,538,539,0.9981447124304267
BCLAF1:HepG2,BCLAF1,HepG2,32384,32387,0.9999073702411462
BUD13:K562,BUD13,K562,8804,8850,0.9948022598870057
CDC40:HepG2,CDC40,HepG2,1158,1172,0.9880546075085325
CSTF2T:HepG2,CSTF2T,HepG2,19533,18872,0.9661598320790458
DDX24:K562,DDX24,K562,9590,9600,0.9989583333333333
DDX55:HepG2,DDX55,HepG2,1685,1686,0.9994068801897983
DDX55:K562,DDX55,K562,1100,1101,0.9990917347865577
DDX59:HepG2,DDX59,HepG2,3052,3089,0.9880220135966332
DDX6:HepG2,DDX6,HepG2,490,493,0.9939148073022313
DDX6:K562,DDX6,K562,1939,1955,0.9918158567774936
DGCR8:K562,DGCR8,K562,1236,1253,0.9864325618515563
DHX30:K562,DHX30,K562,795,824,0.9648058252427184
DROSHA:HepG2,DROSHA,HepG2,2152,2184,0.9853479853479854
DROSHA:K562,DROSHA,K562,3786,3916,0.966802860061287
EFTUD2:HepG2,EFTUD2,HepG2,7124,7409,0.9615332703468754
EIF3H:HepG2,EIF3H,HepG2,2827,2832,0.9982344632768362
ELAC2:K562,ELAC2,K562,13144,12933,0.9839470480827754
ELAVL1:K562,ELAVL1,K562,8821,8804,0.9980727808638477
EXOSC5:HepG2,EXOSC5,HepG2,713,727,0.9807427785419532
FASTKD2:HepG2,FASTKD2,HepG2,823,868,0.9481566820276498
FASTKD2:K562,FASTKD2,K562,508,542,0.9372693726937269
FKBP4:HepG2,FKBP4,HepG2,1370,1453,0.94287680660702
FMR1:K562,FMR1,K562,4432,4445,0.9970753655793025
FXR1:K562,FXR1,K562,1423,1425,0.9985964912280701
FXR2:K562,FXR2,K562,4712,4745,0.99304531085353
G3BP1:HepG2,G3BP1,HepG2,6478,6482,0.9993829065103363
GARS:K562,GARS,K562,557,566,0.9840989399293286
GEMIN5:K562,GEMIN5,K562,2510,2640,0.9507575757575758
GRSF1:HepG2,GRSF1,HepG2,995,1008,0.9871031746031746
GRWD1:HepG2,GRWD1,HepG2,22072,22078,0.9997282362532838
GRWD1:K562,GRWD1,K562,4373,4375,0.9995428571428572
GTF2F1:HepG2,GTF2F1,HepG2,4251,4470,0.951006711409396
HLTF:HepG2,HLTF,HepG2,3642,3645,0.9991769547325103
HNRNPC:K562,HNRNPC,K562,516,516,1.0
HNRNPL:K562,HNRNPL,K562,5836,5840,0.9993150684931507
HNRNPM:HepG2,HNRNPM,HepG2,13395,13423,0.9979140281606198
HNRNPUL1:HepG2,HNRNPUL1,HepG2,463,467,0.9914346895074947
IGF2BP1:K562,IGF2BP1,K562,5706,5706,1.0
KHSRP:HepG2,KHSRP,HepG2,5280,5289,0.998298355076574
KHSRP:K562,KHSRP,K562,23198,23192,0.9997413570135356
LARP4:HepG2,LARP4,HepG2,5421,5429,0.9985264321237797
LARP4:K562,LARP4,K562,430,430,1.0
LIN28B:K562,LIN28B,K562,6916,6916,1.0
LSM11:K562,LSM11,K562,1319,1339,0.9850634802091113
MATR3:HepG2,MATR3,HepG2,6984,6991,0.998998712630525
MATR3:K562,MATR3,K562,4864,4867,0.9993836038627492
MBNL1:K562,MBNL1,K562,1194,1202,0.9933444259567388
METTL1:K562,METTL1,K562,481,481,1.0
MORC2:K562,MORC2,K562,823,891,0.9236812570145904
MTPAP:K562,MTPAP,K562,1077,1083,0.9944598337950139
NCBP2:HepG2,NCBP2,HepG2,3186,3226,0.9876007439553627
NKRF:HepG2,NKRF,HepG2,3537,3792,0.932753164556962
NOLC1:K562,NOLC1,K562,1567,1570,0.9980891719745223
NONO:K562,NONO,K562,11164,11343,0.9842193423256634
PCBP1:HepG2,PCBP1,HepG2,929,940,0.9882978723404255
PCBP2:HepG2,PCBP2,HepG2,8589,8520,0.9919664687390849
PHF6:K562,PHF6,K562,676,695,0.9726618705035971
PPIL4:K562,PPIL4,K562,658,659,0.9984825493171472
PRPF4:HepG2,PRPF4,HepG2,8867,9155,0.9685417804478427
PTBP1:HepG2,PTBP1,HepG2,8349,8001,0.9583183614804168
PTBP1:K562,PTBP1,K562,7785,7623,0.9791907514450867
PUM1:K562,PUM1,K562,2651,2658,0.9973664409330324
QKI:HepG2,QKI,HepG2,9988,9990,0.9997997997997998
QKI:K562,QKI,K562,2189,2189,1.0
RBFOX2:K562,RBFOX2,K562,3484,3519,0.9900539926115374
RBM15:HepG2,RBM15,HepG2,1493,1500,0.9953333333333333
RPS3:HepG2,RPS3,HepG2,5647,5658,0.9980558501237187
RPS3:K562,RPS3,K562,2369,2372,0.9987352445193929
SAFB2:K562,SAFB2,K562,3744,3744,1.0
SLTM:K562,SLTM,K562,3574,3639,0.9821379499862599
SMNDC1:K562,SMNDC1,K562,2448,2465,0.993103448275862
SND1:K562,SND1,K562,4130,4132,0.9995159728944821
SRSF1:HepG2,SRSF1,HepG2,1787,1791,0.9977666108319375
SRSF1:K562,SRSF1,K562,3861,3864,0.9992236024844721
STAU2:HepG2,STAU2,HepG2,842,848,0.9929245283018868
SUB1:HepG2,SUB1,HepG2,3296,3297,0.9996966939642099
TAF15:HepG2,TAF15,HepG2,768,768,1.0
TIA1:HepG2,TIA1,HepG2,1729,1729,1.0
TIA1:K562,TIA1,K562,5831,5883,0.9911609722930478
TRA2A:HepG2,TRA2A,HepG2,920,921,0.998914223669924
U2AF1:K562,U2AF1,K562,1229,1230,0.9991869918699187
U2AF2:HepG2,U2AF2,HepG2,10699,10702,0.9997196785647543
UCHL5:HepG2,UCHL5,HepG2,2231,2233,0.9991043439319302
XPO5:HepG2,XPO5,HepG2,4557,4618,0.9867908185361628
YBX3:HepG2,YBX3,HepG2,2041,2042,0.9995102840352595
YBX3:K562,YBX3,K562,17979,17979,1.0
YWHAG:K562,YWHAG,K562,790,798,0.9899749373433584
ZNF622:K562,ZNF622,K562,14967,14969,0.9998663905404502
ZNF800:HepG2,ZNF800,HepG2,2936,2938,0.9993192648059904
ZNF800:K562,ZNF800,K562,2430,2436,0.9975369458128078
