arm,dataset,rows,n_pos,n_neg,pos_mismatch,neg_mismatch,auroc_stored,tv_stored,agree_published,none_published,auroc_published,tv_published,agree_reversed,none_reversed,auroc_reversed,tv_reversed,agree_coding_first,none_coding_first,auroc_coding_first,tv_coding_first,agree_majority,none_majority,auroc_majority,tv_majority
gc,HepG2:AGGF1,7516,3758,3758,0,294,0.5,0.0,7222,0,0.5294686219867724,0.05561468866418312,6331,0,0.5358888442636903,0.05295369877594466,7038,0,0.529497264094537,0.05561468866418313,7189,0,0.5292111616559146,0.05614688664183076
gc,HepG2:AKAP1,11850,5925,5925,0,64,0.5,0.0,11786,0,0.5052057469422636,0.0070886075949367295,4744,0,0.582384361480532,0.13029535864978906,10689,0,0.5726167814986916,0.14362869198312236,11736,0,0.51014847335719,0.013164556962025342
gc,HepG2:AQR,21858,10929,10929,0,1633,0.5,0.0,20225,0,0.5597227301002826,0.09781315765394824,12242,0,0.551637930919726,0.09342117302589445,19279,0,0.5716797640810235,0.12343306798426205,18583,0,0.6285163612001472,0.22609570866501966
gc,HepG2:BCCIP,1076,538,538,0,48,0.5,0.0,1028,0,0.5348564834648499,0.06691449814126399,949,0,0.525383148381034,0.05018587360594795,1017,0,0.534891032462238,0.06691449814126399,1028,0,0.5355111869653543,0.06877323420074352
gc,HepG2:BCLAF1,64768,32384,32384,0,4427,0.5,0.0,60341,0,0.5682130065754913,0.13451086956521735,21237,0,0.70676068486829,0.31456892292490113,52409,0,0.6696681636917636,0.33213932806324115,52177,0,0.6876429824031703,0.25515686758893286
gc,HepG2:BUD13,8512,4256,4256,0,621,0.5,0.0,7891,0,0.5634020326014755,0.11066729323308272,3786,0,0.5755825643320002,0.08952067669172929,7247,0,0.6128354783958251,0.19619360902255642,7001,0,0.6563441008978037,0.25493421052631576
gc,HepG2:CDC40,2316,1158,1158,0,133,0.5,0.0,2183,0,0.538627808054504,0.06649395509499136,1747,0,0.5404280055243839,0.045768566493955054,2133,0,0.5416267699953168,0.06649395509499136,2153,0,0.5483454440238515,0.08635578583765113
gc,HepG2:CSTF2,6066,3033,3033,0,196,0.5,0.0,5870,0,0.5228377505642136,0.041213320145070856,5091,0,0.5132489749800225,0.021760633036597418,5821,0,0.5238460025769943,0.041213320145070856,5858,0,0.5255130154735974,0.04451038575667661
gc,HepG2:CSTF2T,39066,19533,19533,0,2749,0.5,0.0,36317,0,0.5596580044201038,0.11314186248912096,34130,0,0.5257072826613649,0.05083704500076797,36075,0,0.5603809047227262,0.11314186248912096,36257,0,0.5612766042868134,0.11918292121025954
gc,HepG2:DDX3X,16726,8363,8363,0,508,0.5,0.0,16218,0,0.5442012040388637,0.05739567140978118,5645,0,0.5663593984704182,0.10618199210809517,15652,0,0.521300577930133,0.03503527442305395,13976,0,0.6539089012432969,0.26318306827693416
