dataset,protein,cell,region_auroc_dn,region_tv_dn,region_auroc_gc,region_tv_gc,region_auroc_neg2,region_tv_neg2,region_auroc_built,region_tv_built,retained_built,comp_built,full_built,gain_built,region_auroc_matched,region_tv_matched,retained,comp_matched,full_matched,gain_matched
AATF:K562,AATF,K562,0.5,0.0,0.5,0.0,0.8049628211268292,0.4189837008628955,0.5,0.0,1.0,0.7400071149580502,0.7597515831700907,0.019744468212040567,0.5371541448222871,0.06731808816629607,0.5675934803451582,0.767405805675119,0.7718120805369124,0.004406274861793458
AKAP1:HepG2,AKAP1,HepG2,0.5,0.0,0.5,0.0,0.8952183588812335,0.7834599156118144,0.5,0.0,1.0,0.8211154480229309,0.8436536594918905,0.022538211468959624,0.5007475584424528,0.0014695632547979862,0.5930801687763713,0.8133065555772329,0.83254109429213,0.01923453871489711
AQR:HepG2,AQR,HepG2,0.5,0.0,0.5,0.0,0.6260844028577605,0.17567938512215203,0.5,0.0,1.0,0.6582319684911573,0.6936668499590528,0.03543488146789553,0.5023309257876682,0.0036369536368203934,0.6319425382011163,0.6518030449722828,0.6884188436547128,0.036615798682430034
BCCIP:HepG2,BCCIP,HepG2,0.5,0.0,0.5,0.0,0.7512213070576692,0.47769516728624534,0.5,0.0,1.0,0.8310899517695997,0.8291310236176946,-0.001958928151905015,0.5156492239985331,0.020746161668361456,0.7072490706319703,0.8238451664527314,0.8221698034574156,-0.0016753629953157878
BCLAF1:HepG2,BCLAF1,HepG2,0.5,0.0,0.5,0.0,0.8559371475524622,0.6071208003952568,0.5,0.0,1.0,0.89324200449656,0.8973406903564098,0.004098685859849849,0.5009634809355095,0.0018831897924942343,0.6107182559288538,0.8906449073604545,0.893955575039286,0.0033106676788314804
BUD13:K562,BUD13,K562,0.5,0.0,0.5,0.0,0.6557694774854518,0.2406860517946388,0.5,0.0,1.0,0.683889053053205,0.6928453848060885,0.008956331752883462,0.5028800455916019,0.004182979614584206,0.7225124943207633,0.6809398438085247,0.6891073341529526,0.008167490344427875
CDC40:HepG2,CDC40,HepG2,0.5,0.0,0.5,0.0,0.6629458359806826,0.27892918825561314,0.5,0.0,1.0,0.7544840875668549,0.7522431623816895,-0.0022409251851653877,0.5008256159489576,0.0012171764541615872,0.7456822107081175,0.7575345043724258,0.7552610251600389,-0.002273479212386853
CSTF2T:HepG2,CSTF2T,HepG2,0.5,0.0,0.5,0.0,0.778041233780987,0.49265345825014084,0.5,0.0,1.0,0.8759865020973044,0.8831467492096183,0.007160247112313889,0.5005914057923011,0.0011126247387908163,0.7043208928480008,0.8707369989531175,0.8781491961582581,0.007412197205140636
DDX24:K562,DDX24,K562,0.5,0.0,0.5,0.0,0.7670180040688022,0.44129301355578726,0.5,0.0,1.0,0.6562234187723787,0.6725256909732832,0.016302272200904522,0.5023742288975506,0.004536908529130031,0.6921793534932221,0.6507129249868596,0.662722546829109,0.012009621842249407
DDX55:HepG2,DDX55,HepG2,0.5,0.0,0.5,0.0,0.8728475200098618,0.6943620178041543,0.5,0.0,1.0,0.7264778240540993,0.7370046403508,0.010526816296700714,0.5028624358575011,0.00543141465973735,0.6074183976261127,0.7024099545879302,0.7037493647228555,0.001339410134925334
DDX55:K562,DDX55,K562,0.5,0.0,0.5,0.0,0.8292338842975207,0.5445454545454546,0.5,0.0,1.0,0.7399446280991736,0.7463132231404959,0.006368595041322256,0.5034067952249771,0.005521885521885556,0.635,0.7178696051423326,0.7200704009794919,0.002200795837159375
DDX59:HepG2,DDX59,HepG2,0.5,0.0,0.5,0.0,0.6527959449919182,0.27326343381389256,0.5,0.0,1.0,0.8879588658963291,0.8909170919440917,0.0029582260477626354,0.5068491444324332,0.010854834132139446,0.7693315858453473,0.8813384307047669,0.8846062013501576,0.003267770645390633
DDX6:HepG2,DDX6,HepG2,0.5,0.0,0.5,0.0,0.6732694710537276,0.263265306122449,0.5,0.0,1.0,0.6980008329862557,0.7419783423573512,0.04397750937109546,0.5059565698200461,0.008937368050668549,0.7071428571428572,0.6778124057504775,0.6754398311048556,-0.0023725746456219055
DDX6:K562,DDX6,K562,0.5,0.0,0.5,0.0,0.7428150918645293,0.44559051057246,0.5,0.0,1.0,0.7576509001598789,0.7813351043867349,0.02368420422685602,0.5015408902834152,0.0025778614143593705,0.6689014956162971,0.7528756855072064,0.77163565070529,0.01875996519808365
DGCR8:K562,DGCR8,K562,0.5,0.0,0.5,0.0,0.7583364098616479,0.3567961165048543,0.5,0.0,1.0,0.6858596212859103,0.6861790565662278,0.000319435280317526,0.5245550161812298,0.039279935275080904,0.5970873786407767,0.6573523462783172,0.6510854908306366,-0.006266855447680575
DHX30:K562,DHX30,K562,0.5,0.0,0.5,0.0,0.6830054190894347,0.32578616352201256,0.5,0.0,1.0,0.791088960088604,0.7901570349274158,-0.0009319251611881185,0.5015683715042918,0.0018867924528301883,0.7,0.7674617301530793,0.7692061231755074,0.0017443930224281257
DROSHA:HepG2,DROSHA,HepG2,0.5,0.0,0.5,0.0,0.7271105334710687,0.40985130111524165,0.5,0.0,1.0,0.6476939407968381,0.6593471016846092,0.01165316088777113,0.5072421086598093,0.011929284044043907,0.6953996282527881,0.6236286019917872,0.6246994196146383,0.0010708176228511057
DROSHA:K562,DROSHA,K562,0.5,0.0,0.5,0.0,0.7220530416367025,0.3808769149498151,0.5,0.0,1.0,0.8297339378905629,0.8400081178774974,0.010274179986934473,0.5022439739890469,0.0029963548401310686,0.6377443211833069,0.8215039108103276,0.8284862887390038,0.006982377928676176
EFTUD2:HepG2,EFTUD2,HepG2,0.5,0.0,0.5,0.0,0.7278302464153878,0.357243121841662,0.5,0.0,1.0,0.7882640856870561,0.7912623098140236,0.002998224126967486,0.5007541673888197,0.0009398638864639396,0.5986805165637282,0.7741641061848517,0.7752513292275108,0.00108722304265918
EIF3H:HepG2,EIF3H,HepG2,0.5,0.0,0.5,0.0,0.7823908345532099,0.4740007074637425,0.5,0.0,1.0,0.7105718782036228,0.7121895101920951,0.0016176319884723123,0.5078579244015982,0.015060801992239027,0.6897771489211177,0.6916061371985162,0.6912768006287395,-0.0003293365697766282
ELAC2:K562,ELAC2,K562,0.5,0.0,0.5,0.0,0.7687651981246914,0.48044735240413877,0.5,0.0,1.0,0.9440410397177351,0.9489793333750703,0.004938293657335224,0.5005270836051972,0.0009921435391838348,0.7091828971393792,0.9438820946474304,0.9481622398672166,0.004280145219786147
ELAVL1:K562,ELAVL1,K562,0.5,0.0,0.5,0.0,0.6884474395791669,0.3271737898197483,0.5,0.0,1.0,0.9468992054637267,0.9601206867375895,0.0132214812738628,0.5004897643168531,0.000678722705703798,0.7793334089105544,0.9442642456313666,0.9578279796810151,0.013563734049648501
EXOSC5:HepG2,EXOSC5,HepG2,0.5,0.0,0.5,0.0,0.7481888156044133,0.44460028050490885,0.5,0.0,1.0,0.826608231422451,0.8276783202752331,0.0010700888527821473,0.5055294219861238,0.009176399525044822,0.7377279102384292,0.8276963430930838,0.8269930122007223,-0.00070333089236152
FASTKD2:HepG2,FASTKD2,HepG2,0.5,0.0,0.5,0.0,0.5836240586184853,0.12150668286755772,0.5,0.0,1.0,0.7203943726017932,0.7204253767371543,3.100413536116786e-05,0.5061324018613587,0.009967828073988279,0.81044957472661,0.7446742741105165,0.7459630534082505,0.0012887792977340773
FASTKD2:K562,FASTKD2,K562,0.5,0.0,0.5,0.0,0.6920124465248931,0.33858267716535434,0.5,0.0,1.0,0.9045236840473679,0.9062248124496249,0.0017011284022570017,0.5229730899022238,0.04073288915808599,0.6791338582677166,0.8876330362550834,0.8838690836722332,-0.0037639525828502274
FKBP4:HepG2,FKBP4,HepG2,0.5,0.0,0.5,0.0,0.7147429271671373,0.4145985401459854,0.5,0.0,1.0,0.8612568597154883,0.8610682508391496,-0.0001886088763386473,0.5068151946863191,0.013023681554674118,0.727007299270073,0.8559743704086181,0.8558816626375947,-9.270777102343697e-05
FMR1:K562,FMR1,K562,0.5,0.0,0.5,0.0,0.8042024324245071,0.4887184115523466,0.5,0.0,1.0,0.7854056056868981,0.7879209519054073,0.00251534621850924,0.5003968835776125,0.0006585683589149648,0.6694494584837545,0.7829706300143733,0.7840134633965784,0.0010428333822051217
FXR1:K562,FXR1,K562,0.5,0.0,0.5,0.0,0.817246678772441,0.5291637385804637,0.5,0.0,1.0,0.6863267798525281,0.690644462102128,0.004317682249599941,0.5160112376866269,0.02825911405358089,0.6602248770203795,0.6656526241816769,0.6678625587158339,0.0022099345341569654
