dataset,protein,cell,pairs,auroc_gc,auroc_dn,cost,composition_auroc_gc,composition_auroc_dn,delta_auroc_gc,delta_auroc_dn,delta_p_gc,delta_p_dn,helps_gc,helps_dn,contrast,total_gain,dominant,dominant_frac,frac_exon_nc,frac_intron,frac_utr5,frac_utr3,frac_cds
AATF:K562,AATF,K562,1043,0.8514472137217574,0.6765842775858514,-0.1748629361359059,0.843218130457444,0.6370929716120938,0.0164462163406869,0.0473043341340333,5.7781403660421855e-06,4.2752781470820314e-09,True,True,0.030858117793346403,0.0637505504747202,exon_nc,0.47555129434324067,0.47555129434324067,0.40076701821668265,0.05560882070949185,0.04697986577181208,0.02109300095877277
AKAP1:HepG2,AKAP1,HepG2,5925,0.7188831134611618,0.6153589788956157,-0.1035241345655461,0.7162465559294272,0.5841359480774917,0.008565037654222,0.0325077127206188,3.260897237964455e-08,2.40109441455866e-16,True,True,0.0239426750663968,0.0410727503748408,utr3,0.9632067510548523,0.0060759493670886075,0.012658227848101266,0.006413502109704641,0.9632067510548523,0.011645569620253165
AQR:HepG2,AQR,HepG2,10929,0.7489207345281841,0.7327253288286233,-0.0161954056995607,0.6394277921976217,0.5986089382595707,0.1041354012411657,0.1337387944568157,2.9034046767785243e-200,2.0085975399962792e-252,True,True,0.02960339321564999,0.2378741956979814,intron,0.42318601884893403,0.20660627687803093,0.42318601884893403,0.07777472778845274,0.11766858815994144,0.17476438832464086
BCCIP:HepG2,BCCIP,HepG2,538,0.8613617832810492,0.6670085811352708,-0.1943532021457783,0.9123388289271844,0.6880432051383549,0.0004422271665676,0.0129698025271838,0.7626146624796225,0.0756172343368936,False,False,0.012527575360616201,0.0134120296937514,intron,0.8438661710037175,0.07992565055762081,0.8438661710037175,0.020446096654275093,0.05018587360594796,0.0055762081784386614
BCLAF1:HepG2,BCLAF1,HepG2,32384,0.7750544896747308,0.7064597425081852,-0.0685947471665455,0.7064200211804931,0.5665554522606242,0.0695404270618317,0.1403477282498013,0.0,0.0,True,True,0.0708073011879696,0.209888155311633,cds,0.5937808794466403,0.01871294466403162,0.006484683794466403,0.04662796442687747,0.3343935276679842,0.5937808794466403
BUD13:K562,BUD13,K562,8804,0.7337777286603648,0.6804350218647259,-0.0533427067956389,0.6641432165710477,0.5682500047878961,0.0697152109208134,0.1119293944907274,1.202008247860114e-101,4.481381612117645e-126,True,True,0.04221418356991401,0.18164460541154082,cds,0.35256701499318494,0.16549295774647887,0.19320763289413903,0.06724216265333939,0.22149023171285778,0.35256701499318494
CDC40:HepG2,CDC40,HepG2,1158,0.7924209747614402,0.6236487903178838,-0.1687721844435564,0.8092901822867729,0.6697639168773077,0.0074908796955025,0.0053553332013187,0.0027497787674895,0.1134775219779982,True,False,-0.0021355464941838,0.0128462128968212,intron,0.6260794473229706,0.12694300518134716,0.6260794473229706,0.037132987910189985,0.1692573402417962,0.04058721934369603
CSTF2T:HepG2,CSTF2T,HepG2,19533,0.7892049881289833,0.7425992712400209,-0.0466057168889624,0.7687594304640972,0.7190416786717082,0.020681667774459,0.0237559455305635,4.365542257055459e-72,1.3741212176625296e-53,True,True,0.0030742777561044987,0.0444376133050225,intron,0.8338196897557979,0.06266318537859007,0.8338196897557979,0.059540265192238775,0.028259867915834742,0.015716991757538525
DDX24:K562,DDX24,K562,9590,0.7415743393633227,0.7068258138020834,-0.0347485255612393,0.645736282471857,0.5573174913194445,0.0946368904000409,0.1487126519097221,2.310158964192632e-159,3.497933174841387e-213,True,True,0.0540757615096812,0.24334954230976302,cds,0.5285714285714286,0.05453597497393118,0.02940563086548488,0.05995828988529719,0.3275286757038582,0.5285714285714286
DDX55:HepG2,DDX55,HepG2,1685,0.7711269800737877,0.6387742049872721,-0.1323527750865155,0.7710354057885513,0.5968825679062378,0.0125868855057278,0.044452676356401,3.830641493469533e-06,3.4776879927026413e-08,True,True,0.031865790850673203,0.0570395618621288,utr3,0.8836795252225519,0.010089020771513354,0.002967359050445104,0.02314540059347181,0.8836795252225519,0.08011869436201781
