dataset,protein,cell,n,coverage,comp_kmer,full_kmer,gain_kmer,published_neg2_kmer,published_gc_kmer,published_dn_kmer,comp_cnn,full_cnn,gain_cnn,published_neg2_cnn,published_gc_cnn,published_dn_cnn,comp_splicebert,full_splicebert,gain_splicebert,published_neg2_splicebert,published_gc_splicebert,published_dn_splicebert
AATF:K562,AATF,K562,2086,1.0,0.7400071149580502,0.7597515831700907,0.019744468212040567,0.0508508074190443,0.0164462163406869,0.0480770794164786,0.7400071149580502,0.7481304850213586,0.008123370063308433,0.0067206018482344,0.0063611769648177,-0.0144665105202039,0.7400071149580502,0.7688833652464635,0.02887625028841334,0.0907120381597078,0.0268318489055006,0.1013366011701569
AKAP1:HepG2,AKAP1,HepG2,11850,1.0,0.8211154480229309,0.8436536594918905,0.022538211468959624,0.0139551425163346,0.0085749221100608,0.0313997050163779,0.8211154480229309,0.840419790275775,0.019304342252844053,0.0172650394345635,0.0419627054068971,0.0860978952298787,0.8211154480229309,0.8982324057754278,0.07711695775249694,0.0754617529242108,0.0722877601523972,0.1545380537394778
AQR:HepG2,AQR,HepG2,21858,1.0,0.6582319684911573,0.6936668499590528,0.03543488146789553,0.0357494665595462,0.1041183638316776,0.1347963926118254,0.6582319684911573,0.7652123073457248,0.10698033885456748,0.091576687167568,0.1770883998172818,0.2202863164667743,0.6582319684911573,0.8956313913675389,0.2373994228763816,0.2296500053108996,0.2878954664257082,0.3341454782708262
BCCIP:HepG2,BCCIP,HepG2,1076,1.0,0.8310899517695997,0.8291310236176946,-0.001958928151905015,-0.002159312336756,0.0004422271665676,0.0133036854478677,0.8310899517695997,0.8295697958845235,-0.0015201558850761465,0.00037658407153,-0.0004802310636945,0.0352229270861659,0.8310899517695997,0.8483091720678266,0.017219220298226978,0.0276633822086482,0.0101124915354957,0.0364620801938585
BCLAF1:HepG2,BCLAF1,HepG2,64768,1.0,0.89324200449656,0.8973406903564098,0.004098685859849849,0.0100750058936415,0.0695365757128636,0.1403414503506233,0.89324200449656,0.8957448769029916,0.0025028724064316554,0.0059812984673053,0.1356249821497269,0.2454967191999204,0.89324200449656,0.9165179490368908,0.023275944540330773,0.0419006056826481,0.2233241810889752,0.3453936635522856
BUD13:K562,BUD13,K562,17608,1.0,0.683889053053205,0.6928453848060885,0.008956331752883462,0.0071377890682459,0.0697501223577486,0.1119958504899615,0.683889053053205,0.7411039698200046,0.05721491676679957,0.0459510499853333,0.1293999118776502,0.1846087522742506,0.683889053053205,0.8098779653046889,0.1259889122514839,0.1189158370663368,0.2424807267193612,0.3285154840563057
CDC40:HepG2,CDC40,HepG2,2316,1.0,0.7544840875668549,0.7522431623816895,-0.0022409251851653877,-0.0017748425759379,0.0075080315355221,0.0047838355717595,0.7544840875668549,0.7565423083692031,0.0020582208023481874,0.0006316351520248,0.0019113115639196,0.0462286980628777,0.7544840875668549,0.7693099889333346,0.014825901366479655,0.0188215343588642,0.0464255565399219,0.1152859963424152
CSTF2T:HepG2,CSTF2T,HepG2,39066,1.0,0.8759865020973044,0.8831467492096183,0.007160247112313889,0.0145923766473546,0.0207782269413213,0.0228822643512053,0.8759865020973044,0.8882125606075466,0.012226058510242166,0.0203365659254008,0.0688875888352001,0.086438607132839,0.8759865020973044,0.9216114514847298,0.04562494938742534,0.051627166639187,0.119318873560747,0.1516146470607366
DDX24:K562,DDX24,K562,19180,1.0,0.6562234187723787,0.6725256909732832,0.016302272200904522,0.0359792145319952,0.0946443821281509,0.1511693467881943,0.6562234187723787,0.6624435537974579,0.006220135025079232,0.0404751647582151,0.1385228030153935,0.1889353841145833,0.6562234187723787,0.7406746034766403,0.0844511847042616,0.1380207050053226,0.2766036049456278,0.3518490451388889
DDX55:HepG2,DDX55,HepG2,3370,1.0,0.7264778240540993,0.7370046403508,0.010526816296700714,0.0106972853507556,0.0125837156266235,0.0426877403612753,0.7264778240540993,0.7277281652563641,0.0012503412022647487,0.0024552474707005,0.0063975204501228,0.0679452866323598,0.7264778240540993,0.7927423856862347,0.06626456163213534,0.0832311634336834,0.0529961521189762,0.1252418563876119
DDX55:K562,DDX55,K562,2200,1.0,0.7399446280991736,0.7463132231404959,0.006368595041322256,-0.001384297520661,0.0106603305785123,0.0296007015338215,0.7399446280991736,0.7468669421487603,0.006922314049586653,0.0016528925619834,0.0237834710743801,0.0159470252870604,0.7399446280991736,0.7838520661157025,0.043907438016528855,0.0325669421487603,0.1154826446280993,0.1472610565409532
