dataset,n_test,n_train,mean_shared,frac_any,frac_gt50,frac_gt90
AKAP1:HepG2,2374,9512,0.0049765314718979,0.035804549283909,0.0008424599831508,0.0
AQR:HepG2,4096,18120,0.0090924944196428,0.042236328125,0.003662109375,0.0
BCCIP:HepG2,164,914,0.0017421602787456,0.0304878048780487,0.0,0.0
BCLAF1:HepG2,12328,52446,0.0013685454714007,0.0052725502920181,0.0008111615833874,0.0001622323166774
CDC40:HepG2,368,1976,0.0040078175198115,0.0380434782608695,0.0,0.0
CSTF2T:HepG2,7454,30290,0.0248474931246439,0.0845183793936141,0.0147571773544405,0.0017440300509793
DDX55:HepG2,666,2706,0.0020632239382239,0.018018018018018,0.0,0.0
DDX59:HepG2,1214,4964,0.0056526318632349,0.0378912685337726,0.0016474464579901,0.0
DDX6:HepG2,206,780,6.934812760055478e-05,0.0048543689320388,0.0,0.0
DROSHA:HepG2,830,3538,0.0054216867469879,0.0277108433734939,0.0036144578313253,0.0
EFTUD2:HepG2,3022,11796,0.0120532787271768,0.0519523494374586,0.0043017868960953,0.000330906684315
EIF3H:HepG2,1142,4522,0.0002752064048036,0.0052539404553415,0.0,0.0
EXOSC5:HepG2,334,1120,0.003513433619266,0.0329341317365269,0.0,0.0
FASTKD2:HepG2,382,1354,0.0024308152580403,0.0078534031413612,0.0026178010471204,0.0
FKBP4:HepG2,596,2310,0.0078859060402684,0.0268456375838926,0.0016778523489932,0.0
G3BP1:HepG2,2088,10876,0.0016830870279146,0.0095785440613026,0.0009578544061302,0.0
GRSF1:HepG2,390,1626,0.0034798534798534,0.0076923076923076,0.0025641025641025,0.0
GRWD1:HepG2,8590,35566,0.0019324796274738,0.0100116414435389,0.0009313154831199,0.0
GTF2F1:HepG2,1740,7200,0.0090444584879824,0.0448275862068965,0.0017241379310344,0.0
HLTF:HepG2,1468,5822,0.0013721292331646,0.0136239782016348,0.0,0.0
HNRNPM:HepG2,5104,21742,0.0178013116685223,0.0675940438871473,0.0101880877742946,0.0019592476489028
HNRNPUL1:HepG2,128,806,0.0012276785714285,0.0234375,0.0,0.0
KHSRP:HepG2,1896,8682,0.0040936924717121,0.0195147679324894,0.0026371308016877,0.0010548523206751
LARP4:HepG2,1774,9084,0.0029649500724754,0.0214205186020293,0.0005636978579481,0.0
MATR3:HepG2,2504,11478,0.0170433033736254,0.0714856230031948,0.0119808306709265,0.001996805111821
NCBP2:HepG2,1284,5168,0.0023050936602338,0.0155763239875389,0.0007788161993769,0.0
NKRF:HepG2,1562,6022,0.0141668190963965,0.0653008962868117,0.0051216389244558,0.0
PCBP1:HepG2,322,1558,0.0005323868677905,0.0093167701863354,0.0,0.0
PCBP2:HepG2,3204,13836,0.0062773150392105,0.0411985018726591,0.0012484394506866,0.0
PRPF4:HepG2,3562,14748,0.0122367899740162,0.0547445255474452,0.0061763054463784,0.0008422234699606
PTBP1:HepG2,2962,13040,0.0120947222265348,0.0735989196488858,0.0033760972316002,0.00067521944632
QKI:HepG2,3736,16244,0.0026766595289079,0.0152569593147751,0.0013383297644539,0.0002676659528907
RBM15:HepG2,528,2472,0.0,0.0,0.0,0.0
RPS3:HepG2,1900,9416,0.0016240601503759,0.0084210526315789,0.0005263157894736,0.0
SRSF1:HepG2,650,2932,0.0012747252747252,0.0123076923076923,0.0,0.0
STAU2:HepG2,384,1312,0.0043429205698672,0.0416666666666666,0.0026041666666666,0.0
SUB1:HepG2,1240,5354,0.0006231314405144,0.0040322580645161,0.0008064516129032,0.0
TAF15:HepG2,294,1242,0.0012147716229348,0.0068027210884353,0.0,0.0
TIA1:HepG2,560,2898,0.0007653061224489,0.0071428571428571,0.0,0.0
TRA2A:HepG2,332,1510,0.0003872633390705,0.003012048192771,0.0,0.0
U2AF2:HepG2,4042,17362,0.0022414932140554,0.0158337456704601,0.0007422068283028,0.0
UCHL5:HepG2,956,3510,0.000866706515242,0.002092050209205,0.0010460251046025,0.0
XPO5:HepG2,1656,7580,0.012955478655549,0.0730676328502415,0.002415458937198,0.0
YBX3:HepG2,490,3594,0.0029585198638393,0.0183673469387755,0.0,0.0
ZNF800:HepG2,1092,4784,0.0004971219256933,0.0027472527472527,0.0,0.0
AATF:K562,486,1676,0.0031596413184094,0.0267489711934156,0.0,0.0
BUD13:K562,3848,13852,0.0038094788094788,0.020010395010395,0.0015592515592515,0.0
DDX24:K562,4032,15168,0.0014990417808914,0.0101686507936507,0.0,0.0
DDX55:K562,346,1856,0.0011147811725846,0.0115606936416184,0.0,0.0
DDX6:K562,710,3200,0.0014749100664593,0.0169014084507042,0.0,0.0
DGCR8:K562,414,2092,0.0028295376121463,0.0169082125603864,0.0,0.0
DHX30:K562,320,1328,0.0027678571428571,0.025,0.003125,0.0
DROSHA:K562,1342,6490,0.0059446002953827,0.0342771982116244,0.0022354694485842,0.0
ELAC2:K562,5034,20832,0.025616263240851,0.1233611442193087,0.0081446166070719,0.0009932459276916
ELAVL1:K562,3834,13774,0.0174366880069952,0.0970266040688575,0.0062597809076682,0.0010432968179447
FASTKD2:K562,216,868,0.0038359788359788,0.0046296296296296,0.0046296296296296,0.0
FMR1:K562,1668,7222,0.0005652620760534,0.0041966426858513,0.0,0.0
FXR1:K562,776,2074,0.0002025036818851,0.0025773195876288,0.0,0.0
FXR2:K562,1880,7610,0.0014668957314655,0.0069148936170212,0.000531914893617,0.0
GARS:K562,260,872,0.0279670329670329,0.1384615384615384,0.0115384615384615,0.0
GEMIN5:K562,970,4310,0.0047938144329896,0.0237113402061855,0.0030927835051546,0.0
GRWD1:K562,1756,6994,0.0004555808656036,0.0028473804100227,0.0,0.0
HNRNPC:K562,226,806,0.0326801517067003,0.243362831858407,0.0044247787610619,0.0
HNRNPL:K562,2682,8998,0.0121393935061313,0.0831469052945563,0.0022371364653243,0.000372856077554
IGF2BP1:K562,2394,9018,0.0016376514354816,0.0129490392648287,0.0,0.0
KHSRP:K562,9950,36434,0.0071606925557056,0.0201005025125628,0.0057286432160804,0.0020100502512562
LARP4:K562,134,726,0.0,0.0,0.0,0.0
LIN28B:K562,2902,10930,0.003012700600571,0.0172294968986905,0.0010337698139214,0.0
LSM11:K562,382,2296,0.0061705310396409,0.0235602094240837,0.0026178010471204,0.0
MATR3:K562,2148,7586,0.0092925350920962,0.0451582867783985,0.0037243947858473,0.0004655493482309
MBNL1:K562,460,1944,0.0146330802852541,0.0739130434782608,0.0021739130434782,0.0
METTL1:K562,172,790,0.0534883720930232,0.1744186046511628,0.0406976744186046,0.0
MORC2:K562,346,1436,0.0139966969446738,0.0549132947976878,0.0057803468208092,0.0
MTPAP:K562,366,1800,0.0017174082747853,0.0109289617486338,0.0,0.0
NOLC1:K562,504,2636,0.0018707482993197,0.0099206349206349,0.0019841269841269,0.0
