check,value,n,ci_low,ci_high,note
max |probability-scale gain - published gain|,0.0,94,,,
"cnn gain, probability scale, gc arm",0.03300453940390074,94,0.025145241638451662,0.041781994918521866,
"cnn gain, logit scale, gc arm",0.03379803103932121,94,0.02577752150291098,0.042742861560636745,
"cnn logit minus probability scale, gc arm",0.0007934916354204785,94,0.0005619840211835605,0.001068013641881823,
"splicebert gain, probability scale, gc arm",0.08902656237648787,94,0.0742555187640919,0.1042822812536773,
"splicebert gain, logit scale, gc arm",0.0920047165800818,94,0.07680521889767197,0.10757433879978814,
"splicebert logit minus probability scale, gc arm",0.002978154203593941,94,0.00228588924015375,0.003677733483855797,
"kmer gain, logit scale (as published), gc arm",0.026513098340627504,94,0.020246835224857606,0.033118096980725924,
"kmer gain, probability scale, gc arm",0.02609289077784721,94,0.019813687375675716,0.03261422260548555,
"kmer probability minus logit scale, gc arm",-0.00042020756278029814,94,-0.0005774775301128033,-0.00027221827210984314,
"cnn gain, probability scale, dn arm",0.08365362130760695,94,0.0686459582581502,0.09925084352973543,
"cnn gain, logit scale, dn arm",0.08409959283293657,94,0.0690395757575886,0.09981753587627389,
"cnn logit minus probability scale, dn arm",0.00044597152532961784,94,0.0002601526052238362,0.0006536660307700712,
"splicebert gain, probability scale, dn arm",0.1735310137999413,94,0.15454649191290887,0.19141423802990135,
"splicebert gain, logit scale, dn arm",0.1767959017686806,94,0.15749079492767207,0.1951885946060714,
"splicebert logit minus probability scale, dn arm",0.003264887968739331,94,0.0022925746794277796,0.004176258676042939,
"kmer gain, logit scale (as published), dn arm",0.06626403675115053,94,0.05374508159518835,0.08009965562803281,
"kmer gain, probability scale, dn arm",0.06597657022435764,94,0.05346971349034896,0.07983542393705646,
"kmer probability minus logit scale, dn arm",-0.0002874665267929118,94,-0.0005161728436779701,-8.162397157055132e-05,
"cnn R1 contrast, probability scale",0.0506490819037062,94,0.04145502189054924,0.060469510292688246,
"cnn R1 contrast, logit scale",0.05030156179361534,94,0.041165170408677565,0.060090246089755085,
"splicebert R1 contrast, probability scale",0.08450445142345342,94,0.07563629974806238,0.09364522231556954,
"splicebert R1 contrast, logit scale",0.08479118518859881,94,0.07575900528094763,0.09412009175543008,
"kmer R1 contrast, logit scale (as published)",0.03975093841052303,94,0.03237834794987913,0.047806761224369096,
