dataset,protein,cell,pairs,dropped_failed,dropped_similar,dinuc_violations,tied_composition_rows,comp_auroc,full_auroc,kmer_gain,kmer_alone
AATF:K562,AATF,K562,1043,0,0,0,1043,0.5,0.6975182217384951,0.1975182217384951,0.7011860101907526
AKAP1:HepG2,AKAP1,HepG2,5925,0,0,0,5925,0.5,0.75381161850843,0.25381161850843004,0.7525485730563122
AQR:HepG2,AQR,HepG2,10929,0,0,0,10929,0.5,0.7916859551491158,0.29168595514911577,0.7899289838074367
BCCIP:HepG2,BCCIP,HepG2,538,0,0,0,538,0.5,0.5946607979436436,0.09466079794364357,0.6010869114578294
BCLAF1:HepG2,BCLAF1,HepG2,32384,0,0,0,32384,0.5,0.8217707833932533,0.32177078339325327,0.8205771055053048
BUD13:K562,BUD13,K562,8804,0,0,0,8804,0.5,0.7885688679570498,0.28856886795704983,0.7876235627480054
CDC40:HepG2,CDC40,HepG2,1158,0,0,0,1158,0.5,0.7017928892945673,0.2017928892945673,0.7055215501683864
CSTF2T:HepG2,CSTF2T,HepG2,19533,0,0,0,19533,0.5,0.7730935560669541,0.27309355606695407,0.7712998557268551
DDX24:K562,DDX24,K562,9590,0,0,0,9590,0.5,0.822786564036878,0.322786564036878,0.8222285770827058
DDX55:HepG2,DDX55,HepG2,1685,0,0,0,1685,0.5,0.731794767938434,0.231794767938434,0.7312886439081088
DDX55:K562,DDX55,K562,1100,0,0,0,1100,0.5,0.7237603305785125,0.22376033057851252,0.7244347107438017
DDX59:HepG2,DDX59,HepG2,3052,0,0,0,3052,0.5,0.734275077340085,0.23427507734008501,0.7324142559978288
DDX6:HepG2,DDX6,HepG2,490,0,0,0,490,0.5,0.659283631820075,0.159283631820075,0.6666513952519785
DDX6:K562,DDX6,K562,1939,0,0,0,1939,0.5,0.7449927800493706,0.24499278004937064,0.744456304071499
DGCR8:K562,DGCR8,K562,1236,0,0,0,1236,0.5,0.6652115342319413,0.16521153423194135,0.6672498978854432
DHX30:K562,DHX30,K562,795,0,0,0,795,0.5,0.6736632253470987,0.17366322534709866,0.6775317432063606
DROSHA:HepG2,DROSHA,HepG2,2152,0,0,0,2152,0.5,0.7037257206920856,0.2037257206920856,0.7051618793272618
DROSHA:K562,DROSHA,K562,3786,0,0,0,3786,0.5,0.7189013991827427,0.21890139918274265,0.7191600885069106
EFTUD2:HepG2,EFTUD2,HepG2,7124,0,0,0,7124,0.5,0.7556656591931616,0.25566565919316164,0.7554047401591634
EIF3H:HepG2,EIF3H,HepG2,2827,0,0,0,2827,0.5,0.7681085505138997,0.2681085505138997,0.7677476864471644
ELAC2:K562,ELAC2,K562,13144,0,0,0,13144,0.5,0.8371839233441712,0.33718392334417124,0.8379103505243107
ELAVL1:K562,ELAVL1,K562,8821,0,0,0,8821,0.5,0.7943730552718767,0.29437305527187674,0.7918910748292756
EXOSC5:HepG2,EXOSC5,HepG2,713,0,0,0,713,0.5,0.6232992176942339,0.12329921769423391,0.6275126925520635
FASTKD2:HepG2,FASTKD2,HepG2,823,0,0,0,823,0.5,0.6425547998092507,0.14255479980925068,0.6445390644723613
FASTKD2:K562,FASTKD2,K562,508,0,0,0,508,0.5,0.620516616033232,0.12051661603323205,0.6255812511625024
FKBP4:HepG2,FKBP4,HepG2,1370,0,0,0,1370,0.5,0.7572694336405774,0.2572694336405774,0.758839043102989
FMR1:K562,FMR1,K562,4432,0,0,0,4432,0.5,0.7947678477172908,0.2947678477172908,0.7954070189400357
FXR1:K562,FXR1,K562,1423,0,0,0,1423,0.5,0.7460804798588,0.2460804798588,0.7509329956754038
FXR2:K562,FXR2,K562,4712,0,0,0,4712,0.5,0.7860318433447384,0.2860318433447384,0.7859546013357507
G3BP1:HepG2,G3BP1,HepG2,6478,0,0,0,6478,0.5,0.8083312069320333,0.3083312069320333,0.8079447849281312
GARS:K562,GARS,K562,557,0,0,0,557,0.5,0.681742729227169,0.18174272922716905,0.6862391176119826
GEMIN5:K562,GEMIN5,K562,2510,0,0,0,2510,0.5,0.7525486897033381,0.2525486897033381,0.7497282582816146
GRSF1:HepG2,GRSF1,HepG2,995,0,0,0,995,0.5,0.6891735057195526,0.1891735057195526,0.6927229110376001
GRWD1:HepG2,GRWD1,HepG2,22072,0,0,0,22072,0.5,0.8378245486516762,0.3378245486516762,0.8369235610472352
GRWD1:K562,GRWD1,K562,4373,0,0,0,4373,0.5,0.8294917113198369,0.3294917113198369,0.829330231469965
GTF2F1:HepG2,GTF2F1,HepG2,4251,0,0,0,4251,0.5,0.7467272565587263,0.2467272565587263,0.7444822785411832
HLTF:HepG2,HLTF,HepG2,3642,0,0,0,3642,0.5,0.7171947662890779,0.21719476628907786,0.7168857381437685
HNRNPC:K562,HNRNPC,K562,516,0,0,0,516,0.5,0.951426446727961,0.45142644672796095,0.9581906135448591
HNRNPL:K562,HNRNPL,K562,5836,0,0,0,5836,0.5,0.7967272339068183,0.2967272339068183,0.7937725579830891
HNRNPM:HepG2,HNRNPM,HepG2,13395,0,0,0,13395,0.5,0.7349844984862145,0.2349844984862145,0.7337842155283771
HNRNPUL1:HepG2,HNRNPUL1,HepG2,463,0,0,0,463,0.5,0.6631509220083127,0.16315092200831272,0.6652874249541678
IGF2BP1:K562,IGF2BP1,K562,5706,0,0,0,5706,0.5,0.7429621619416854,0.2429621619416854,0.7429683661709057
KHSRP:HepG2,KHSRP,HepG2,5280,0,0,0,5280,0.5,0.7564888228879706,0.2564888228879706,0.7568762554522498
KHSRP:K562,KHSRP,K562,23198,0,0,0,23198,0.5,0.7530371912886497,0.25303719128864965,0.7530253896850126
LARP4:HepG2,LARP4,HepG2,5421,0,0,0,5421,0.5,0.7395174661003392,0.2395174661003392,0.7385163173364931
LARP4:K562,LARP4,K562,430,0,0,0,430,0.5,0.6799080584099513,0.17990805840995128,0.6884910762574364
LIN28B:K562,LIN28B,K562,6916,0,0,0,6916,0.5,0.7808219621996219,0.28082196219962186,0.7789617272928282
LSM11:K562,LSM11,K562,1319,0,0,0,1319,0.5,0.7477762750170857,0.24777627501708566,0.7489620700774418
MATR3:HepG2,MATR3,HepG2,6984,0,0,0,6984,0.5,0.7216921897408443,0.22169218974084426,0.7215837968375434
MATR3:K562,MATR3,K562,4864,0,0,0,4864,0.5,0.7110394506903567,0.21103945069035668,0.7112352788613444
MBNL1:K562,MBNL1,K562,1194,0,0,0,1194,0.5,0.6948603991481697,0.19486039914816966,0.6958052406084022
METTL1:K562,METTL1,K562,481,0,0,0,481,0.5,0.6588189020621452,0.15881890206214522,0.6602106664476727
MORC2:K562,MORC2,K562,823,0,0,0,823,0.5,0.6494465761838043,0.1494465761838043,0.651972675022035
MTPAP:K562,MTPAP,K562,1077,0,0,0,1077,0.5,0.7449404230776194,0.24494042307761943,0.7468991636557065
NCBP2:HepG2,NCBP2,HepG2,3186,0,0,0,3186,0.5,0.7987959524741208,0.29879595247412083,0.7981690927311066
NKRF:HepG2,NKRF,HepG2,3537,0,0,0,3537,0.5,0.7587014419798489,0.2587014419798489,0.7578805229486038
