dataset,protein,cell,auroc_dn,n_dn,auroc_gc,n_gc,auroc_neg2,n_neg2
AATF:K562,AATF,K562,0.6752484465937165,2162,0.8514472137217574,2086,0.8059353825760744,2086
AKAP1:HepG2,AKAP1,HepG2,0.61774416551156,11886,0.7189047054425038,11850,0.7772557531734585,11850
AQR:HepG2,AQR,HepG2,0.7325213645344643,22216,0.7489217391911513,21858,0.6920483630352312,21858
BCCIP:HepG2,BCCIP,HepG2,0.6628023447530472,1078,0.8613617832810493,1076,0.7743501333591299,1076
BCLAF1:HepG2,BCLAF1,HepG2,0.7064652110016834,64774,0.775058659506134,64768,0.9212411865802685,64768
BUD13:K562,BUD13,K562,0.6816592550033516,17700,0.7338295797560936,17608,0.691978572273435,17608
CDC40:HepG2,CDC40,HepG2,0.6201535544968491,2344,0.7924261948866635,2316,0.7586504932272604,2316
CSTF2T:HepG2,CSTF2T,HepG2,0.7417877146654169,37744,0.7892079629302751,39066,0.9002543360749494,39066
DDX24:K562,DDX24,K562,0.7096900933159722,19200,0.7415926826801901,19180,0.7412352652713278,19180
DDX55:HepG2,DDX55,HepG2,0.6349787307095345,3372,0.7711273322825771,3370,0.6976632707869225,3370
DDX55:K562,DDX55,K562,0.6213664235551695,2202,0.6591628099173554,2200,0.6749256198347109,2200
DDX59:HepG2,DDX59,HepG2,0.7340482068547833,6178,0.8656491929319494,6104,0.8884325256068255,6104
DDX6:HepG2,DDX6,HepG2,0.6827018420153961,986,0.7492919616826323,980,0.6830987088713036,980
DDX6:K562,DDX6,K562,0.648254001478274,3910,0.7947725376430856,3878,0.7632297715708161,3878
DGCR8:K562,DGCR8,K562,0.5150225253485807,2506,0.641784098407013,2472,0.6274376577538987,2472
DHX30:K562,DHX30,K562,0.5797421411066076,1648,0.7293857046794034,1590,0.7581187453027967,1590
DROSHA:HepG2,DROSHA,HepG2,0.6475916673375465,4368,0.7408771213084396,4304,0.6909339544091431,4304
DROSHA:K562,DROSHA,K562,0.6836958404325357,7832,0.8100432013961968,7572,0.861463774146081,7572
