dataset,frac_sense_gc,frac_sense_dn,frac_amb_gc,frac_amb_dn,n_neg_gc,n_neg_dn,intron_kept_gc,exon_nc_kept_gc,gc_kept_gc,intron_dropped_gc,exon_nc_dropped_gc,gc_dropped_gc,intron_kept_dn,exon_nc_kept_dn,gc_kept_dn,intron_dropped_dn,exon_nc_dropped_dn,gc_dropped_dn,diff
AQR:HepG2,0.42931649739225913,0.452571840374741,0.1456674901637844,0.1451220610755788,10929,11101,0.45758738277919864,0.18201193520886616,0.5526658354646207,0.39730639730639733,0.22510822510822512,0.5548497033830367,0.46596337579617836,0.17257165605095542,0.5490737460191083,0.40760243541221,0.23004772091492512,0.5569247490538095,0.023255342982481886
BCLAF1:HepG2,0.4144948122529644,0.46960200080279124,0.1715353260869565,0.1644795751381727,32384,32387,0.0075243984206213215,0.017283766669149967,0.4160179244580198,0.00574864194926428,0.019724698064448078,0.41561481989346555,0.00677230587152344,0.016897889407587612,0.4114332960746926,0.006228897426941437,0.02031668413086506,0.41560997787868204,0.055107188549826824
CDC40:HepG2,0.459412780656304,0.46757679180887374,0.14162348877374784,0.12542662116040956,1158,1172,0.6578947368421053,0.11278195488721804,0.5506548872180451,0.5990415335463258,0.1389776357827476,0.5564808306709265,0.6788321167883211,0.10218978102189781,0.5624594890510949,0.5881410256410257,0.14583333333333334,0.550086858974359,0.008164011152569761
DDX6:HepG2,0.41020408163265304,0.5070993914807302,0.16122448979591836,0.12981744421906694,490,493,0.4577114427860697,0.04975124378109453,0.5250099502487563,0.3356401384083045,0.0726643598615917,0.5375100346020761,0.404,0.048,0.521672,0.37448559670781895,0.07818930041152264,0.5343802469135802,0.0968953098480772
DROSHA:HepG2,0.43866171003717475,0.4826007326007326,0.1366171003717472,0.13186813186813187,2152,2184,0.7510593220338984,0.15148305084745764,0.5461960805084745,0.6854304635761589,0.18460264900662252,0.5491370033112584,0.7485768500948766,0.150853889943074,0.5455355787476281,0.6893805309734513,0.184070796460177,0.5539531858407081,0.04393902256355786
EFTUD2:HepG2,0.42574396406513193,0.457640859343332,0.15314430095451995,0.15281718686663964,7124,7401,0.5496208374546654,0.25486317177711837,0.6079755028025059,0.5213884135908091,0.2806159863114153,0.6123049865558543,0.6043696486566282,0.224977856510186,0.6030814289932094,0.5022421524663677,0.29172894867962135,0.6049143996013951,0.031896895278200055
EXOSC5:HepG2,0.4011220196353436,0.5295735900962861,0.11220196353436185,0.12104539202200826,713,727,0.8496503496503497,0.08741258741258741,0.5197755244755244,0.8313817330210773,0.0702576112412178,0.5338063231850118,0.8753246753246753,0.05454545454545454,0.5213363636363636,0.804093567251462,0.09941520467836257,0.5415269005847954,0.12845157046094252
GRSF1:HepG2,0.41608040201005025,0.47023809523809523,0.15175879396984926,0.12400793650793651,995,1008,0.17149758454106281,0.04589371980676329,0.617948309178744,0.153184165232358,0.06368330464716007,0.6207196213425129,0.22362869198312235,0.052742616033755275,0.6149911392405064,0.12359550561797752,0.05805243445692884,0.630293820224719,0.05415769322804498
HLTF:HepG2,0.4327292696320703,0.4641975308641975,0.1301482701812191,0.12647462277091906,3642,3645,0.5044416243654822,0.08629441624365482,0.4567760152284264,0.4506292352371733,0.09728944820909971,0.457610358180058,0.4716312056737589,0.08215130023640661,0.45599231678486996,0.47619047619047616,0.10189452124935997,0.454984280593958,0.031468261232127204
HNRNPUL1:HepG2,0.42332613390928725,0.4753747323340471,0.15766738660907129,0.1349036402569593,463,467,0.6989795918367347,0.23469387755102042,0.5622591836734694,0.5955056179775281,0.3595505617977528,0.5470576779026217,0.7027027027027027,0.25675675675675674,0.5650932432432433,0.5877551020408164,0.3469387755102041,0.5580722448979593,0.05204859842475984
KHSRP:HepG2,0.43768939393939393,0.5388542257515598,0.11723484848484848,0.1164681414256003,5280,5289,0.7057550843790567,0.149286023366508,0.35256365209865864,0.6716066015493433,0.17918491074435838,0.3508668912091614,0.7031578947368421,0.14947368421052631,0.3468840350877193,0.6683066830668307,0.18491184911849118,0.35126760967609677,0.1011648318121659
LARP4:HepG2,0.4318391440693599,0.4558850617056548,0.1627006087437742,0.16025050653895745,5421,5429,0.049551473729175566,0.011106364801366937,0.5327201196070056,0.04155844155844156,0.011363636363636364,0.5385589610389612,0.046464646464646465,0.010101010101010102,0.5345685252525253,0.046039268788083954,0.012186865267433988,0.5404080230196344,0.024045917636294878
MATR3:HepG2,0.45804696449026344,0.5527106279502217,0.08562428407789233,0.08882849377771421,6984,6991,0.9449828071272273,0.03219756173804314,0.43043010315723657,0.9273447820343461,0.05046235138705416,0.43105091149273445,0.9541925465838509,0.02562111801242236,0.4275717908902691,0.9123760793092421,0.062360089542692676,0.4321727534377998,0.0946636634599583
NCBP2:HepG2,0.4171374764595104,0.43521388716677,0.18801004394224732,0.19094854308741477,3186,3226,0.1038374717832957,0.10458991723100075,0.668333483822423,0.0840064620355412,0.0996230479267636,0.6735043618739903,0.11467236467236468,0.09401709401709402,0.679422792022792,0.09330406147091108,0.10702524698133918,0.6818917124039517,0.018076410707259627
NKRF:HepG2,0.43907266044670623,0.5018450184501845,0.12213740458015267,0.12493410648392199,3537,3794,0.7855763039278815,0.062459755312298776,0.631854990341275,0.7605846774193549,0.09022177419354839,0.634979939516129,0.8135504201680672,0.06197478991596639,0.615445588235294,0.7587301587301587,0.08518518518518518,0.6241484126984127,0.06277235800347825
PCBP2:HepG2,0.4404470834788683,0.4731409805301431,0.1370357433927116,0.13664086324184846,8589,8526,0.5659529473962464,0.04652392281258261,0.5579549299497754,0.5280898876404494,0.05846858094049105,0.558844153141906,0.5453644025780863,0.0421417947446703,0.5385013386217155,0.53739982190561,0.06433659839715049,0.5391443900267142,0.03269389705127479
PTBP1:HepG2,0.44220864774224455,0.49323985978968454,0.10935441370223979,0.09952428642964446,8349,7988,0.8743228602383532,0.057692307692307696,0.43279141386782227,0.8453940304917329,0.0800944814258106,0.4331843246725359,0.8794416243654822,0.05228426395939086,0.4265280964467005,0.8243577075098815,0.09436758893280632,0.43583436264822134,0.05103121204743999
RBM15:HepG2,0.38580040187541864,0.47333333333333333,0.174146014735432,0.16066666666666668,1493,1500,0.0798611111111111,0.0763888888888889,0.5878418402777777,0.05779716466739367,0.06870229007633588,0.5981113413304253,0.08028169014084507,0.061971830985915494,0.5987392957746479,0.060759493670886074,0.07974683544303797,0.6014387341772152,0.08753293145791469
AATF:K562,0.42377756471716205,0.5050878815911193,0.1716203259827421,0.16558741905642924,1043,1081,0.41402714932126694,0.4592760180995475,0.5399049773755656,0.3910149750415973,0.4875207986688852,0.5339209650582363,0.48717948717948717,0.41208791208791207,0.5345516483516483,0.3514018691588785,0.5102803738317757,0.539322429906542,0.08131031687395723
DDX24:K562,0.4199165797705944,0.449375,0.16642335766423358,0.15072916666666666,9590,9600,0.032033772038738514,0.04966476285075739,0.5292519741743233,0.02750314578464857,0.05806219665648032,0.5307816106417401,0.0387111729253593,0.044738062123319426,0.5306246870653685,0.02364737041241014,0.06242905788876277,0.5295759931895574,0.029458420229405646
DDX55:K562,0.4109090909090909,0.48138056312443234,0.1590909090909091,0.14713896457765668,1100,1101,0.011061946902654867,0.011061946902654867,0.5570371681415929,0.010802469135802469,0.010802469135802469,0.5605862654320988,0.01509433962264151,0.011320754716981131,0.5605067924528303,0.008756567425569177,0.010507880910683012,0.5566408056042031,0.07047147221534145
DGCR8:K562,0.4053398058252427,0.44772545889864324,0.14563106796116504,0.1779728651237031,1236,1253,0.4351297405189621,0.3992015968063872,0.5449221556886227,0.38231292517006804,0.42857142857142855,0.5433280272108844,0.4295900178253119,0.38146167557932265,0.5485181818181818,0.3945086705202312,0.43786127167630057,0.5502611271676301,0.04238565307340053
ELAC2:K562,0.4460590383444918,0.5472706155632985,0.11518563603164943,0.1102593883081688,13144,12915,0.8487122633464097,0.05509125021320143,0.5358482005799079,0.8095041889850295,0.07457766790276062,0.5386302568328526,0.854272778720996,0.05022637238256933,0.52223006508206,0.7867282367025825,0.08773730118009236,0.5348560287326835,0.10121157721880669
FASTKD2:K562,0.41732283464566927,0.522140221402214,0.13385826771653545,0.15129151291512916,508,542,0.6509433962264151,0.12735849056603774,0.602674528301887,0.6148648648648649,0.13851351351351351,0.5947844594594596,0.7137809187279152,0.09540636042402827,0.6059024734982333,0.583011583011583,0.16216216216216217,0.6042455598455599,0.10481738675654478
