dataset,n_neg,unambiguous,frac_sense,frac_no_gene,frac_ambiguous
AQR:HepG2,11101,9490,0.5293993677555321,0.0,0.1451220610755788
BCLAF1:HepG2,32387,27060,0.5620473022912047,0.0,0.1644795751381727
CDC40:HepG2,1172,1025,0.5346341463414634,0.0,0.12542662116040956
DDX6:HepG2,493,429,0.5827505827505828,0.0,0.12981744421906694
DROSHA:HepG2,2184,1896,0.5559071729957806,0.0,0.13186813186813187
EFTUD2:HepG2,7401,6270,0.5401913875598087,0.0,0.15281718686663964
EXOSC5:HepG2,727,639,0.6025039123630673,0.0,0.12104539202200826
GRSF1:HepG2,1008,883,0.5368063420158551,0.0,0.12400793650793651
HLTF:HepG2,3645,3184,0.5314070351758794,0.0,0.12647462277091906
HNRNPUL1:HepG2,467,404,0.5495049504950495,0.0,0.1349036402569593
KHSRP:HepG2,5289,4673,0.6098865824951851,0.0,0.1164681414256003
LARP4:HepG2,5429,4559,0.5428822110111866,0.0,0.16025050653895745
MATR3:HepG2,6991,6370,0.6065934065934065,0.0,0.08882849377771421
NCBP2:HepG2,3226,2610,0.5379310344827586,0.0,0.19094854308741477
NKRF:HepG2,3794,3320,0.5734939759036145,0.0,0.12493410648392199
PCBP2:HepG2,8526,7361,0.548023366390436,0.0,0.13664086324184846
PTBP1:HepG2,7988,7193,0.5477547615737522,0.0,0.09952428642964446
RBM15:HepG2,1500,1259,0.5639396346306592,0.0,0.16066666666666668
AATF:K562,1081,902,0.6053215077605322,0.0,0.16558741905642924
DDX24:K562,9600,8153,0.5291303814546793,0.0,0.15072916666666666
DDX55:K562,1101,939,0.564430244941427,0.0,0.14713896457765668
DGCR8:K562,1253,1030,0.5446601941747573,0.0,0.1779728651237031
ELAC2:K562,12915,11491,0.6150900704899487,0.0,0.1102593883081688
FASTKD2:K562,542,460,0.6152173913043478,0.0,0.15129151291512916
FMR1:K562,4445,3773,0.5250463821892394,0.0,0.15118110236220472
FXR2:K562,4745,4097,0.5303880888454967,0.0,0.13656480505795573
GARS:K562,566,470,0.5234042553191489,0.0,0.1696113074204947
GRWD1:K562,4375,3674,0.5873707131192161,0.0,0.16022857142857144
HNRNPL:K562,5840,5279,0.4330365599545368,0.0,0.09606164383561644
LIN28B:K562,6916,5787,0.5322274062554,0.0,0.16324465008675534
MBNL1:K562,1202,1015,0.5458128078817734,0.0,0.15557404326123128
MORC2:K562,891,768,0.5911458333333334,0.0,0.13804713804713806
NONO:K562,11333,9926,0.5758613741688495,0.0,0.12415071031500927
PPIL4:K562,659,569,0.492091388400703,0.0,0.13657056145675264
PUM1:K562,2658,2236,0.601520572450805,0.0,0.15876598946576373
QKI:K562,2189,1959,0.49821337417049516,0.0,0.10507080858839653
RPS3:K562,2372,2001,0.5137431284357821,0.0,0.1564080944350759
SLTM:K562,3640,3208,0.537718204488778,0.0,0.11868131868131868
SND1:K562,4132,3482,0.5094773118897186,0.0,0.15730880929332042
SRSF1:K562,3864,3276,0.5506715506715507,0.0,0.15217391304347827
