dataset,design,n_pairs_gc,n_sense_gc,full_gc,sense_gc,placebo_gc,placebo_sd_gc,placebo_strat_gc,placebo_strat_sd_gc,strat_deficit_gc,n_pairs_dn,n_sense_dn,full_dn,sense_dn,placebo_dn,placebo_sd_dn,placebo_strat_dn,placebo_strat_sd_dn,strat_deficit_dn,c_full,c_sense,c_placebo,c_placebo_strat,excess,excess_strat,locus_mix,corrected
AQR:HepG2,region_x_genedensity_q4,10929,4692,0.1041183638316776,0.1039349595800366,0.0966552825400147,0.0060606434598351,0.0968181338753671,0.004611673217244,0.0,11101,5024,0.1337635525961269,0.1289577939901213,0.1253652590970982,0.0032814852936312,0.1224582117301919,0.004156856183865,0.0,0.0296451887644493,0.0250228344100846,0.0287099765570834,0.0256400778548248,-0.0036871421469987,-0.0006172434447401,-0.0030698987022586,0.0290279453197092
BCLAF1:HepG2,region_x_genedensity_q4,32384,13423,0.0695365757128636,0.0723490519699113,0.0654703480377335,0.0017315980166401,0.0660284794286842,0.0015072148883398,0.0,32387,15209,0.1403414503506233,0.1185296169317371,0.1367391503315361,0.0020804104142488,0.1335320654898921,0.001598203340514,0.0,0.0708048746377596,0.0461805649618257,0.0712688022938026,0.0675035860612078,-0.0250882373319768,-0.021323021099382,-0.0037652162325947,0.0494818535383776
CDC40:HepG2,region_x_genedensity_q4,1158,532,0.0075080315355221,0.0090805020068971,0.0032636808185878,0.0029859907306715,0.0033991816948385,0.0022044351154172,0.0,1172,548,0.0054011986161749,-0.0011754755181415,0.0003914366775001,0.0033255370960103,0.0064020126272044,0.0079028010630941,0.0,-0.0021068329193472,-0.0102559775250387,-0.0028722441410876,0.0030028309323658,-0.007383733383951,-0.0132588084574045,0.0058750750734534,-0.0153656413767517
DDX6:HepG2,region_x_genedensity_q4,490,201,0.0131611828404831,0.0004702853889754,0.0064144451870003,0.0127612482387223,0.0022870721021756,0.0041132382787691,0.0,493,250,0.0544499257351397,0.0400639999999998,0.0436263999999999,0.0283329648402704,0.0347751999999999,0.0223333193090503,0.0,0.0412887428946565,0.0395937146110244,0.0372119548129996,0.0324881278978242,0.0023817597980248,0.0071055867132001,-0.0047238269151753,0.0483943296078566
DROSHA:HepG2,region_x_genedensity_q4,2152,944,0.0173686447119305,0.0144242854064925,0.0133218723068084,0.0067874484776386,0.0087289145540075,0.0049152734391053,0.0,2184,1054,0.0456332434354411,0.0435955553795247,0.0355074551091171,0.0096177529154474,0.0333902383258499,0.0092458575894744,0.0,0.0282645987235106,0.0291712699730322,0.0221855828023087,0.0246613237718424,0.0069856871707234,0.0045099462011897,0.0024757409695337,0.0327745449247003
EFTUD2:HepG2,region_x_genedensity_q4,7124,3033,0.0203651424150549,0.0165423989266764,0.0147928615540082,0.0026303554757504,0.0156721877568528,0.0020123437148333,0.0,7401,3387,0.037989987403149,0.0252668965004438,0.0313133615225341,0.0029562150743182,0.0297893725021834,0.0025732851937415,0.0,0.0176248449880941,0.0087244975737674,0.0165204999685259,0.0141171847453305,-0.0077960023947584,-0.005392687171563,-0.0024033152231953,0.0122321578165311
EXOSC5:HepG2,region_x_genedensity_q4,713,286,-0.0004720980232862,-0.0038632695975353,0.0004633478409702,0.0024545178705125,0.0002940241576605,0.0019827222809286,0.0,727,385,0.0026148044856574,-0.0017945690672963,-0.0002600775847529,0.0025966257356239,-0.0001659639062236,0.0055601601804798,0.0,0.0030869025089437,0.0020687005302389,-0.0007234254257231,-0.0004599880638841,0.0027921259559621,0.0025286885941231,0.0002634373618389,0.0056155911030667995
GRSF1:HepG2,region_x_genedensity_q4,995,414,-0.0003040327264464,0.0015111204462181,-0.0010712035286704,0.0009634382620396,-0.0003325631870054,0.0011584607213321,0.0,1008,474,0.0138613315696648,0.0108511812565651,0.0086662571881286,0.0104716957803695,0.0099467677900621,0.0106742396844448,0.0,0.0141653642961112,0.0093400608103469,0.0097374607167991,0.0102793309770676,-0.0003973999064521,-0.0009392701667206,0.0005418702602684,0.0132260941293906
HLTF:HepG2,region_x_genedensity_q4,3642,1576,0.0243697228110265,0.0036045923625961,0.0142520903656368,0.0068169725584968,0.0152282854814604,0.0054955072006654,0.0,3645,1692,0.0602698700326094,0.0098544674144491,0.0458106811919811,0.0108036218812823,0.0426284308301057,0.0099989195754825,0.0,0.0359001472215828,0.006249875051853,0.0315585908263443,0.0274001453486452,-0.0253087157744913,-0.0211502702967922,-0.004158445477699,0.0147498769247906
HNRNPUL1:HepG2,region_x_genedensity_q4,463,196,0.0047534858118478,-0.0028894210745521,-0.0008694294044148,0.0037783392959063,0.0006416597251145,0.0045112341306063,0.0,467,222,0.0084598489607453,0.0211224738251765,0.0088071179287395,0.0143295245812222,0.0072619917214512,0.0117765563793998,0.0,0.0037063631488974,0.0240118948997286,0.0096765473331543,0.0066203319963366,0.0143353475665742,0.0173915629033919,-0.0030562153368177,0.021097926052289297
