dataset,n,n_path,auroc_subtype,auroc_kmer_delta
AGGF1:HepG2,82,22,0.48863636363636365,0.3659090909090909
APOBEC3C:K562,125,35,0.6450793650793651,0.5431746031746032
AQR:HepG2,1707,319,0.5919931702998382,0.5592178367195757
AQR:K562,2711,400,0.5405041107745565,0.5989311986153181
BCLAF1:HepG2,3995,1649,0.6316595296330361,0.5811645643307551
BUD13:HepG2,689,165,0.5467268100855887,0.5826393708073097
BUD13:K562,1243,294,0.5227306939635707,0.5299599291771503
DDX24:K562,1400,374,0.5701493781989138,0.5702718620675278
DDX3X:HepG2,978,205,0.5328621462152525,0.661180702363298
DDX3X:K562,976,274,0.4740834321126292,0.6707322145278349
DDX43:K562,1427,433,0.5829433878095363,0.5462776659959758
DDX55:K562,95,21,0.5418275418275418,0.546975546975547
DROSHA:K562,200,26,0.5459770114942529,0.5769230769230769
EFTUD2:HepG2,909,86,0.5257000762948939,0.5524598038938653
EFTUD2:K562,700,60,0.41984375,0.5965625
EIF3H:HepG2,310,77,0.5991862215038182,0.5204838080374561
EIF4E:K562,329,47,0.4837784819677079,0.7313263920325939
EXOSC10:K562,131,34,0.5312310491206792,0.5582171012734991
FAM120A:HepG2,266,39,0.7019089574155654,0.5560826838359878
FMR1:K562,658,201,0.5178048488411335,0.5865856712063315
FXR1:K562,273,91,0.6304190315179325,0.5164835164835164
FXR2:HepG2,629,233,0.695517405817835,0.5798434993713963
FXR2:K562,707,173,0.5318352059925093,0.5526455370093741
G3BP1:HepG2,1129,402,0.5866609182423508,0.537604275732753
GEMIN5:K562,294,41,0.3452231755519136,0.4719946013689386
GPKOW:K562,148,29,0.566212691973341,0.665314401622718
GRWD1:HepG2,2762,929,0.5819396461358763,0.605166787346207
GRWD1:K562,522,182,0.6186328377504848,0.5761312217194571
HLTF:HepG2,212,76,0.698045665634675,0.5253482972136223
HNRNPK:K562,217,22,0.45291375291375296,0.49953379953379956
IGF2BP1:HepG2,272,41,0.5438707633829585,0.5932847640164713
IGF2BP1:K562,301,57,0.5447943629565718,0.47799827437446074
IGF2BP2:K562,264,47,0.43504265124031766,0.5268163545445632
IGF2BP3:HepG2,166,20,0.464041095890411,0.38287671232876713
KHSRP:K562,685,44,0.5398879591547298,0.5291448021557226
LARP4:HepG2,494,103,0.5119807315074616,0.4999627542025675
LIN28B:HepG2,359,117,0.5613124249487885,0.5564385109839656
LIN28B:K562,685,264,0.5800583027423882,0.5264521701576333
LSM11:HepG2,250,69,0.5597725998879013,0.5732244375050044
METAP2:K562,434,123,0.5144433116356888,0.5378401693984786
MTPAP:K562,64,22,0.4675324675324675,0.5670995670995671
NCBP2:HepG2,386,84,0.5778145695364238,0.6646562598549353
PABPC4:K562,413,69,0.5136501516683518,0.5437731715537579
PABPN1:HepG2,537,115,0.5315062847723058,0.6037914691943128
PCBP1:HepG2,123,23,0.5126086956521739,0.43130434782608695
PCBP1:K562,150,21,0.4876338132152085,0.46363971945367294
PCBP2:HepG2,327,25,0.565430463576159,0.3899337748344371
PPIG:HepG2,3450,1112,0.5594221372260617,0.617733636016764
PRPF4:HepG2,582,93,0.5943443938694285,0.5214723926380367
PRPF8:HepG2,2990,586,0.5578330768400788,0.6488176702083558
PRPF8:K562,1166,137,0.556056833578061,0.635639448688756
PUM1:K562,264,68,0.5518457382953181,0.49234693877551017
PUM2:K562,302,58,0.6751695873374788,0.51604013566987
RBFOX2:HepG2,422,22,0.5576136363636364,0.6830681818181817
RBM15:K562,726,232,0.5545249895295268,0.5451102889850621
RPS3:HepG2,890,265,0.5573554716981133,0.5235562264150944
RPS3:K562,342,130,0.5089985486211901,0.47953555878084175
SAFB2:K562,165,95,0.7957894736842105,0.4978947368421053
SDAD1:HepG2,115,21,0.621580547112462,0.5106382978723404
SF3A3:HepG2,304,39,0.524915336236091,0.6125786163522011
SF3B4:HepG2,933,97,0.4944877423173679,0.5236644798500468
SF3B4:K562,1540,306,0.5418004046567304,0.5713617970148621
SLTM:K562,110,24,0.6303294573643411,0.5237403100775193
SMNDC1:K562,155,32,0.5002540650406504,0.5470020325203252
SND1:HepG2,952,368,0.5709592763549731,0.5683256402620608
SND1:K562,576,234,0.5763607737291947,0.5806280301894338
SRSF1:HepG2,268,90,0.5060549313358302,0.6289637952559302
SRSF1:K562,539,123,0.5618355222013758,0.6436640087554721
SRSF7:K562,71,37,0.7058823529411765,0.48171701112877585
SRSF9:HepG2,81,24,0.5453216374269005,0.5285087719298246
SUB1:HepG2,268,42,0.5379266750948167,0.5425621576064054
TRA2A:HepG2,91,25,0.7466666666666667,0.5715151515151515
TRA2A:K562,175,46,0.6417256488035052,0.624031007751938
U2AF1:K562,140,44,0.4533617424242424,0.509469696969697
U2AF2:HepG2,859,278,0.5613182431679442,0.5836996495746605
U2AF2:K562,382,113,0.6083824061585024,0.6084153041418561
UCHL5:HepG2,270,75,0.6367863247863248,0.6304273504273505
UCHL5:K562,2014,607,0.6225216585933595,0.5806844806328442
YBX3:HepG2,92,28,0.5920758928571428,0.5385044642857143
YBX3:K562,1455,519,0.5600822587816807,0.5312988900416646
ZC3H11A:HepG2,81,25,0.6014285714285714,0.3985714285714286
ZNF622:K562,1597,513,0.6000805622091309,0.597781482200787
ZNF800:HepG2,340,86,0.6313861930049441,0.5840505401941039
ZNF800:K562,288,76,0.6093594836146972,0.5502730883813307
