dataset,protein,cell,donor,same_cell,n,n_pathogenic,auroc_matched,auroc_mismatched,auroc_conservation,auroc_block_prevalence,n_common,auroc_matched_common,auroc_conservation_common
AATF:K562,AATF,K562,LSM11:K562,True,54,15,0.541880341880342,0.4222222222222222,0.8923076923076922,0.796875,46.0,0.5959821428571429,0.921875
AQR:HepG2,AQR,HepG2,MATR3:K562,False,1707,319,0.7975278472893498,0.6979709647403178,0.8873697975481738,0.8198899773765314,1537.0,0.7988939044692022,0.88843668630213
BCCIP:HepG2,BCCIP,HepG2,MBNL1:K562,False,2,1,0.0,0.0,0.0,,,,
BCLAF1:HepG2,BCLAF1,HepG2,METTL1:K562,False,3995,1649,0.8919265441299256,0.6078074650114745,0.8942899595042488,0.8038501079197584,3724.0,0.8910113303990445,0.8931325473295151
BUD13:K562,BUD13,K562,MORC2:K562,True,1243,294,0.8090435331139832,0.667516110764643,0.9220088456879063,0.770034396368916,1058.0,0.8098123542963401,0.9275912923599757
CSTF2T:HepG2,CSTF2T,HepG2,NCBP2:HepG2,True,307,16,0.49677835051546393,0.6499140893470791,0.9219286941580757,0.8976775956284153,259.0,0.5191256830601093,0.9244535519125683
DDX24:K562,DDX24,K562,NCBP2:K562,True,1400,374,0.8246057061846536,0.698913802628973,0.9134573287050067,0.8378589642401797,1272.0,0.82682290085605,0.9107491955558253
DDX55:HepG2,DDX55,HepG2,NKRF:HepG2,True,142,16,0.7643849206349207,0.7182539682539683,0.8278769841269842,0.8741176470588236,100.0,0.8086274509803921,0.8533333333333334
DDX55:K562,DDX55,K562,NOLC1:K562,True,95,21,0.6402831402831402,0.5521235521235521,0.9111969111969112,0.9777777777777777,58.0,0.625,0.8916666666666666
DDX59:HepG2,DDX59,HepG2,NONO:K562,False,141,14,0.4195725534308211,0.6186726659167604,0.9623172103487064,0.942722371967655,120.0,0.39016172506738545,0.9663072776280324
DDX6:K562,DDX6,K562,PCBP2:HepG2,False,109,5,0.25769230769230766,0.7615384615384615,0.8759615384615386,0.8256410256410256,68.0,0.29230769230769227,0.7846153846153846
DGCR8:K562,DGCR8,K562,PHF6:K562,True,26,6,0.5249999999999999,0.275,0.9083333333333333,,,,
DROSHA:HepG2,DROSHA,HepG2,PRPF4:HepG2,True,55,6,0.7108843537414966,0.8129251700680271,0.935374149659864,0.9764705882352941,39.0,0.7294117647058824,0.9294117647058824
DROSHA:K562,DROSHA,K562,PTBP1:HepG2,False,200,26,0.7318744473916887,0.5705128205128205,0.8185234305923962,0.7596800000000001,150.0,0.7312,0.8460799999999999
EFTUD2:HepG2,EFTUD2,HepG2,PTBP1:K562,False,909,86,0.6955268586283874,0.6427703523693803,0.9324790189041793,0.7636996336996338,778.0,0.7047069597069597,0.932948717948718
EIF3H:HepG2,EIF3H,HepG2,PUM1:K562,False,310,77,0.795217657878602,0.816230979321108,0.9135778384705423,0.9265585585585585,260.0,0.8077837837837838,0.9109549549549549
ELAC2:K562,ELAC2,K562,QKI:HepG2,False,228,15,0.5380281690140845,0.888888888888889,0.9965571205007825,0.940783410138249,169.0,0.5101382488479262,0.9949308755760369
ELAVL1:K562,ELAVL1,K562,QKI:K562,True,146,8,0.6739130434782609,0.8097826086956521,0.9257246376811594,0.9325842696629214,95.0,0.749063670411985,0.9063670411985019
FASTKD2:HepG2,FASTKD2,HepG2,RBM15:HepG2,True,55,10,0.8911111111111112,0.8333333333333334,0.9355555555555555,0.8276515151515151,41.0,0.9924242424242424,0.9810606060606061
FASTKD2:K562,FASTKD2,K562,RPS3:HepG2,False,12,1,0.36363636363636365,0.09090909090909094,0.2727272727272727,,,,
FKBP4:HepG2,FKBP4,HepG2,RPS3:K562,False,23,1,0.09090909090909094,0.5,0.9090909090909091,,,,
FMR1:K562,FMR1,K562,SAFB2:K562,True,658,201,0.8827198798131879,0.7863635868796063,0.856472560610514,0.8367868777937724,599.0,0.8921004116473471,0.8518953456069904
FXR1:K562,FXR1,K562,SLTM:K562,True,273,91,0.8483274966791451,0.68705470353822,0.9223221833111943,0.8277103331451157,249.0,0.8471908526256352,0.9172430830039525
FXR2:K562,FXR2,K562,SMNDC1:K562,True,707,173,0.8129072763092376,0.6467926652378169,0.8897674871728259,0.7936072648804173,635.0,0.8160659696354715,0.8945975800858016
G3BP1:HepG2,G3BP1,HepG2,SND1:K562,False,1129,402,0.7883553347430658,0.7646704578893702,0.9135392501043613,0.8252965179317822,1009.0,0.7851910709408289,0.9098631010023258
GARS:K562,GARS,K562,SRSF1:HepG2,False,40,10,0.5766666666666667,0.7266666666666667,1.0,0.4666666666666667,34.0,0.5333333333333333,1.0
GEMIN5:K562,GEMIN5,K562,SRSF1:K562,True,294,41,0.6642244288055529,0.5813168803624795,0.9025354285163405,0.8025003613238908,224.0,0.6878161584043937,0.922243098713687
GRSF1:HepG2,GRSF1,HepG2,STAU2:HepG2,True,88,17,0.5153272576636289,0.6379453189726595,0.8964374482187241,0.9185185185185184,57.0,0.5314814814814814,0.9148148148148147
GRWD1:HepG2,GRWD1,HepG2,SUB1:HepG2,True,2762,929,0.8558334610598541,0.730470614972367,0.8952848066514101,0.8043315756993217,2526.0,0.858819481611744,0.8929670518715933
GRWD1:K562,GRWD1,K562,TAF15:HepG2,False,522,182,0.8101163542340013,0.675775694893342,0.893204589528119,0.730151374729688,400.0,0.8336422613531047,0.8872541447842652
GTF2F1:HepG2,GTF2F1,HepG2,TIA1:HepG2,True,164,12,0.6414473684210527,0.7198464912280702,0.9210526315789473,0.8343750000000001,106.0,0.6979166666666667,0.921875
HLTF:HepG2,HLTF,HepG2,TIA1:K562,False,212,76,0.81046826625387,0.6625386996904025,0.8695336687306501,0.7991161616161615,182.0,0.8042929292929293,0.8698863636363636
HNRNPM:HepG2,HNRNPM,HepG2,U2AF2:HepG2,True,40,1,0.7692307692307692,0.9230769230769231,0.7692307692307692,,,,
IGF2BP1:K562,IGF2BP1,K562,XPO5:HepG2,False,301,57,0.722749496692551,0.6856485475985045,0.9159476560253091,0.8442003307347036,217.0,0.728797543113631,0.9044412945901251
KHSRP:HepG2,KHSRP,HepG2,YBX3:HepG2,True,139,5,0.6805970149253732,0.6104477611940299,0.6701492537313433,0.4931506849315068,74.0,0.7123287671232876,0.0547945205479452
KHSRP:K562,KHSRP,K562,YBX3:K562,True,685,44,0.5447454261806836,0.8535314139838321,0.9252411005531131,0.7754045817570407,527.0,0.5474464060529635,0.9174285414039512
LARP4:HepG2,LARP4,HepG2,YWHAG:K562,False,494,103,0.7465051026742482,0.5662851041640802,0.9091326695304548,0.847272139160437,390.0,0.7504672225416906,0.9078313686026452
LARP4:K562,LARP4,K562,ZNF622:K562,True,56,8,0.6223958333333334,0.71875,0.9427083333333334,0.7051282051282051,32.0,0.6858974358974359,0.9294871794871795
