idx	cell	protein	n_windows	n_variants
0	K562	AATF	270	54
1	HepG2	AKAP1	2055	411
2	HepG2	AQR	8535	1707
3	HepG2	BCCIP	10	2
4	HepG2	BCLAF1	19975	3995
5	K562	BUD13	6215	1243
6	HepG2	CDC40	205	41
7	HepG2	CSTF2T	1535	307
8	K562	DDX24	7000	1400
9	HepG2	DDX55	710	142
10	K562	DDX55	475	95
11	HepG2	DDX59	705	141
12	HepG2	DDX6	135	27
13	K562	DDX6	545	109
14	K562	DGCR8	130	26
15	K562	DHX30	140	28
16	HepG2	DROSHA	275	55
17	K562	DROSHA	1000	200
18	HepG2	EFTUD2	4545	909
19	HepG2	EIF3H	1550	310
20	K562	ELAC2	1140	228
21	K562	ELAVL1	730	146
22	HepG2	EXOSC5	50	10
23	HepG2	FASTKD2	275	55
24	K562	FASTKD2	60	12
25	HepG2	FKBP4	115	23
26	K562	FMR1	3290	658
27	K562	FXR1	1365	273
28	K562	FXR2	3535	707
29	HepG2	G3BP1	5645	1129
30	K562	GARS	200	40
31	K562	GEMIN5	1470	294
32	HepG2	GRSF1	440	88
33	HepG2	GRWD1	13810	2762
34	K562	GRWD1	2610	522
35	HepG2	GTF2F1	820	164
36	HepG2	HLTF	1060	212
37	K562	HNRNPC	25	5
38	K562	HNRNPL	325	65
39	HepG2	HNRNPM	200	40
40	HepG2	HNRNPUL1	5	1
41	K562	IGF2BP1	1505	301
42	HepG2	KHSRP	695	139
43	K562	KHSRP	3425	685
44	HepG2	LARP4	2470	494
45	K562	LARP4	280	56
46	K562	LIN28B	3425	685
47	K562	LSM11	310	62
48	HepG2	MATR3	25	5
49	K562	MATR3	100	20
50	K562	MBNL1	345	69
51	K562	METTL1	80	16
52	K562	MORC2	270	54
53	K562	MTPAP	320	64
54	HepG2	NCBP2	1930	386
55	K562	NCBP2	245	49
56	HepG2	NKRF	385	77
57	K562	NOLC1	575	115
58	K562	NONO	850	170
59	HepG2	PCBP1	615	123
60	HepG2	PCBP2	1635	327
61	K562	PHF6	260	52
62	K562	PPIL4	115	23
63	HepG2	PRPF4	2910	582
64	HepG2	PTBP1	420	84
65	K562	PTBP1	370	74
66	K562	PUM1	1320	264
67	HepG2	QKI	640	128
68	K562	QKI	140	28
69	K562	RBFOX2	1020	204
70	HepG2	RBM15	490	98
71	HepG2	RPS3	4450	890
72	K562	RPS3	1710	342
73	K562	SAFB2	825	165
74	K562	SLTM	550	110
75	K562	SMNDC1	775	155
76	K562	SND1	2880	576
77	HepG2	SRSF1	1340	268
78	K562	SRSF1	2695	539
79	HepG2	STAU2	100	20
80	HepG2	SUB1	1340	268
81	HepG2	TAF15	75	15
82	HepG2	TIA1	455	91
83	K562	TIA1	1035	207
84	HepG2	TRA2A	455	91
85	K562	U2AF1	700	140
86	HepG2	U2AF2	4295	859
87	HepG2	UCHL5	1350	270
88	HepG2	XPO5	665	133
89	HepG2	YBX3	460	92
90	K562	YBX3	7275	1455
91	K562	YWHAG	180	36
92	K562	ZNF622	7985	1597
93	HepG2	ZNF800	1700	340
94	K562	ZNF800	1440	288
