min_pathogenic,n_datasets,matched,mismatched,gap,matched_wins,p
0,82,0.6644509845355678,0.6758625895002147,-0.011411604964646866,45,0.8709627614302943
5,73,0.6854193821312605,0.6843239442457081,0.0010954378855524895,43,0.5183034262116821
10,62,0.7076113642799775,0.6874671660823243,0.020144198197653132,40,0.11228451751206193
15,52,0.729427998674888,0.6854699317914617,0.04395806688342648,37,0.008046490964229054
20,44,0.7552893803451471,0.6907780321128016,0.06451134823234533,33,0.00039282595582790236
25,40,0.7697965802400015,0.6904068973204801,0.07938968291952138,32,2.2706761228619143e-05
30,36,0.7761030333358341,0.6896735744339237,0.08642945890191031,30,7.36583024263382e-06
35,35,0.779512887714535,0.6878628542609556,0.09165003345357928,30,2.0406441763043404e-06
40,35,0.779512887714535,0.6878628542609556,0.09165003345357928,30,2.0406441763043404e-06
45,31,0.7997468316035011,0.6966804865338166,0.10306634506968466,27,1.0244548320770264e-07
50,31,0.7997468316035011,0.6966804865338166,0.10306634506968466,27,1.0244548320770264e-07
55,31,0.7997468316035011,0.6966804865338166,0.10306634506968466,27,1.0244548320770264e-07
60,30,0.8023134094338664,0.6970482178316604,0.10526519160220595,26,1.30385160446167e-07
65,30,0.8023134094338664,0.6970482178316604,0.10526519160220595,26,1.30385160446167e-07
70,29,0.8031548661569035,0.6972920877432295,0.10586277841367414,25,2.60770320892334e-07
75,29,0.8031548661569035,0.6972920877432295,0.10586277841367414,25,2.60770320892334e-07
80,25,0.8072339886439718,0.6899931706354017,0.11724081800857011,23,4.172325134277344e-07
85,24,0.8062319253882958,0.6956790523772924,0.1105528730110033,22,8.344650268554688e-07
90,22,0.8091650621274987,0.6991627443066393,0.11000231782085951,20,3.337860107421875e-06
95,19,0.8101266331021197,0.6955258069120351,0.11460082619008453,18,7.62939453125e-06
100,18,0.8057852973471413,0.6892622030353857,0.11652309431175589,17,1.52587890625e-05
